COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ a b a			
222-1	a b o b o n e			
208-1	a b u r b u d u			
962-1	a g o r a			
203-1	a g u d i ʔ			
138-1	ʃ i l i			
504-1	ɗ oː ʃ a f e			
662-1	ɓ oː ɗ a			
478-1	eː g oː ɗ a			
409-1	a r e			
410-1	g u n d e			
256-1	ɓ l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ f a ʔ			
847-1	n e n d e g i			
95-1	b e ɗ i			
105-1	b ɪ n a n i			
510-1	b o ʃ a			
951-1	m b r m a r e			
1116-1	m b u m a			
149-1	ɓ u s ʔ i			
376-1	ɓ a l i			
815-1	k ʔ o r a f e			
453-1	ɗ u ŋ a			
67-1	ɗ a ʃ i			
47-1	ɗ o k o θ a			
869-1	ɗ oː l a			
57-1	k g u			
303-1	g a s ʔ i a			
443-1	g eː r a			
884-1	g uː n d e			
166-1	g u n d i			
918-1	a b a r o			
831-1	h a ʃ e			
616-1	b eː e			
84-1	h o ʃ a l a			
346-1	h o l h u			
601-1	s i g i			
177-1	k ʔ a f a ŋ			
341-1	k ʔ o l a			
1066-1	f ɛ n t e ŋ a			
318-1	f eː ʃ i			
241-1	m a n ʃ o			
556-1	h a n d u ŋ u			
191-1	ɓ e m b a l			
458-1	a s ʔ i s ʔ i			
1-1	h a n s i r			
751-1	r o			
864-1	a ŋ o n i			
154-1	a m a n z i ɲ			
278-1	aː m i l e			
766-1	ʃ oː r a			
251-1	a g uː r u			
582-1	u ʔ o ŋ			
6-1	a l i			
1106-1	ŋ g o			
473-1	ŋ i e			
1111-1	h a l u			
957-1	m ə r e			
41-1	b i e			
24-1	s eː			
25-1	θ r e			
879-1	a b a r a b ɛ t			
837-1	m ʃ i			
233-1	b i ɓ i o			
938-1	ɓ u l a			
369-1	a r e			
946-1	ɓ a ŋ g o			
889-1	ɓ eː l e			
820-1	ʃ o r e n			
438-1	n d i n e			
283-1	m a n s a r e			
52-1	d o ʃ			
842-1	ɗ o ŋ o ʃ a			
110-1	z i d ɛ r i			
165-1	m a			
1007-1	o ŋ g o l e			
1088-1	h o ʃ a l i			
1087-1	ɪ ŋ g o l e			
702-1	eː l a			
536-1	k eː d a			
694-1	n d ə			
468-2		θ a b a		
222-2		aː b o b o n e		
208-2		a b u b u r u		
962-2		a g o l a		
203-2		a g u r i		
138-2		ʃ i l i		
504-2		ɗ oː ʃ ɛ f a		
662-2		ɓ u ɗ a n e		
478-2		g oː ɗ e		
409-2		a e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n r u		
546-2		n r u		
547-2		ʃ ɛ f a ʔ a		
847-2		n ɛ d i g i		
95-2		b ɛ ɗ i		
105-2		b e ŋ i n i		
510-2		b o ʃ a		
951-2		m b a m a		
1116-2		m b a m a		
149-2		ɓ u ʃ e		
376-2		ɓ ɛ l i		
815-2		g o a f a		
453-2		ɗ u ŋ a		
67-2		ɗ a ʃ e		
47-2		d u k o l ɛ n		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		k ʔ a ʃ ʔ i		
443-2		g e a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a e		
831-2		h aː ʃ i		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		s i g i		
177-2		k ʔ a f a n		
341-2		k ʔ o l a		
1066-2		f ɛ n d e n i		
318-2		f ɛ ʃ i		
241-2		m aː ʃ iː ʃ o		
556-2		h a n d u n u		
191-2		b i m b l i l		
458-2		a ʃ ʔ i s ʔ e		
1-2		h a n s i		
751-2		o		
864-2		a n e n a n e		
154-2		a m a n z i ɲ		
278-2		m i l o j i		
766-2		ʃ oː a		
251-2		a g u u		
582-2		u		
6-2		a l i		
1106-2		n g o		
473-2		ŋ i e		
1111-2		h a l u		
957-2		m a e		
41-2		b i e		
24-2		ʃ i		
25-2		l a e		
879-2		a b a b ɛ d		
566-2		aː w a w o r a s ʔ		
742-2		aː g o ʔ		
1044-2		ʃ i m b i l u		
13-2		h a m i s		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		ɓ i ɓ i o		
938-2		ɓ u l e n e		
369-2		a e		
946-2		ɓ a n g o		
889-2		ɓ iː l o		
820-2		aː ʃ o i n		
405-2		b ə d e		
134-2		ɓ a ɗ i ʔ e		
1078-2		m iː h i		
429-2		b o ŋ k o ʃ		
187-2		b u s k ʔ e		
438-2		n r i n e		
385-2		m o k ʔ o ʃ		
283-2		m a n e a		
390-2		aː b a		
783-2		m u r θ a		
842-2		ɗ o n o ʃ a		
110-2		k i d ɛ		
650-2		k ʔ o ʃ		
91-2		g ɛ l a s i		
668-2		w ɛ l a		
777-2		d i n d aː l i a		
728-2		s i		
165-2		m a		
1007-2		i n g o l e		
1087-2		o n g o l e		
894-2		iː s ʔ u		
536-2		k ʔ e d a		
694-2		n d ɛ		
468-3			θ a b a	
222-3			a b a b ɔ n e	
208-3			a b ʊ b d u	
962-3			a g o θ a	
203-3			a g u d i ʔ	
138-3			ʃ i l e	
504-3			d ɔ ʃ a f a	
662-3			ɓ u d a n a	
478-3			eː g d a	
409-3			a	
410-3			g u n d i	
256-3			p a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ d ɪ i	
95-3			b ɛ d i	
105-3			b ɛ n i	
510-3			b ɔ ʃ a	
951-3			m b m a	
1116-3			m b u m a	
149-3			ɓ u ʃ ʔ i	
376-3			ɓ ɛ l i	
815-3			k ɔ a f a	
453-3			d u ŋ a	
67-3			d a ʃ a	
47-3			d ɔ k u θ a n	
869-3			d u θ a	
57-3			k a g u	
303-3			g a ʃ ʔ i a	
443-3			g e a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b a	
831-3			h a h ʃ a	
616-3			p i	
84-3			h ɔ ʃ a l a	
