COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ă m															
2060-1	ʔ u m															
410-1	d ai̯															
1841-1	m ɔ															
2017-1	h e															
1004-1	t ou̯															
614-1	b ou̯ h															
686-1	p l ɛ															
88-1	g a ʔ															
872-1	n u ŋ															
1891-1	d ou̯															
68-1	s ɨi̯ m															
631-1	p ɨ n															
594-1	g ou̯															
1759-1	h a ɲ															
805-1	g ɨ ɲ															
756-1	h ɨ ʔ															
1201-1	m u ʔ															
2042-1	ʔ ou̯															
1968-1	d ă ʔ															
2000-1	t ou̯ ŋ															
17-1	v a t															
4-1	n ə m															
788-1	d ɛ															
1219-1	kʰ ɨi̯															
141-1	ʔ ou̯ ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	t ou̯ m															
1652-1	c ɨ ɲ															
576-1	ŋ ɔ r															
1738-1	d ă k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	b ă t															
957-1	n ă ʔ															
1704-1	ʔ ɨi̯ ʔ															
304-1	c ă m															
1796-1	c ɔ ŋ															
720-1	t ɛ h															
287-1	g ă p															
321-1	g ə̆ ŋ															
206-1	g u ʔ															
1950-1	ʔ v															
665-1	t o n															
703-1	n o ʔ															
1290-1	m ai̯															
1391-1	g ă ʔ															
269-1	g ă ʔ															
855-1	c ă n															
2078-1	s e															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r ɛ															
1859-2		ŋ ɔː														
175-2		k a n														
241-2		ʔ uː ʔ														
2163-2		kʰ uː n														
2181-2		n a m														
2060-2		ʔ uː m														
410-2		d aːi̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k ɔ ʔ														
872-2		n u ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b ɨː n														
594-2		k aː														
1759-2		h a ɲ														
805-2		k ɨ n														
756-2		h ɨ k														
1201-2		m u dʑ														
2042-2		ʔ o														
1968-2		d a ʔ														
2000-2		d aː ŋ														
17-2		v a dʑ														
4-2		o əː m														
788-2		d ai̯														
1219-2		h ui̯ m														
141-2		ʔ aː ŋ														
