COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ă m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m au̯															
2017-1	h e															
1004-1	l ă															
614-1	b ou̯ h															
686-1	b l ɔ															
88-1	k au̯ ʔ															
872-1	n ɨ															
1891-1	d ă															
68-1	s ɨi̯ m															
631-1	b ə̆ n															
594-1	g ă															
1759-1	h a ɲ															
805-1	g ɨ ɲ															
756-1	h ui̯ ʔ															
1201-1	m oi̯ ʔ															
2042-1	ʔ ă															
1968-1	d ă ʔ															
2000-1	t ă ŋ															
17-1	v ă t															
4-1	pʰ e m															
788-1	d ɛ															
1219-1	kʰ ɨi̯ m															
141-1	ʔ ă ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	d ă m															
1652-1	c e ɲ															
576-1	ŋ ɔ t															
1738-1	d ă k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă t															
1859-2		ŋ ai̯														
175-2		k ə														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n ɔː m														
2060-2		ʔ ə m														
410-2		d aːi̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k a ʔ														
872-2		n u ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b ɣ ai̯														
594-2		g aː														
1759-2		h ɔː n														
805-2		k ə n														
756-2		h ɨ k														
1201-2		m u ʔ														
2042-2		ʔ aː														
1968-2		ɗ ɔ ʔ														
2000-2		d aː ŋ														
17-2		v a t														
4-2		pʰ eː m														
788-2		d ai̯														
1219-2		kʰ i m														
141-2		ʔ aː ŋ														
541-2		b r e ŋ														
1687-2		h uː														
123-2		ɔ m														
1652-2		dʑ ə n														
576-2		ŋ a														
1738-2		ɗ ɔ k														
442-2		h oː m														
368-2		d o ŋ														
1778-2		b a t														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ uː ʔ													
2163-3			kʰ uː n													
2181-3			n a m													
2060-3			ʔ ɛ m													
410-3			ɗ ai̯													
1841-3			m aːu̯													
2017-3			h i													
1004-3			d aː													
614-3			ɓ ɔ h													
