COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ă m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m ɛ															
2017-1	h e															
1004-1	t a															
614-1	b ou̯ h															
686-1	b l e															
88-1	k ɔ ʔ															
872-1	n ɨ ŋ															
1891-1	d a															
68-1	s i m															
631-1	b ɨ h															
594-1	g a															
1759-1	h a ɲ															
805-1	g i n															
1859-2		ŋ ai̯														
175-2		k ə n														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n ɔ m														
2060-2		ʔ uː m														
410-2		ɗ ai̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d eː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k o k														
872-2		n ɨ n														
1891-2		d eː														
68-2		s iː m														
631-2		b ɨː														
594-2		g eː ə														
1759-2		h a n														
805-2		k e n														
1859-3			ŋ ɔːi̯													
175-3			k ə r													
241-3			ʔ uː t													
2163-3			kʰ u r													
2181-3			n a m													
2060-3			ʔ ɔː m													
410-3			ɗ ai̯													
1841-3			m aːu̯													
2017-3			h iː													
1004-3			d aː													
614-3			b o h													
686-3			b l iː													
88-3			k a k													
872-3			n ɔː													
1891-3			ɗ aː													
68-3			s i m													
631-3			b r uː													
594-3			g aː ɔː													
1759-3			h ɔː n													
805-3			k i n													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː												
2163-4				kʰ uː												
2181-4				n ɔ m												
2060-4				ʔ ɨ m												
410-4				t ai̯												
1841-4				m aːu̯												
2017-4				h ɔi̯												
1004-4				d ɛː												
614-4				p o h												
686-4				b l ɔi̯												
88-4				k o k												
872-4				n ɨ												
1891-4				t ɛː												
68-4				s iː m												
631-4				p a uː												
594-4				k ɛː												
1759-4				h a ɲ												
805-4				k ə n												
1859-5					ŋ iː											
175-5					ʔ ə n											
241-5					ʔ uː ʔ											
2163-5					kʰ uː r											
2181-5					n a m											
2060-5					ʔ uː m											
410-5					ɗ ei̯											
1841-5					m aːu̯											
2017-5					h ei̯											
1004-5					l̥ aː											
614-5					b au̯ h											
686-5					b l ei̯											
88-5					k a ʔ											
