COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k ɨ															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ə m															
2060-1	ʔ o m															
410-1	t															
1841-1	m aːu̯															
2017-1	h ei̯															
1004-1	l j															
614-1	p o h															
686-1	p l ɛ															
88-1	k o ʔ															
872-1	n u ŋ															
1891-1	t aːi̯															
68-1	s ɛ															
631-1	p ə̆ n															
594-1	k aːi̯															
1759-1	h ə̆ ɲ															
805-1	k ɨ ɲ															
756-1	h o k															
1201-1	m w a															
2042-1	ʔ aːi̯															
1968-1	t a															
2000-1	h tɕ ŋ															
17-1	v a t															
4-1	ə ɛ															
788-1	t a															
1219-1	kʰ i m															
141-1	ʔ aː ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	ə ə m															
1652-1	t ɨ ŋ															
576-1	ŋ u															
1738-1	t a k															
442-1	h w m															
368-1	t o ŋ															
1778-1	p ə t															
957-1	n j p															
1704-1	ʔ a															
304-1	t a m															
1796-1	t a ŋ															
720-1	t ɛ h															
287-1	k ə̆ p															
321-1	k ə̆ k															
206-1	t o ʔ															
1950-1	ʔ oːi̯															
665-1	ə o n															
703-1	n o k															
1290-1	m a															
1391-1	k a n															
269-1	k a t															
855-1	t a															
2078-1	s ɛ															
2213-1	m u															
1858-1	s ɨ															
1151-1	k j a n															
737-1	p ə̆															
340-1	s o a															
1111-1	s ɛ															
485-1	ŋ															
1356-1	m u															
1093-1	l o ŋ															
1063-1	t w a															
648-1	t ə ŋ															
223-1	k o n															
1248-1	t ə															
1509-1	d ə̆ ŋ															
504-1	t o h															
2130-1	s ɛ															
1-1	ʔ o															
386-1																
1411-1	ʔ u															
1027-1	k ɛ ʔ															
1459-1	k l k															
1323-1	m ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ u h															
1476-1	ʔ ə̆ k															
1923-1	n ɛ															
105-1	v ɔ ŋ															
1431-1	ʔ ɛ															
1814-1	m a ɲ															
1183-1	n o ŋ															
1430-1	t u															
1721-1	ʔ u ʔ															
