COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n			
2054-1	d ɔ n d ə			
1375-1	l ɪ x			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m ɔ d ə			
1351-1	x r ɑ n + k ɑ t			
1353-1	x r ɑ n + m ɔ d ə			
412-1	v oː oː n + r + l ə			
406-1	v ɔ oː n r r ə m d			
1005-1	s t iː p + v aː d ə			
1012-1	s t eː p + m ɔ d ə			
1016-1	w ɪ t w ə r			
1069-1	h x			
509-1	v ɔ l ə			
693-1	m ɑu l +			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l v			
1198-1	b aː r t			
2032-1	h ɔ r n			
2241-1	n aː s			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r t			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə			
1385-1	z ɛ t ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d			
2020-1	l ɑ ŋ			
867-1	h oː n d r			
1970-1	v ɔ l			
1230-1	d r eː d			
2017-1	n øː j			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r oː w			
-1816-1	oː t eː aː			
-335-1	l ɑ x uː n			
1043-1	s t r oː m			
1469-2		s əʊ n t		
2047-2		s ʌ n		
2054-2		d aɪ n d r		
1375-2		l ɪ n t		
760-2		w aɪ n d		
756-2		s n eɪ		
726-2		m aʊ d r		
1351-2		ɡ r ɔ t f p iː d		
1353-2		ɡ r ɔ t m aʊ d		
412-2		s ɔː t ə + r əʊ d		
406-2		s ɔː t r m aʊ m		
1005-2		s t iː f æ f d		
1012-2		s t iː v əʊ m aʊ d		
1016-2		w ɛ d		
1069-2		aɪ k		
509-2		f iː l		
693-2		m iː l l		
2179-2		n ɛ s t		
1753-2		f ɪ k		
1131-2		w ɔ l		
1198-2		b ɑː r t		
2032-2		h ʌ r n		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k iː n		
945-2		h ɛ r t		
1534-2		l ɪ k		
384-2		s eɪ k		
1650-2		n ɔ t		
1663-2		s əʊ l		
2279-2		l aɪ n		
471-2		s əʊ		
1385-2		s iː t		
792-2		ɡ ɪ k		
1111-2		m æ s t		
197-2		s ʌ d		
2020-2		l æ ŋ		
867-2		h ʌ n d		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		n iː w		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h æ l̩ l		
829-2		k l ɪ v		
1025-2		w ɔ t ə r		
1027-2		s eɪ		
1832-2		r iː		
-1816-2		ɔ t əʊ ð eɪ		
-335-2		l eɪ n ɪ n		
1043-2		s t r iː m		
1469-3			ʃ o ɛ̃	
2047-3			ʃ o ɛ̃	
2054-3			ʀ u ɛ̃ t	
1375-3			l ɑ̃ t	
760-3			v ɑ̃ ɛ̃	
756-3			ʀ ʀ y	
726-3			k u t ʀ	
1351-3			ʀ ʀ a ʀ t e	
1353-3			ʀ ʀ a t ʀ	
412-3			ʀ a a ɡ ʀ t y ʀ e	
406-3			ʀ u a ɡ t	
1005-3			ʀ i ʀ l u p e ʀ	
1012-3			ʀ i ʀ p t ʀ	
1016-3			v ə t v ʀ	
1069-3			i	
509-3			p ə l e	
693-3			u l e e	
2179-3			n y t i	
1753-3			p ə k	
1131-3			v u l e	
1198-3			b u t	
2032-3			ʃ j ʀ	
2241-3			n y ʃ	
2244-3			l ə p	
610-3			k y	
945-3			ʃ ɑ̃ ʀ	
1534-3			l y k	
384-3			ʀ o k	
1650-3			ʀ a	
1663-3			ʃ o ʀ e	
2279-3			l ə l ʀ	
471-3			ʃ o ʀ	
1385-3			ʀ ə	
792-3			e u k	
1111-3			p ɔ ɛ i	
197-3			ʃ o i ʀ	
2020-3			l a	
867-3			ʃ j ɛ̃ t ʀ ʀ	
1970-3			v u	
1230-3			ʀ y t i	
2017-3			n y	
1469-4				z a n t
2047-4				z ʊ n
2054-4				d ʊ n t ə r
1375-4				l ɪ x t n
760-4				v ɪ n t
756-4				ʃ n iː
726-4				m ʊ t ə r
1351-4				ɡ r + n d a aː t ə ə
1353-4				ɡ r + n + m + t ə r
412-4				ʃ a iː n r ɛ + ə ə l
406-4				ʃ ʊ iː ə r m ɡ t ə l
1005-4				ʃ t iː f a k t ə ə
1012-4				ʃ t iː f + m + t ə r
1016-4				v ɪ t ə ə n +
1069-4				ɪ x
509-4				f aː l ə n
693-4				m aː l l ɛ z ə
2179-4				n ɛ s t
1753-4				f ɪ s
1131-4				v ɔ l f
1198-4				b eː r t ə
2032-4				h oː r n
2241-4				n aː s
2244-4				l ɪ f ə
610-4				k n n
945-4				h a r t
1534-4				l ɪ x ə n
384-4				z ɔy ɡ ə n
1650-4				n au s
1663-4				z au l
2279-4				l ɪ n n n
471-4				z eː ə n n
1385-4				z ɛ t ə n
792-4				j ʊ k
1111-4				m a s t
197-4				z au t ə n
2020-4				l a ŋ
867-4				h ʊ n d ə n t
1970-4				f ʊ l
1230-4				d ɛ r t ə n ŋ
2017-4				n aː v
968-4				v eː r ə l
1674-4				l a n t
1671-4				h aː f ə l
829-4				k l ɪ f
1025-4				v aː t ə r
1027-4				z iː
1832-4				r au f
-1816-4				au z iː n aː n
-335-4				l aː ɡ n n ə n
1043-4				ʃ t r oː m
