COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	g u n															
2181-1	n ə̆ m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m ai̯															
2017-1	h e															
1004-1	l a															
614-1	b ou̯ h															
686-1	b l e															
88-1	g a ʔ															
872-1	n u ŋ															
1891-1	d a															
68-1	s e m															
631-1	b ə̆ n															
594-1	g a															
1759-1	h a n															
805-1	g e n															
756-1	h u ʔ															
1201-1	m ɔ ʔ															
2042-1	ʔ a															
1968-1	d ă ʔ															
2000-1	r a ŋ															
17-1	v ă ʔ															
4-1	p ə m															
788-1	d ɛ															
1219-1	h e m															
141-1	ʔ a ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	n a m															
1652-1	c e n															
576-1	ŋ ɔ															
1738-1	d ă g															
442-1	h o m															
368-1	t j a ŋ															
1778-1	p ă ʔ															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ u ʔ														
2163-2		k u n														
2181-2		n a m														
2060-2		ʔ oː m														
410-2		d aːi̯														
1841-2		m ai̯														
2017-2		h ai̯														
1004-2		l aːi̯														
614-2		b o h														
686-2		b l aːi̯														
88-2		k o k														
872-2		n a ŋ														
1891-2		d ai̯														
68-2		s i m														
631-2		b oː n														
594-2		k aːi̯														
1759-2		h a n														
805-2		k ɔː n														
756-2		h o k														
1201-2		m o ʔ														
2042-2		ʔ a														
1968-2		d o ʔ														
2000-2		f a ŋ														
17-2		dʑ o ʔ														
4-2		b ɔː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ a ŋ														
541-2		b ɔːi̯ a ŋ														
1687-2		h u n														
123-2		n a m														
1652-2		dʑ ɔː n														
576-2		ŋ ɔ														
1738-2		d o k														
442-2		h oː m														
368-2		d a ŋ														
1778-2		b o ʔ														
1859-3			ŋ a													
175-3			k a													
241-3			ʔ a ʔ													
2163-3			k a													
2181-3			n a m													
2060-3			ʔ a m													
410-3			d a													
1841-3			m a													
2017-3			h a													
1004-3			l a													
614-3			b o h													
686-3			b l a													
88-3			k a ʔ													
872-3			n a ŋ													
1891-3			d a													
68-3			s a m													
631-3			b a													
594-3			k a													
1759-3			h a n													
805-3			k a ŋ													
756-3			h a ʔ													
1201-3			m a ʔ													
2042-3			ʔ a													
1968-3			d a ʔ													
2000-3			r a ŋ													
17-3			d a ʔ													
4-3			b a m													
788-3			d a													
1219-3			h a m													
141-3			ʔ a ŋ													
541-3			b j a ŋ													
1687-3			h a													
123-3			ŋ a m													
1652-3			dʑ a ŋ													
576-3			ŋ a													
1738-3			d a ʔ													
442-3			h a m													
368-3			d j a ŋ													
1778-3			b a ʔ													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ o ʔ												
2163-4				k ɔː												
2181-4				n a m												
2060-4				ʔ ɔː m												
410-4				t aːi̯												
1841-4				m aːi̯												
2017-4				h a												
1004-4				l a												
614-4				p o h												
686-4				p l a												
88-4				k a k												
872-4				n ɔː ŋ												
1891-4				t a												
68-4				s ɔː m												
631-4				p a												
594-4				k a												
1759-4				h a n												
805-4				k ɔː n												
756-4				h o k												
1201-4				m ɔː ʔ												
2042-4				ʔ a												
1968-4				t a ʔ												
2000-4				dʑ ɔː ŋ												
17-4				l a ʔ												
4-4				p ɔː m												
788-4				t ai̯												
1219-4				k ɔː m												
141-4				ʔ ɔː ŋ												
541-4				p j o ŋ												
1687-4				h ɔː												
123-4				n ɔː m												
1652-4				dʑ ɔː n												
576-4				ŋ ɔː												
1738-4				t a k												
442-4				h ɔː m												
368-4				t ɔː ŋ												
1778-4				p a ʔ												
1859-5					ŋ a											
175-5					k a											
241-5					ʔ a ʔ											
2163-5					k a											
2181-5					n a m											
2060-5					ʔ a m											
410-5					k a											
1841-5					m a											
2017-5					h a											
1004-5					k a											
614-5					p a h											
686-5					b a											
88-5					k a ʔ											
872-5					n a ŋ											
1891-5					ɗ a											
68-5					s a m											
631-5					p a n											
594-5					k a											
1759-5					ʔ a n											
805-5					k a ŋ											
756-5					h a ʔ											
1201-5					m a ʔ											
2042-5					ʔ a											
1968-5					ɗ a ʔ											
2000-5					r a ŋ											
17-5					k a ʔ											
4-5					p a m											
788-5					ɗ a											
1219-5					ʔ a m											
141-5					ʔ a ŋ											
541-5					p r j a ŋ											
1687-5					h a n											
123-5					ŋ a m											
1652-5					dʑ a ŋ											
576-5					ŋ a											
1738-5					ɗ a ʔ											
442-5					h a m											
368-5					dʑ j a ŋ											
1778-5					p a ʔ											
1859-6						ŋ iː										
175-6						k a										
241-6						ʔ a ʔ										
2163-6						k a										
2181-6						n a m										
2060-6						ʔ o m										
410-6						d ei̯										
1841-6						m a										
2017-6						ʔ əː										
1004-6						s a										
614-6						p o h										
686-6						b a										
88-6						k a ʔ										
872-6						n a ŋ										
1891-6						d a										
68-6						s i m										
631-6						p a n										
594-6						k a										
1759-6						ʔ a n										
805-6						k a ŋ										
756-6						ʔ o ʔ										
1201-6						m a ʔ										
2042-6						ʔ a										
1968-6						d a ʔ										
2000-6						r a ŋ										
17-6						d a ʔ										
4-6						p əː m										
788-6						d iː										
1219-6						ʔ a m										
141-6						ʔ a ŋ										
541-6						p r j a ŋ										
1687-6						ʔ a										
123-6						n a m										
1652-6						dʑ a ŋ										
576-6						ŋ a										
1738-6						d a ʔ										
442-6						ʔ o m										
368-6						k j a ŋ										
1778-6						p a ʔ										
1859-7							ŋ ai̯									
175-7							g a									
241-7							ʔ a ʔ									
2163-7							g u									
2181-7							n a m									
2060-7							ʔ ɔː m									
410-7							ɗ aːi̯									
1841-7							m aːi̯									
2017-7							h ei̯									
1004-7							l a									
614-7							p o h									
686-7							b l ai̯									
88-7							g a ʔ									
872-7							n a ŋ									
1891-7							ɗ a									
68-7							s a m									
631-7							p a									
594-7							g a									
1759-7							h a n									
805-7							g i ŋ									
756-7							h a ʔ									
1201-7							m a ʔ									
2042-7							ʔ a									
1968-7							ɗ a ʔ									
2000-7							r a ŋ									
17-7							v a ʔ									
4-7							p a m									
788-7							ɗ ai̯									
1219-7							h a m									
141-7							ʔ a ŋ									
541-7							p r j a ŋ									
1687-7							h a									
123-7							n a m									
1652-7							tɕ i ŋ									
576-7							ŋ a									
1738-7							ɗ a ʔ									
442-7							h ɔː m									
368-7							ɗ j a ŋ									
1778-7							p a ʔ									
1859-8								ŋ ai̯								
175-8								k a								
241-8								ʔ a ʔ								
