COGID	Albanian	English	French	German	Latin
560-1	m Ø				
438-1	y r e Ø				
1222-1	Ø t				
353-1	p e Ø Ø				
201-1	Ø Ø Ø				
20-1	Ø a Ø r				
503-1	p l e n				
957-1	d e n				
728-1	l i n Ø				
244-1	n Ø m n				
289-1	n Ø i d				
911-1	r e d Ø				
724-1	t r i				
145-1	d Ø				
992-1					
1181-1	k Ø a n				
741-1	p j Ø				
1150-1	Ø r d				
585-1	d y				
814-1	r e				
916-1	Ø Ø				
1079-1	Ø Ø Ø				
630-1	Ø Ø Ø Ø Ø Ø Ø				
343-1	Ø Ø a Ø				
560-2		v t Ø m i			
438-2		i r i s			
1222-2		i ɑ			
353-2		p i Ø s i			
201-2		n i i			
20-2		s i t i r			
503-2		p i Ø i i			
957-2		Ø n			
728-2		Ø o i Ø i			
244-2		n m n			
289-2		n i o i d			
911-2		w i r i ə Ø			
724-2		θ r i o			
145-2		t w o i			
992-2		s i			
706-2		Ø ə			
106-2		p i d ə r			
741-2		p Ø l ə			
421-2		v Ø Ø m			
227-2		p			
920-2		s ɛ r ə			
1083-2		s ɑ r n			
1066-2		Ø			
1125-2		n o			
1197-2		m i d ə r			
473-2		n o v i			
284-2		n s ə			
661-2		Ø n			
701-2		r o t			
315-2		r Ø n			
1169-2		s Ø			
1150-2		s k ɛ r t			
982-2		s Ø			
987-2		n i			
1055-2		s t ɛ			
1130-2		s Ø s			
433-2		s ɑ ə			
625-2		Ø Ø Ø ə			
1186-2		Ø i n			
416-2		s w			
1233-2		w Ø n θ			
884-2		w i r m			
1016-2		Ø Ø Ø m Ø Ø			
952-2		Ø l			
78-2		Ø l Ø Ø			
514-2		Ø r Ø n			
116-2		Ø t Ø			
188-2		p Ø r Ø Ø Ø			
745-2		p i Ø			
1100-2		Ø r Ø ɛ Ø d			
47-2		l Ø m i Ø			
111-2		Ø Ø k l			
1061-2		m Ø l t Ø Ø			
24-2		n Ø Ø Ø			
232-2		n ʊ n Ø			
671-2		Ø r Ø Ø Ø t			
560-3			v v		
438-3			r i		
1222-3			u o g		
353-3			p a t ʃ i		
201-3			r s v ɑ̃ v		
20-3			a t e r		
503-3			p u l e		
957-3					
728-3			n e v s ɛ		
244-3			m ɑ̃		
289-3			ɛ v t		
911-3			v v r e t		
724-3			t r a		
145-3			t v Ø e		
992-3			Ø e		
1181-3			Ø a		
706-3			u		
106-3			p Ø Ø Ø r		
741-3			p ɛ ʃ		
421-3			n Ø r		
227-3			p u		
920-3			Ø ɔ r t		
1083-3			Ø Ø r		
1066-3			Ø		
1125-3			g Ø		
1197-3			m Ø Ø Ø r		
473-3			Ø		
284-3			u Ø		
661-3			Ø		
701-3			r o Ø		
315-3			r Ø Ø		
1169-3			s a n		
1150-3			i ʃ Ø r t ɑ̃ i		
982-3			s Ø t		
987-3			Ø		
1055-3			s o r		
1130-3			s u ʒ		
433-3			s Ø		
585-3			t		
625-3			Ø Ø		
1186-3			t Ø Ø		
814-3			ɑ̃ r		
416-3			Ø ɔ		
1233-3			Ø Ø Ø		
884-3			Ø Ø r m i		
916-3			Ø		
1016-3			Ø Ø m Ø Ø		
952-3			Ø Ø		
514-3			Ø i r Ø		
1079-3			Ø a Ø Ø		
1100-3			Ø r Ø Ø		
47-3			Ø Ø Ø m Ø		
111-3			Ø Ø k		
1061-3			m Ø Ø Ø		
1155-3			Ø Ø Ø Ø		
343-3			Ø Ø t ɑ̃ r		
671-3			r Ø Ø		
560-4				k eː eː	
438-4				Ø r eː	
1222-4				eː Ø Ø	
353-4				f eː a ʃ	
201-4				f Ø n Ø	
20-4				Ø eː r	
503-4				f eː l n eː	
957-4				eː n	
728-4				l a n t eː	
244-4				n Ø m n	
289-4				n eː eː t	
911-4				r a eː	
724-4				d r eː eː	
145-4				t Ø eː	
992-4				Ø eː	
1181-4				Ø r Ø Ø r	
706-4				Ø	
106-4				f a r	
421-4				f l au r	
227-4				f Ø s	
920-4				h a r s	
1083-4				h Ø r n	
1066-4				Ø	
1125-4				n au	
1197-4				m Ø r	
473-4				n au	
284-4				n Ø	
661-4				v Ø n	
701-4				r au	
315-4				r au n	
1169-4				z Ø l s	
1150-4				ʃ n a r t n	
982-4				z eː s	
987-4				n Ø	
1055-4				z t a r	
1130-4				z Ø Ø	
433-4				z Ø	
585-4				t r	
625-4				s Ø n Ø	
1186-4				s Ø n d	
814-4				r Ø	
416-4				v a s	
1233-4				v eː n t	
884-4				v eː r m	
78-4				Ø l a	
514-4				b eː r n n n	
116-4				eː s Ø	
188-4				f Ø Ø Ø a r	
745-4				f e Ø Ø r	
1100-4				Ø r n Ø t	
630-4				r Ø k a z t r	
1155-4				Ø Ø Ø Ø	
24-4				n a s	
232-4				n au n Ø	
671-4				n r n Ø t	
560-5					a w m
438-5					a r a
1222-5					a Ø
353-5					p a a
201-5					a a w a a
20-5					k a r i
503-5					p a l
957-5					a a
728-5					l a a
244-5					a m n
289-5					n a a a
911-5					a a r e a a t
724-5					t r i eː
145-5					d a e
992-5					k a
1181-5					k n a
706-5					Ø k a
106-5					p e r i
741-5					p a a k
421-5					f l a Ø r i
227-5					p o
920-5					k Ø r i a a
1083-5					k Ø r i
1066-5					d e a
1125-5					d a eː
1197-5					m e e r i
473-5					u l a l
284-5					o a
661-5					Ø
701-5					r i u d
315-5					r i Ø d
1169-5					s l a
982-5					a s e t
987-5					s e d
1055-5					s a t i l a
1130-5					s uː l a
433-5					s e l i
585-5					
625-5					l e Ø a
1186-5					d i t
814-5					r i
416-5					k i
1233-5					l e
884-5					l e r i
916-5					Ø
1016-5					Ø e m Ø l
952-5					Ø
78-5					Ø Ø Ø a
1079-5					b i
116-5					Ø
188-5					Ø o Ø n
745-5					Ø Ø Ø Ø Ø
47-5					Ø Ø uː m e
111-5					l Ø Ø
1061-5					m Ø t Ø
630-5					a Ø Ø
1155-5					k Ø a a
24-5					Ø o a t
232-5					Ø Ø n
343-5					Ø Ø
