COGID	Albanian	English	French	German	Latin
560-1	Ø Ø Ø Ø				
438-1	Ø r Ø Ø				
1222-1	Ø Ø Ø				
353-1	p Ø e Ø Ø Ø				
201-1	Ø Ø Ø Ø Ø				
20-1	Ø e Ø Ø Ø r				
503-1	p Ø Ø Ø Ø Ø				
957-1	Ø e Ø				
728-1	Ø Ø Ø Ø Ø				
244-1	Ø Ø m Ø Ø				
289-1	Ø Ø Ø Ø t				
911-1	Ø Ø r e Ø Ø Ø				
724-1	Ø r Ø e				
145-1	Ø Ø Ø Ø				
992-1	Ø Ø				
1181-1	Ø Ø a Ø Ø Ø				
741-1	p Ø Ø Ø				
1150-1	Ø Ø r Ø				
585-1	Ø Ø				
814-1	Ø Ø r Ø				
916-1	Ø Ø				
1079-1	Ø Ø Ø Ø				
630-1	Ø Ø Ø Ø Ø Ø Ø				
343-1	Ø Ø Ø a Ø				
8-1	Ø r Ø Ø				
385-1	Ø Ø				
683-1	Ø Ø Ø Ø Ø Ø				
650-1	Ø Ø a Ø Ø				
612-1	Ø Ø Ø Ø				
871-1	Ø r Ø Ø Ø Ø Ø				
667-1	Ø Ø Ø Ø				
527-1	Ø Ø Ø r				
499-1	Ø Ø				
1029-1	Ø Ø				
560-2		Ø Ø Ø Ø			
438-2		Ø r i Ø			
1222-2		Ø Ø Ø Ø			
353-2		p Ø Ø s Ø Ø			
201-2		Ø Ø Ø Ø Ø			
20-2		Ø i t Ø Ø r			
503-2		p Ø Ø i Ø Ø			
957-2		Ø Ø			
728-2		Ø Ø Ø Ø			
244-2		i Ø r			
289-2		Ø Ø d			
911-2		Ø Ø r Ø s Ø			
724-2		d r Ø Ø			
145-2		Ø Ø Ø Ø			
992-2		Ø i			
706-2		Ø Ø Ø			
106-2		p i d r			
741-2		p Ø Ø Ø			
421-2		Ø Ø Ø Ø			
227-2		p Ø			
920-2		Ø Ø r Ø			
1083-2		Ø Ø r Ø			
1066-2		Ø Ø Ø			
1125-2		Ø Ø			
1197-2		Ø Ø d r			
473-2		Ø Ø Ø Ø			
284-2		Ø Ø			
661-2		Ø Ø			
701-2		r Ø Ø Ø Ø			
315-2		r Ø Ø Ø Ø			
1169-2		s Ø Ø			
1150-2		Ø k ɛ r Ø Ø r			
982-2		Ø s Ø Ø Ø			
987-2		Ø i Ø			
