** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.1026        0.2323       0.7289         0.6439       1.0769        0.2361       0.7361         0.6497
10               1.2188        0.2551       0.7109         0.6360       1.1562        0.2578       0.6868         0.6044
2                0.8710        0.1875       0.7949         0.7074       0.8710        0.1998       0.7534         0.6957
3                1.2500        0.2913       0.7556         0.5332       2.2500        0.5132       0.6139         0.3007
4                0.6071        0.1458       0.8658         0.7477       1.1786        0.2732       0.7016         0.5747
5                2.0000        0.5500       0.7698         0.2611       3.0000        0.7333       0.4354         0.1837
6                0.8667        0.2045       0.8148         0.6637       0.9333        0.2145       0.7522         0.6710
7                1.0870        0.2443       0.8041         0.6175       1.4783        0.3417       0.6683         0.5015
8                0.6429        0.1608       0.8513         0.7251       0.8571        0.1860       0.8077         0.7024
9                1.6500        0.3358       0.7394         0.5505       1.7500        0.3892       0.6408         0.4571
TOTAL            1.1296        0.2607       0.7835         0.6086       1.4551        0.3345       0.6796         0.5341


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.3944        0.2907       0.6646         0.5775       1.1549        0.2438       0.6869         0.6384
10               1.4600        0.2904       0.6434         0.5921       1.5000        0.3219       0.5802         0.5311
2                1.1786        0.2462       0.6963         0.6332       1.4464        0.3030       0.5866         0.5542
3                2.2222        0.5083       0.5753         0.3461       2.7222        0.5736       0.4639         0.2659
4                1.0000        0.2500       0.7220         0.6178       1.3750        0.3295       0.5922         0.5176
5                2.0000        0.6354       0.6826         0.1932       2.8750        0.7604       0.4702         0.1239
6                0.8846        0.1992       0.7882         0.6876       1.1731        0.2663       0.6614         0.5929
7                1.3158        0.3154       0.7328         0.5270       1.8158        0.4466       0.5141         0.3945
8                0.8400        0.2084       0.7725         0.6739       1.3200        0.2963       0.6039         0.5654
9                1.5143        0.3569       0.6572         0.4946       2.7429        0.6011       0.3808         0.2783
TOTAL            1.3810        0.3301       0.6935         0.5343       1.8125        0.4143       0.5540         0.4462


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4059        0.3066       0.6360         0.5352       1.3861        0.2974       0.5931         0.5694
10               1.3429        0.2530       0.6575         0.6276       1.9714        0.4053       0.4831         0.4368
2                1.0800        0.2290       0.6936         0.6741       1.7467        0.3932       0.4929         0.4747
3                2.2500        0.5204       0.5762         0.3402       3.2500        0.7023       0.4239         0.2000
4                0.9189        0.2221       0.7248         0.6583       1.7703        0.4256       0.4775         0.4028
5                2.5455        0.6439       0.6254         0.1666       3.1818        0.8528       0.3847         0.0699
6                1.1739        0.2602       0.7169         0.6003       1.3913        0.3256       0.5948         0.5140
7                1.6122        0.3640       0.6435         0.4785       2.1224        0.5196       0.4356         0.3036
8                1.0959        0.2634       0.7153         0.6113       1.9726        0.4515       0.4592         0.3791
9                2.0500        0.4395       0.5729         0.4094       2.8500        0.6010       0.3448         0.2618
TOTAL            1.5475        0.3502       0.6562         0.5101       2.1643        0.4974       0.4690         0.3612


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4929        0.3280       0.6172         0.5283       1.8071        0.3932       0.4669         0.4559
10               1.2875        0.2539       0.6631         0.6222       2.1875        0.4591       0.4196         0.3828
2                1.1294        0.2394       0.6826         0.6570       2.0824        0.4711       0.4202         0.3716
3                2.4545        0.5523       0.5477         0.3035       3.2273        0.6921       0.3994         0.2122
4                1.2584        0.2955       0.6539         0.5519       2.1348        0.5239       0.3911         0.2994
5                2.5455        0.6439       0.6254         0.1666       3.0909        0.8030       0.4088         0.0880
6                1.2000        0.2784       0.6563         0.5685       1.7222        0.3983       0.4877         0.4451
7                1.7818        0.4000       0.6049         0.4393       2.3091        0.5563       0.3802         0.2909
8                1.2471        0.2905       0.6611         0.5648       1.9647        0.4551       0.4481         0.3679
9                2.0000        0.4209       0.5687         0.4486       2.9048        0.6148       0.3392         0.2351
TOTAL            1.6397        0.3703       0.6281         0.4851       2.3431        0.5367       0.4161         0.3149


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.9477        0.4325       0.5433         0.3991       2.0980        0.4581       0.4153         0.3939
10               1.6111        0.3267       0.6034         0.5249       2.2222        0.4644       0.4034         0.3642
2                1.6923        0.3744       0.5865         0.4792       2.5962        0.5771       0.3366         0.2735
3                3.0370        0.6876       0.4534         0.1893       3.2593        0.6909       0.3402         0.1903
4                1.6228        0.3755       0.5871         0.4566       2.5088        0.6216       0.2714         0.2148
5                2.5455        0.6439       0.6254         0.1666       2.7273        0.7803       0.4279         0.0737
6                1.5455        0.3376       0.5987         0.5225       2.1636        0.4959       0.4074         0.3358
7                1.9219        0.4349       0.5392         0.4202       2.5000        0.6073       0.3508         0.2270
8                1.4479        0.3420       0.6210         0.4954       2.2500        0.5052       0.3878         0.3320
9                2.6170        0.5700       0.5354         0.2830       3.1702        0.6877       0.3316         0.1648
TOTAL            1.9989        0.4525       0.5693         0.3937       2.5496        0.5889       0.3672         0.2570


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.6923        0.1994       0.8221         0.6938       0.1346        0.0401       0.9603         0.9281
Changsha              0.9423        0.2715       0.7535         0.6282       0.2692        0.0776       0.9197         0.8761
Chaozhou              1.5192        0.3955       0.6070         0.4542       1.2885        0.3442       0.6571         0.5439
Chengdu               0.6538        0.1804       0.8464         0.7223       0.1538        0.0404       0.9589         0.9325
Fuzhou                1.0962        0.2766       0.7308         0.5879       0.6346        0.1657       0.7920         0.7477
Guangzhou             1.2500        0.3641       0.7000         0.5046       0.4038        0.1186       0.8430         0.8184
Hankou                0.6538        0.1910       0.8535         0.7119       0.0962        0.0221       0.9758         0.9637
Jinan                 0.7308        0.2199       0.8174         0.6827       0.1731        0.0561       0.9520         0.9042
Meixian               0.9038        0.2420       0.7388         0.6388       0.5962        0.1542       0.8028         0.7723
Nanchang              0.9615        0.2772       0.7486         0.6106       0.5000        0.1410       0.8371         0.7844
Shanghai              1.3269        0.3776       0.6650         0.4966       0.6346        0.1939       0.7744         0.7412
Shuangfeng            1.1154        0.3138       0.7211         0.5603       0.4231        0.1199       0.8464         0.8070
Suzhou                1.0769        0.2981       0.7255         0.5681       0.3269        0.0904       0.8955         0.8423
Taiyuan               1.0385        0.2808       0.7222         0.6061       0.1538        0.0362       0.9638         0.9447
Wenzhou               1.5769        0.4529       0.5904         0.4043       0.8269        0.2458       0.7244         0.6593
Xiamen                1.1346        0.2946       0.7126         0.5606       2.6346        0.6872       0.5498         0.1458
XiAn                  0.8077        0.2359       0.8135         0.6459       2.6731        0.6856       0.5940         0.1411
Yangzhou              0.9808        0.2692       0.7562         0.6283       0.3077        0.0782       0.8970         0.8881
ZhongyuanYinyun       2.4423        0.5827       0.5058         0.2713       0.3269        0.0769       0.9004         0.8659
TOTAL                 1.1002        0.3012       0.7279         0.5777       0.6609        0.1776       0.8339         0.7530


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          0.6471        0.1657       0.8022         0.7558       1.6471        0.3873       0.5817         0.4088
jaru             1.2500        0.2475       0.6831         0.6328       1.6250        0.3298       0.6015         0.5194
kitemoka         3.0000        0.5272       0.4395         0.2623       2.7778        0.4792       0.4559         0.2730
more             1.3684        0.2965       0.6298         0.5481       0.7368        0.1833       0.7629         0.7308
orowin           0.7368        0.1439       0.8217         0.7498       1.4211        0.2723       0.6707         0.5526
tapakura         2.0526        0.3960       0.5516         0.4528       2.3158        0.4276       0.4946         0.3794
tora             2.1053        0.4046       0.5351         0.4404       2.4211        0.4642       0.4825         0.3760
urupa            1.2632        0.2566       0.7450         0.6126       1.4737        0.3146       0.6902         0.5147
wanyam           1.7895        0.3271       0.7089         0.4392       1.2105        0.2406       0.7132         0.6215
wari             2.0526        0.3660       0.5764         0.4409       2.0000        0.3418       0.5955         0.4491
TOTAL            1.6265        0.3131       0.6493         0.5335       1.7629        0.3441       0.6049         0.4825


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.5484        0.3453       0.6610         0.5128       1.8387        0.3935       0.5504         0.4187
jaru             1.9310        0.3451       0.5743         0.4637       2.2759        0.4188       0.5089         0.3664
kitemoka         3.0606        0.5152       0.4423         0.2561       3.3636        0.5710       0.3561         0.2071
more             1.7222        0.3334       0.5954         0.5148       1.4167        0.3309       0.6095         0.4874
orowin           0.9706        0.1861       0.7719         0.7089       1.7059        0.3153       0.5993         0.5043
tapakura         2.3636        0.4117       0.4919         0.3990       3.1818        0.5130       0.3893         0.2737
tora             2.3611        0.4294       0.4891         0.3865       2.8611        0.5359       0.3736         0.2712
urupa            1.8710        0.3501       0.6268         0.4367       2.4839        0.4893       0.4916         0.2638
wanyam           1.8919        0.3204       0.6274         0.4999       1.7838        0.3184       0.6086         0.4878
wari             2.4444        0.3939       0.5458         0.3689       2.5278        0.4201       0.5023         0.3773
TOTAL            2.0165        0.3631       0.5826         0.4547       2.3439        0.4306       0.4990         0.3658


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3913        0.2745       0.6443         0.6105       2.6087        0.4896       0.4138         0.2922
jaru             2.2143        0.3628       0.5788         0.4544       2.8095        0.4816       0.4306         0.3439
kitemoka         3.4615        0.5425       0.3985         0.2055       4.3590        0.6903       0.2864         0.0811
more             1.8868        0.3238       0.5665         0.5462       1.8113        0.3832       0.5097         0.4462
orowin           1.9020        0.3081       0.6210         0.4977       2.2941        0.3774       0.5126         0.4216
tapakura         2.7674        0.4430       0.4781         0.3584       3.7209        0.5407       0.3721         0.2544
tora             2.6863        0.4652       0.4508         0.3144       2.9412        0.5252       0.3769         0.2778
urupa            2.7368        0.4715       0.5438         0.2996       3.6316        0.6693       0.3450         0.1343
wanyam           2.2182        0.3461       0.5868         0.4505       2.6000        0.4052       0.4891         0.3947
wari             2.3846        0.3875       0.5381         0.3982       2.2692        0.3745       0.5150         0.4601
TOTAL            2.3649        0.3925       0.5407         0.4135       2.9046        0.4937       0.4251         0.3106


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.40.tsv
