COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a m															
1319-1	n ɔ															
1398-1	s u u r u															
1557-1	k i r e															
1626-1	w a w a															
1840-1	t i r u															
2247-1	k ɔ															
4677-1	k u r e j															
5162-1	m i r̃ ɛ															
5406-1	t a n d u															
359-1	k a r i															
1577-1	g i r e															
2196-1	n a r a															
2230-1	s i															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	ɔ s u															
4553-1	t a u															
4822-1	k u m b ɔ															
5254-1	d u r ɔ															
503-1	k i r̃ a															
1356-1	m a j a															
1881-1	n u m u															
3218-1	b u s u															
3372-1	n a m a															
3718-1	k a r a															
4135-1	b a r u															
4694-1	g u s u															
807-1	k ɔ m b i															
2320-1	k a n ɛ															
2476-1	k u															
3719-1	m ɔ															
4081-1	d a m b i															
4313-1	n ɛ m															
4460-1	s u j ɔ															
5810-1	p i r u															
93-1	d ɔ															
260-1	b i n r e															
385-1	t ɛ m b ɛ															
890-1	a m b i r u															
1336-1	t e g e															
1703-1	b a															
1769-1	t ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	s ɔ															
3031-1	d ɛ ɛ															
4591-1	k a r i															
5301-1	p ɛ r u															
5605-1	t i m a															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t ɔ															
1788-1	s i r															
2044-1	d i m b e															
2713-1	t ɛ m ɛ d ɛ r ɛ															
3219-1	b a s a															
3425-1	j u															
4184-1	n a r															
4629-1	n u ɔ															
4759-1	n i j i															
4904-1	n u n ɔ															
4960-1	g i n a ɔ															
4980-1	t ɔ															
5059-1	k u r ɔ															
5339-1	p a a															
5549-1	t a a															
5905-1	t i r u															
5922-1	b i r a															
5938-1	a d u n ɔ															
1-1	p ɛ															
483-1	g e s u															
629-1	d ɔ															
667-1	ɛ w ɛ															
1254-1	s a m d u r u															
1415-1	n ɛ															
1542-1	n u															
1683-1	s i j															
1898-1	p u r u j															
2901-1	t u n u															
2957-1	m a n d i															
3048-1	b i j e															
3251-1	b a r a															
3885-1	d ɔ r ɔ															
715-2		t u														
1089-2		n a														
1319-2		n ɔ														
1398-2		s u u u														
1557-2		g i r ɛ														
1626-2		w a g a														
1840-2		t i														
2247-2		g ɔ														
4677-2		k u r ɛ j														
5162-2		m i r̃ ɛ														
5406-2		t i u														
359-2		g a r u														
1577-2		g i r ɛ														
2196-2		n a r̃ a														
2230-2		s i j ɛ														
2533-2		b a r i														
3605-2		k a n a														
3866-2		ɔ s u														
4553-2		t a u														
4822-2		k u m b ɔ														
5254-2		t u r ɔ														
503-2		k i r̃ ɛ														
1356-2		m a														
1881-2		n u m u														
2084-2		j a ɛ														
2420-2		k u r ɔ														
3218-2		b u s u														
3372-2		n a m a														
3718-2		a r i														
4135-2		b a r u														
4694-2		g u s u														
807-2		k ɔ m														
2320-2		k a n ɛ														
2476-2		k u														
2842-2		t i g u														
4081-2		t a m b i														
4313-2		n ɛ m														
4460-2		s u j														
5514-2		n ɛ n dʒ ɛ														
5810-2		b i r i														
93-2		d ɔ														
260-2		b i r ɛ														
385-2		dʒ ɛ m b ɛ														
890-2		a m b i r i														
1336-2		t ɛ ɛ														
1703-2		b ɔ														
1769-2		t ɛ m b i														
2162-2		b ɛ r ɛ														
2635-2		s ɔ														
2735-2		a n u														
3031-2		t ɛ g ɛ														
4591-2		k ɛ r i														
5301-2		b ɛ r u														
5605-2		t i m ɛ														
296-2		dʒ a m b i														
463-2		t u m b u														
762-2		b a n a k u														
1432-2		t a r u														
1474-2		t ɔ														
1788-2		s i r i														
2044-2		d i m b ɛ														
2713-2		t ɛ m ɛ dʒ ɛ r ɛ														
3219-2		b a s a														
3425-2		j u														
4184-2		n ɛ j̃														
4629-2		n u														
4759-2		n i j ɛ														
4904-2		n u m a														
4960-2		g i n aː r u														
4980-2		t ɔ														
5059-2		g u r ɔ														
5125-2		ɔ n dʒ u														
5339-2		p a														
5549-2		t a w a														
5771-2		dʒ u g u														
5905-2		t i														
5938-2		a u n a														
1-2		b ɛ														
483-2		g u s u														
629-2		t ɔ														
667-2		ɛ w ɛ														
1254-2		t u u r u														
1415-2		n ɛ														
1542-2		n u														
1683-2		s i														
1898-2		b u r ɔ														
2551-2		r i														
2901-2		t u u														
2957-2		m a n i														
3048-2		b i j ɛ														
3251-2		b a r a														
3885-2		t ɛ r														
715-3			t u i													
1089-3			n i													
1319-3			n i ɛ													
1398-3			s u g u l i													
1557-3			g i r ɛ													
1626-3			ʔ a g ɛ													
1840-3			t ɛ n i													
2247-3			k u													
4677-3			k u l ɛ n i													
5162-3			m i n l ɛ													
5406-3			t i n dʒ i													
359-3			k a r a													
1577-3			g i r ɛ													
2196-3			n a l ɛ													
2533-3			b a r g ɛ													
3866-3			ʔ o dʒ i													
4553-3			t a ŋ g ɛ													
5254-3			t u l ɛ													
503-3			k i n ɛ													
1881-3			n u m ɛ													
2084-3			j a b i													
2420-3			k u l ɛ													
3218-3			p u u dʒ u													
3372-3			n a m a													
3718-3			ʔ a r a													
2320-3			k a n ɛ													
2476-3			k o													
3719-3			m i													
4460-3			t a ɛ													
5514-3			n ɛ n dʒ ɛ													
890-3			ʔ a m b i l i													
1336-3			t ɛ g ɛ													
1703-3			b u													
2162-3			b a													
2635-3			n													
2735-3			t a n a m a													
762-3			b a l a ŋ g u													
1788-3			s e													
2713-3			t ɛ m b n dʒ ɛ r ɛ													
3219-3			p a u													
4629-3			n u m													
4904-3			n u u n													
5125-3			t a n dʒ ɛ													
5771-3			j u g u													
5938-3			ʔ a r u n a													
1898-3			p u l u													
2901-3			t u m													
2957-3			m a n dʒ e													
3048-3			b i j e													
715-4				d u												
1089-4				n a												
1319-4				n ɔ												
1398-4				s u g u r u												
1557-4				g i r ɛ												
1626-4				w a g a												
1840-4				t i r												
2247-4				g ɔ												
4677-4				k u r ɔ												
5162-4				m i r ɛ												
5406-4				t aː n u												
359-4				k a r a												
1577-4				g i r u												
2196-4				n a r a												
2230-4				s u g ɔ												
2533-4				b a r a												
3605-4				k a n a												
3866-4				ɔ dʒ u												
4553-4				t a u												
4822-4				k u m ɔ												
5254-4				d u r ɔ												
503-4				k i r												
1356-4				m a												
1881-4				n u m												
2084-4				j aː u												
2420-4				k u r ɔ												
3218-4				p u dʒ u												
3718-4				a r a												
4135-4				b a r u												
4694-4				g u dʒ u												
807-4				k ɔ m ɔ												
2320-4				k a n ɛ												
2842-4				d i g u												
4313-4				n ɛ m												
4460-4				s u												
5514-4				n ɛ n ɛ												
5810-4				p i r u												
93-4				d ɔ												
260-4				b ɛ r ɛ												
385-4				k ɛ m ɛ												
890-4				a m i r u												
1769-4				t ɛ m ɛ												
2162-4				b ɛ r ɛ												
2635-4				s ɔ												
2735-4				d a n u												
3031-4				d ɛ g ɛ												
5301-4				p ɛ r u												
5605-4				t i m ɛ												
63-4				k a r a												
296-4				dʒ a m a												
463-4				d u m u												
762-4				b a n a k u r												
1432-4				t a r u												
1474-4				t ɔ												
2044-4				d i m ɛ												
3219-4				b aː dʒ u												
4120-4				k ɔ r ɔ												
4184-4				n ɛ												
4423-4				d ɔ r ɔ												
4629-4				n u ŋ ɔ												
4759-4				n i e												
4904-4				n u ŋ ɔ												
4960-4				g i n aː dʒ u												
4980-4				t ɔ												
5059-4				g u r ɔ												
5125-4				ɔ n ɔ												
5549-4				t a w a												
5771-4				dʒ u g u												
5922-4				b i r ɛ												
1-4				p ɛ												
629-4				d ɔ												
667-4				ɛ w ɛ												
1254-4				dʒ a m d u r u												
1415-4				n ɛ												
1542-4				n ɔ												
1683-4				s i												
1898-4				p u r u												
2551-4				r a												
3251-4				s a r a												
3885-4				d ɛ r ɛ												
715-5					d u											
1089-5					n a											
1319-5					n ɛ											
1398-5					s u g u l e											
1557-5					g i r e											
1626-5					w a g i											
1840-5					t ɛ n											
2247-5					g u											
4677-5					k u l e n											
5162-5					m i n l ɛ											
5406-5					t u n d i											
359-5					k a r a											
1577-5					g i r e											
2196-5					n a l e											
2230-5					s i g e											
3605-5					k a n d a											
3866-5					o dʒ i											
4553-5					t a g e											
4822-5					k u m b ɛ											
5254-5					d u l ɔ											
1356-5					m a											
1881-5					n u m											
2084-5					j a b i											
2420-5					k u l ɛ											
3218-5					p u g u dʒ u											
3372-5					n a m a											
3718-5					a r a											
4135-5					b a n i											
4694-5					g u dʒ u											
2476-5					k u											
2842-5					d i g i											
3719-5					m i											
4081-5					d u m b u											
5514-5					n ɛ n d ɛ											
260-5					b ɛ n r e											
385-5					d ɛ m b ɛ											
890-5					a m b i r u											
1703-5					b a											
1769-5					t e m b e											
2735-5					d a n a m a											
4591-5					t e r e											
5301-5					b ɛ l											
63-5					k a r a											
296-5					dʒ a m b e											
463-5					d u m b ɛ											
762-5					b a n a n g u											
1788-5					s e											
3219-5					b u s u											
4120-5					k o l											
4759-5					n o											
4960-5					g u n e											
5059-5					g u j e											
5549-5					t a a											
5771-5					j u g u											
5905-5					t e											
5938-5					a r u n a											
1415-5					n ɛː											
1542-5					n u											
1898-5					p u l o											
2551-5					r e											
2957-5					m a n d e											
3048-5					b i j e											
715-6						d i j										
1089-6						n a										
1319-6						n i										
1398-6						s u g u n e										
1557-6						g i d i										
1626-6						j a g a										
1840-6						d i n										
2247-6						g o										
4677-6						k u l ɛ j										
5162-6						m i n ɛ										
5406-6						d i n d i										
359-6						g a l a										
1577-6						g i d ɛ										
2196-6						n a l ɛ										
2230-6						s i g ɛ										
2533-6						b a d i										
3605-6						k a n d a										
4553-6						d a g e										
4822-6						k u m b ɛ										
5254-6						d u l ɛ										
503-6						k i n a										
1356-6						m a j										
1881-6						n u m										
2084-6						j a b i										
2420-6						k u l ɛ										
