COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ e			
203-1	a g u d e ʔ i			
138-1	s i l e			
504-1	ɗ oː ʃ e			
662-1	ɓ uː ɗ e			
478-1	g o ɗ e			
409-1	a ɾ e			
410-1	g u ɲ d e			
256-1	ɓ ʔ l e			
622-1	n d u			
546-1	n d u			
547-1	s e f a ʔ			
847-1	a n d e g i			
95-1	b e ɗ e			
105-1	b ɪ n a n e			
510-1	b o s e			
951-1	m b a m a ɾ e			
1116-1	m b a m a			
149-1	ɓ u tʃ ʔ i			
376-1	ɓ a l i			
815-1	g o ɾ e			
453-1	ɗ u n e			
67-1	ɗ e s e			
47-1	ɗ o k ʔ o θ e			
869-1	ɗ uː θ e			
57-1	g u g u			
303-1	g a tʃ ʔ i a			
443-1	g eː ɾ e			
884-1	g u n d o			
166-1	g u ɲ d e			
918-1	a b e ɾ o			
831-1	h ʔ e ʃ e			
616-1	b iː e			
84-1	h o s a l e			
346-1	h u h o l u			
601-1	tʃ i g i			
177-1	k ʔ a f a ŋ			
341-1	k ʔ o l e			
1066-1	f e n tʃ e ŋ e			
318-1	f eː tʃ e			
241-1	m o s o			
556-1	h a n d u ŋ u			
191-1	ɓ i m b i l			
458-1	a tʃ ʔ i tʃ ʔ i			
1-1	h a n k i ɾ			
751-1	ɾ o			
864-1	a ŋ o n e			
154-1	a m a n dʒ i			
278-1	a m i l o ʔ i a			
766-1	s oː ɾ e			
251-1	a g u ɾ u			
582-1	u ʔ o n			
6-1	a l i			
1106-1	n g o			
473-1	ɪ n e			
1111-1	h a θ u			
957-1	m a ɾ e			
41-1	b eː			
24-1	tʃ iː			
25-1	θ ʔ r e			
879-1	a b a ɾ a b a d			
837-1	m ʔ s i			
233-1	ɓ i b i o			
938-1	ɓ uː l e			
369-1	a ɾ e			
946-1	ɓ e ŋ g o			
889-1	ɓ eː l e			
820-1	ʔ s o ɾ e n			
438-1	n d e n e			
468-2		l a b a		
222-2		a b o b o n e		
208-2		a b u r b u		
962-2		a g o r a		
203-2		a g u d i ʔ o		
138-2		a ʃ i l e		
504-2		ɗ o ʃ ɛ f e		
662-2		ɓ u d aː n e		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d i g i		
95-2		b ə ɗ e		
105-2		b i n ɛ		
510-2		b o ʃ a		
951-2		m b ə r e		
1116-2		m b a m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ə l i		
815-2		g o r a f a		
453-2		ɗ aː ŋ e		
67-2		ɗ a ʃ e		
47-2		t u k o l a		
869-2		ɗ u l a		
57-2		g aː g u		
303-2		g a ʃ ʔ i a		
443-2		g eː r a		
884-2		g u n d u		
166-2		g u n d u		
918-2		a b o r e		
831-2		h i n ʃ e		
616-2		b iː e		
84-2		h o ʃ ə l a		
346-2		h u h o l o		
601-2		s i g i		
177-2		k ʔ a f a ŋ a		
341-2		k ʔ o l a		
1066-2		w ɛ n d e ŋ a		
318-2		f e ʃ a		
241-2		m aː ʃ iː o		
556-2		h a n d u ŋ u		
191-2		b i m b i l		
458-2		a ʃ ʔ i ʃ ʔ i		
1-2		h a n tʃ i r i		
751-2		r o		
864-2		a ŋ o n ɛ n e		
154-2		a m a n z i		
278-2		a m i l o ʔ i		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		u o ŋ e		
6-2		a l i		
1106-2		n g o		
473-2		i ŋ e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		ʃ iː		
25-2		l a r e		
879-2		a b a r a b ɛ d i		
566-2		w a ŋ f e r a		
742-2		a g o ʔ		
1044-2		ʃ i m b i l u		
13-2		h aː m i s		
720-2		aː s ɛ l a ʔ		
837-2		m aː ʃ i		
233-2		ɓ i iː ɓ i o		
938-2		ɓ u l a n e		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ iː l a		
820-2		a ʃ o r e n		
405-2		b o d e		
134-2		ɓ a ɗ i ʔ e		
1078-2		m e h i		
429-2		b oː ŋ k o ʃ		
187-2		b u s k ʔ e		
438-2		n d ɛ ŋ e		
468-3			θ a b a	
222-3			a b ɔ b o ʔ i	
208-3			a b ʊ d b u d u	
962-3			a g o r a	
203-3			a g u d i ʔ	
138-3			a ʃ i l e	
504-3			ɗ ʊu̯ o ʃ a	
662-3			p u d a	
478-3			g ɔ ɗ a	
409-3			a r e	
410-3			g u n d i	
256-3			ɓ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ d i g i	
95-3			b ə d a	
105-3			b ɪ n i	
510-3			b ɔ ʃ a	
951-3			m b ə m a r i	
1116-3			m b ə m a	
149-3			ɓ u s ʔ i	
376-3			p i l i	
815-3			g ɔ r a f a	
453-3			d u ŋ i	
67-3			a ɗ a ʃ a	
47-3			d u k ɔ θ a	
869-3			d u θ a	
57-3			g a g u	
303-3			g ɛ ʃ ʔ i a	
443-3			g i r a	
884-3			g u n d u	
166-3			g u n d u	
918-3			a b a r a	
831-3			h a h ʃ a	
616-3			b iː a	
84-3			h ɔ ʃ ɛ l i	
346-3			h ɔ h ɔ l o	
601-3			s i g i	
177-3			k ʔ a f a ŋ	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n d i ŋ a	
318-3			f eː ʃ i	
241-3			m aː ʃ ɔ	
556-3			h a n d u ŋ u	
191-3			ɓ ɪ m b i l	
458-3			a ʃ i ʔ i	
1-3			h a h ɪ r i	
751-3			r ɔ	
864-3			a ŋ ɔ n a	
154-3			a m a n s i	
278-3			a m i l e ʔ i a	
766-3			ʃ ʊu̯ r a	
251-3			a g u r u	
