COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ a θ a			
203-1	a g u d i			
138-1	ʃ i l i			
504-1	ɗ oː ʃ a f a			
662-1	ɓ uː ɗ e			
478-1	g oː ɗ e			
409-1	a ɾ o			
410-1	g u n d i			
256-1	ɓ l o			
622-1	n d u			
546-1	n d u			
547-1	ʃ e f a			
847-1	a n d ɪ e g i			
95-1	b e ɗ i			
105-1	b ɪ ɲ i ɲ i			
510-1	b o ʃ a			
951-1	m b a ɾ a ɾ e			
1116-1	m b a m a			
149-1	ɓ ʔ s ʔ i			
376-1	ɓ a l i			
815-1	g o ɾ a f a			
453-1	ɗ u n e			
67-1	ɗ a ʃ e			
47-1	d o k ʔ θ a			
869-1	ɗ uː θ e			
57-1	k g u			
303-1	g a dʒ ʔ i a			
443-1	g e ɾ a			
884-1	g u ɲ d o			
166-1	g u n d i			
918-1	a b a ɾ o			
831-1	h eː ʃ i			
616-1	ɓ eː o			
84-1	h o ʃ a l a			
346-1	h o l u l u			
601-1	dʒ i g i			
177-1	k ʔ a f a ɲ a			
341-1	k ʔ o l a			
1066-1	f o n dʒ e ɲ a			
318-1	f eː ʃ i			
241-1	m a ʃ o			
556-1	h a n d u ɲ u			
191-1	ɓ e m b ɪ l i			
458-1	a s ʔ i s ʔ i			
1-1	h a ʃ i ɾ			
751-1	ɾ o			
864-1	a ɲ o n a			
154-1	a m a ɲ dʒ i			
278-1	a m i l o a			
766-1	ʃ ɔː ɾ a			
251-1	a g uː ɾ u			
582-1	u ʔ o n			
6-1	a l i			
1106-1	ɲ g o			
473-1	ɪ n o			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b i e			
24-1	dʒ eː			
25-1	θ d e			
879-1	a b a ɾ a b e t			
837-1	m ʃ i			
233-1	b ʔ eː ɓ i o			
938-1	ɓ uː l a			
369-1	a d e			
946-1	ɓ a n g o			
889-1	ɓ eː l a			
820-1	ʃ o d e n			
438-1	ɲ t ɪ ɲ e			
283-1	m a n dʒ d e			
52-1	d o s			
842-1	ɗ ʔ o o ʃ a			
110-1	s ʔ ɪ t ə d i			
165-1	m a			
1007-1	ɪ n g o l e			
1088-1	h o s e l i			
1087-1	o n g o l e			
702-1	eː l a			
536-1	k ʔ eː t a			
694-1	n t ɛ			
468-2		l aː b a		
222-2		a b o b o n e		
208-2		a b u b u r u		
962-2		a g o l a		
203-2		a g u r i ʔ		
138-2		ʃ i l i		
504-2		ɗ oː ʃ ɛ f e		
662-2		ɓ u r a n e		
478-2		g oː ɗ e		
409-2		a e		
410-2		g u n d i		
256-2		ɓ aː l a		
622-2		n r u		
546-2		n r u		
547-2		ʃ ɛ f a		
847-2		a n d i g i		
95-2		b ɛ ɗ i		
105-2		b i ŋ i n i		
510-2		b o ʃ a		
951-2		m b a m a		
1116-2		m b a m a		
149-2		ɓ u ʃ i		
376-2		ɓ ɛ l i		
815-2		g o a f a		
453-2		ɗ u ŋ a		
67-2		ɗ a ʃ i		
47-2		d u k ʔ l a n e		
869-2		ɗ u l a		
57-2		k aː g u		
303-2		g ʔ a ʔ i a		
443-2		g e a		
884-2		g u n d o		
166-2		g u n d u		
918-2		a b a o		
831-2		h aː ʃ i		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h u h u l u		
601-2		s i g i		
177-2		k ʔ a f a n a		
341-2		k ʔ o l a		
1066-2		f ɛ n d e n i		
318-2		f ɛ ʃ i		
241-2		m aː ʃ iː o		
556-2		h a n r u n u		
191-2		ɓ i m b i l i		
458-2		a ʃ ʔ i ʃ ʔ i		
1-2		h a n z i		
751-2		o		
864-2		a n o n a		
154-2		a m a n ʃ i		
278-2		a m i l o		
766-2		ʃ oː a		
251-2		a g u u		
582-2		u ʔ u n e		
6-2		a l i		
1106-2		n g o		
473-2		i ŋ e		
1111-2		h a l u		
957-2		m a e		
41-2		b i e		
24-2		ʃ i		
25-2		l a e		
879-2		a b a ɛ b ɛ d i		
566-2		aː w a ŋ w a r s ʔ		
742-2		aː g u		
1044-2		ʃ i m b i l u		
13-2		h a h i s i		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		ɓ i ɓ i o		
938-2		ɓ u l e a n e		
369-2		a e		
946-2		ɓ a n g o		
889-2		ɓ iː l o		
820-2		a ʃ o i n		
405-2		b eː d a		
134-2		ɓ i ɗ i ʔ i		
1078-2		m i h i		
429-2		b o ŋ k o ʃ		
187-2		b i s k ʔ e		
438-2		n r i n e		
385-2		m a k ʔ o ʃ		
283-2		a n e ʃ a e		
390-2		aː b a		
783-2		m u r θ a		
842-2		ɗ o n o ʃ a		
110-2		z i r ɛ i		
650-2		k ʔ o ʃ		
91-2		g ɛ l a s i		
668-2		w ɛ l a		
777-2		d i l aː l i a		
728-2		s ʔ i		
165-2		m a		
1007-2		i n g o l e		
1087-2		i n g o l e		
894-2		iː s ʔ u		
536-2		k ʔ e d a		
694-2		n r ɛ		
468-3			θ aː b a	
222-3			a b a b ɔ n i	
208-3			a b ʊ b ʊ d u	
962-3			a g o θ a	
203-3			a g u d i ʔ	
138-3			ʃ i l a	
504-3			d ɔ ʃ a f a	
662-3			p u d a n e	
478-3			g ɔ d a	
409-3			a a	
410-3			g u n d i	
256-3			p a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n a d i g i	
95-3			b ɛ d i	
105-3			b ɪ n i	
510-3			b ɔ ʃ a	
951-3			m b m a r a	
1116-3			m b u m a	
149-3			p u ʃ ʔ i	
376-3			p i l i	
815-3			g ɔ a f a	
453-3			d u ŋ a	
67-3			d a ʃ a	
47-3			d u k ɔ θ a n e	
869-3			d u θ a	
57-3			k a g u	
303-3			g ɔ ʃ ʔ i a	
