COGID	Albanian	English	French	German	Latin
560-1	d j				
438-1	d r u				
1222-1	d m				
353-1	p e s e				
201-1	d ð r				
20-1	d ə r				
503-1	d e p				
957-1	d				
728-1	p a n				
244-1	n u m				
289-1	n d				
911-1	d u s r				
724-1	f u r				
145-1	d u				
992-1	d r				
1181-1	a r				
741-1	d r k				
1150-1	a r θ u				
585-1	n t				
814-1	d ə r				
916-1	o a				
1079-1	p s e				
630-1	d n r				
343-1	m j d j				
8-1	d o e d				
385-1	n u r				
683-1	a n d				
650-1	n e p a				
612-1	f e m				
871-1	d j s o				
667-1	m e θ o				
527-1	s e d y				
499-1	n d				
1029-1	m e				
560-2		h ɪ n			
438-2		g r			
1222-2		ə			
353-2		p ɛ s			
201-2		f ɪ t			
20-2		h au d			
503-2		p ɛ l			
957-2		n n			
728-2		g a d			
244-2		n ɪ r			
289-2		n ə f			
911-2		p ɛ r			
724-2		n r			
145-2		d a			
992-2		ð			
706-2		d g			
106-2		p ɛ d			
741-2		p ʊ			
421-2		s l g r			
227-2		p a t			
920-2		h r			
1083-2		h ɛ r θ			
1066-2		h f			
1125-2		g n d			
1197-2		s ɪi ʊ			
473-2		n ə			
284-2		n ɪ s			
661-2		h n			
701-2		r i d			
315-2		r au n			
1169-2		s a l			
1150-2		k d r			
982-2		s ɪ t			
987-2		s n			
1055-2		s n r r n			
1130-2		s e			
433-2		s s n			
625-2		h ɛ ŋ			
1186-2		n ɪ n			
416-2		ð			
1233-2		ð ɪ n ə			
884-2		ð ɛ r			
1016-2		h ŋ e ʃ ɪ			
952-2		n			
78-2		b l a s			
514-2		b r a n			
116-2		g t			
188-2		p ɛ r n			
745-2		f l v r			
1100-2		f r ɛ s d			
47-2		h s e			
111-2		h ɛ d			
1061-2		θ ɪ n			
24-2		n ɪ ŋ d			
232-2		n ə			
671-2		g i ɛ s			
385-2		s			
945-2		s i s			
644-2		d			
1041-2		s d			
492-2		h ɪ n			
1209-2		ə ʃ			
527-2		w a t			
14-2		g o l v			
1-2		o l			
915-2		h n d			
271-2		o ʃ			
560-3			ʒ ɑ̃ s		
438-3			g r		
1222-3			p		
353-3			p s s e		
201-3			p ɑ̃ s		
20-3			p o		
503-3			p l e		
957-3					
728-3			p n		
244-3			m		
289-3			t e r		
911-3			p r r		
724-3			ɛ̃ r		
145-3			ʒ u		
992-3			p		
1181-3			k ɑ̃		
706-3			ʒ s		
106-3			p ɑ̃ s r		
741-3			p o s		
421-3			f p o s		
227-3			p r e		
920-3			o r		
1083-3			o r		
1066-3			ʒ s		
1125-3			ʒ ɛ		
1197-3			p ɔ ɔ r		
473-3					
284-3			ɛ s		
661-3			ʒ		
701-3			r s r		
315-3			r i s		
1169-3			s ɛ t o		
1150-3			p g r e		
982-3			s ɛ d		
987-3			s s		
1055-3			s ɛ o		
1130-3			s ɛ s		
433-3			s ɛ t		
585-3			ʒ		
625-3			d ɑ̃		
1186-3			ʒ t		
814-3			p u r		
416-3			p		
1233-3			p ɑ̃ t r		
884-3			p ɑ̃ r i		
916-3			a		
1016-3			ɔ t v u l		
952-3			a e		
514-3			g r		
1079-3			a s b		
1100-3			g r e s		
47-3			m o s		
111-3			p ɛ k		
1061-3			f ɔ t e		
1155-3			o ɛ l		
343-3			ʒ t e s r		
671-3			t ɛ̃ s		
460-3			p t s		
8-3			ʒ r ɛ ɛ		
644-3			s u e		
683-3			ʃ ɑ̃ a t e		
650-3			k u		
612-3			p ø v		
871-3			p t		
1209-3			v ɛ s		
667-3			l o p		
499-3					
14-3			g r t ʒ		
1029-3			ʒ e		
272-3			s ɛ r		
560-4				h a n	
438-4				g r g	
1222-4				ʃ g	
353-4				f a ʃ ʃ	
201-4				f oi ə	
20-4				f uː t ə	
503-4				f a l	
957-4				g n	
728-4				l t	
244-4				n aː f	
289-4				n ai t	
911-4				f u s	
724-4				t r aː	
145-4				t oː	
992-4				ʃ	
1181-4				ʃ e g	
706-4				ʃ g	
106-4				f oi ə	
421-4				f l p r	
227-4				f uː s	
920-4				h r t	
1083-4				h d r n	
1066-4				iː g	
1125-4				n iː r	
1197-4				g ə	
473-4				n d n	
284-4				n eː r	
661-4				v n	
701-4				r u t	
315-4				r yː n d	
1169-4				z aː l s	
1150-4				ʃ au ə t	
982-4				ʃ l s	
987-4				z eː eː	
1055-4				ʃ s aː r	
1130-4				ʃ i k	
433-4				z ə n	
585-4				h	
625-4				g	
1186-4				s n ə	
814-4				n r	
416-4				d ai s	
1233-4				h a n d	
884-4				v a r f	
78-4				b l	
514-4				b r r eː	
116-4				a s	
188-4				f aː	
745-4				f d r	
1100-4				f r oː s	
630-4				eː r f ʃ t	
1155-4				ə d g	
24-4				n ai s	
232-4				n ə	
671-4				b ai s	
