COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a n a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	dʒ a l a									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a ŋ g a									
3207-1	p ʊ l a									
3519-1	t ʊ m a									
3686-1	i m b a									
4249-1	g ʊ m i									
4451-1	b i s i									
448-1	ʊ ɔ n i									
630-1	b ɛ l ɛ									
814-1	g ɔ m b ɛ									
1216-1	g a β a									
1228-1	b w a									
1418-1	s i m ʊ s j a									
1475-1	k w a									
2026-1	t w ɛ									
2775-1	b ʊ m b a									
3397-1	b ɔ l ɔ									
3826-1	ɔ ɔ k a									
4003-1	i β a									
4040-1	k ɛ n i									
4373-1	l i m i									
4384-1	i ŋʰ ɔ									
84-1	ʊ l g ʊ l ʊ									
116-1	j i i k a									
181-1	k ɔ ɔ ŋ g ɔ									
419-1	l ɔ ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	b i ŋʰ a									
1159-1	n a									
1350-1	l j a									
1374-1	n a n ɛ n a									
1396-1	dʒ ɔ β ʊ									
1430-1	i s ɔ									
1666-1	t a n ɔ									
1767-1	k ɔ k ɔ									
1906-1	ŋ g ʊ l a									
2177-1	ŋ g a h i									
2286-1	l a									
2317-1	f ʊ p a									
2419-1	s ɛ k a									
2750-1	ɔ s i									
3018-1	z i l a									
3275-1	k a n a									
3441-1	s a á ŋ g a									
3464-1	β ɔ n a									
3639-1	t ɛ t ɛ m ɛ l a									
3885-1	s ʊ m ɔ									
3981-1	ɛ m a									
4192-1	j i m b a									
4260-1	z w a									
4350-1	l ɛ l ɔ									
43-1	z i m ʊ									
93-1	k ɔ n ɔ									
200-1	b i									
374-1	l w a w a									
459-1	l ʊ m a									
508-1	p ɔ f ʊ									
528-1	b i l i									
575-1	t a									
871-1	t á m a									
1137-1	s ʊ k ʊ									
1339-1	t w ɛ									
1585-1	a l a									
1712-1	β ʊ l ɔ									
1872-1	p a									
2088-1	b i s a									
2166-1	ʊ m b a m									
2334-1	p i i g ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i ŋ g i									
2738-1	β ɛ ɛ l ɛ									
2872-1	k ɔ s i									
2893-1	t i k ʊ									
2997-1	k a n s a									
3075-1	k ʊ l ʊ b ɛ									
3675-1	l l ɔ a l ɛ									
4028-1	b w ɛ									
4137-1	m i l a									
4238-1	s ɔ s i									
4316-1	t a t ʊ									
4429-1	a s a									
4440-1	b i l i									
4485-1	s ʊ									
4574-1	f w á l a									
4688-1	w ɛ w ɛ									
143-1	β ʊ									
240-1	ɔ ɔ g a									
388-1	ʊ m a ʊ m a									
