ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Eryuan	ʈʂʰ ɤ ³¹	ʈʂʰ - ɤ ³¹	12
2	Heqing	tɕʰ w ɔ ³¹	tɕʰ w ɔ ³¹	12
3	Jianchuan	tsʰ ɤ ³¹	tsʰ - ɤ ³¹	12
4	Lanping	tsʰ ɛ ⁴²	tsʰ - ɛ ⁴²	12
5	Qiliqiao	tsʰ ɤ ³¹	tsʰ - ɤ ³¹	12
6	Zhoucheng	tsʰ ɤ ³¹	tsʰ - ɤ ³¹	12
7	Eryuan	t e ³³	t - e ³³	53
8	Heqing	t j ɛ ³³	t j ɛ ³³	53
9	Jianchuan	t ĩ ³³	t - ĩ ³³	53
10	Lanping	t j ɛ̃ ³³	t j ɛ̃ ³³	53
11	Xiangyun	t ĩ ³³	t - ĩ ³³	53
12	Yunlong	t i ³³	t - i ³³	53
13	Eryuan	t ɔ ⁴⁴	t ɔ ⁴⁴	54
14	Luobenzhuo	t o ⁵⁵	t o ⁵⁵	54
15	Qiliqiao	t o ⁴⁴	t o ⁴⁴	54
16	Zhoucheng	t o ³³	t o ³³	54
17	Eryuan	tɕ i ³³	tɕ i ³³	85
18	Heqing	tɕ ĩ ³³	tɕ ĩ ³³	85
19	Jianchuan	tɕ ĩ ³³	tɕ ĩ ³³	85
20	Lanping	tɕ ĩ ³³	tɕ ĩ ³³	85
21	Qiliqiao	tɕ i ³³	tɕ i ³³	85
22	Yunlong	dz e ³³	dz e ³³	85
23	Zhoucheng	tɕ i ³³	tɕ i ³³	85
24	Eryuan	ɲ ɯ ⁴²	ɲ ɯ ⁴²	108
25	Heqing	j ɯ̃ ⁴²	j ɯ̃ ⁴²	108
26	Jianchuan	j ɯ̃ ⁴²	j ɯ̃ ⁴²	108
27	Lanping	j ɯ̃ ⁴²	j ɯ̃ ⁴²	108
28	Yunlong	ɲ ɯ ⁴²	ɲ ɯ ⁴²	108
29	Zhoucheng	ɲ ɯ ³²	ɲ ɯ ³²	108
30	Luobenzhuo	ʈʂ æ ⁵⁵	ʈʂ æ ⁵⁵	109
31	Xiangyun	tɕ ɛ ⁴⁴	tɕ ɛ ⁴⁴	109
32	Eryuan	l a ⁴⁴	l a ⁴⁴	138
33	Heqing	l a ⁴⁴	l a ⁴⁴	138
34	Xiangyun	l a ⁴⁴	l a ⁴⁴	138
35	Jianchuan	s ẽ ³³	s - ẽ ³³	139
36	Lanping	s w ẽ ³³	s w ẽ ³³	139
37	Qiliqiao	t e ³³	t e ³³	141
38	Zhoucheng	t ɛ ³³	t ɛ ³³	141
39	Luobenzhuo	t ɯ̃ ³¹	t ɯ̃ ³¹	149
40	Yunlong	d ɔ ³¹	d ɔ ³¹	149
41	Eryuan	ts e ⁴⁴	ts e ⁴⁴	160
42	Heqing	ts e ⁵⁵	ts e ⁵⁵	160
43	Jianchuan	ts e ⁴⁴	ts e ⁴⁴	160
44	Lanping	ts e ⁴²	ts e ⁴²	160
45	Qiliqiao	ts e ⁴⁴	ts e ⁴⁴	160
46	Xiangyun	ts e ⁴⁴	ts e ⁴⁴	160
47	Yunlong	ts ɛ ⁴⁴	ts ɛ ⁴⁴	160
48	Zhoucheng	ts e ⁴⁴	ts e ⁴⁴	160
49	Eryuan	tɕʰ ɔ ⁵⁵	tɕʰ - ɔ ⁵⁵	180
50	Heqing	ts a ³⁵	ts - a ³⁵	180
51	Jianchuan	ts a ³⁵	ts - a ³⁵	180
52	Lanping	tɕʰ ɛ̃ ⁵⁵	tɕʰ - ɛ̃ ⁵⁵	180
53	Luobenzhuo	d a ⁵⁵	d - a ⁵⁵	180
54	Xiangyun	tɕʰ w ɛ ⁵⁵	tɕʰ w ɛ ⁵⁵	180
55	Yunlong	ts a ⁵⁵	ts - a ⁵⁵	180
56	Luobenzhuo	tɕ ã ³¹	tɕ ã ³¹	183
57	Yunlong	tɕʰ i ³¹	tɕʰ i ³¹	183
58	Eryuan	t ɔ ³⁵	t ɔ ³⁵	195
59	Heqing	t ɔu ³⁵	t ɔu ³⁵	195
60	Jianchuan	t o ⁵⁵	t o ⁵⁵	195
61	Lanping	t u ⁵⁵	t u ⁵⁵	195
62	Qiliqiao	t ɔ ³⁵	t ɔ ³⁵	195
63	Zhoucheng	t ɔ ³⁵	t ɔ ³⁵	195
64	Eryuan	p ɔ ³⁵	p ɔ ³⁵	196
65	Heqing	p ɔu ³⁵	p ɔu ³⁵	196
66	Jianchuan	p o ⁵⁵	p o ⁵⁵	196
67	Lanping	p u ⁵⁵	p u ⁵⁵	196
68	Luobenzhuo	p ɤ ⁵⁵	p ɤ ⁵⁵	196
69	Qiliqiao	p ɔ ³⁵	p ɔ ³⁵	196
70	Zhoucheng	p ɔ ³⁵	p ɔ ³⁵	196
71	Eryuan	x ɔ ³¹	x - ɔ ³¹	214
72	Jianchuan	x u ³¹	x - u ³¹	214
73	Lanping	x ɔ ³³	x - ɔ ³³	214
74	Luobenzhuo	x ẽ ⁵⁵	x - ẽ ⁵⁵	214
75	Qiliqiao	x a ⁴²	x - a ⁴²	214
76	Xiangyun	x w e ³³	x w e ³³	214
77	Eryuan	kʰ ɯ ³³	kʰ ɯ ³³	215
78	Jianchuan	kʰ ɯ ³³	kʰ ɯ ³³	215
79	Lanping	kʰ ɯ ⁴⁴	kʰ ɯ ⁴⁴	215
80	Qiliqiao	kʰ ɯ ³³	kʰ ɯ ³³	215
81	Xiangyun	kʰ ou ³³	kʰ ou ³³	215
82	Luobenzhuo	ts ẽ ⁵⁵	ts ẽ ⁵⁵	218
83	Yunlong	tɕʰ i ³¹	tɕʰ i ³¹	218
84	Zhoucheng	ts ɿ ⁴⁴	ts ɿ ⁴⁴	218
85	Eryuan	j ɯ ⁴⁴	j ɯ ⁴⁴	253
86	Heqing	j ɯ̃ ⁴⁴	j ɯ̃ ⁴⁴	253
87	Jianchuan	j ɯ̃ ⁴⁴	j ɯ̃ ⁴⁴	253
