** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.1026        0.2323       0.7289         0.6439       0.9231        0.2017       0.7672         0.6917
10               1.2188        0.2551       0.7109         0.6360       1.0312        0.2174       0.7662         0.6634
2                0.8710        0.1875       0.7949         0.7074       0.9032        0.1993       0.7870         0.6823
3                1.2500        0.2913       0.7556         0.5332       2.5833        0.5907       0.5442         0.2436
4                0.6071        0.1458       0.8658         0.7477       1.2500        0.3000       0.7000         0.4915
5                2.0000        0.5500       0.7698         0.2611       2.4000        0.6833       0.5579         0.1837
6                0.8667        0.2045       0.8148         0.6637       1.4000        0.3348       0.6547         0.4876
7                1.0870        0.2443       0.8041         0.6175       1.9565        0.4274       0.6313         0.4169
8                0.6429        0.1608       0.8513         0.7251       0.8571        0.1939       0.7806         0.6841
9                1.6500        0.3358       0.7394         0.5505       1.7500        0.3700       0.6272         0.4595
TOTAL            1.1296        0.2607       0.7835         0.6086       1.5055        0.3519       0.6816         0.5004


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.3944        0.2907       0.6646         0.5775       1.4930        0.3163       0.5985         0.5349
10               1.4600        0.2904       0.6434         0.5921       1.2600        0.2738       0.6795         0.6014
2                1.1786        0.2462       0.6963         0.6332       1.2143        0.2597       0.6878         0.6090
3                2.2222        0.5083       0.5753         0.3461       3.5000        0.7255       0.3571         0.1909
4                1.0000        0.2500       0.7220         0.6178       1.2679        0.3057       0.6187         0.5163
5                2.0000        0.6354       0.6826         0.1932       2.3750        0.7083       0.4795         0.1526
6                0.8846        0.1992       0.7882         0.6876       1.3462        0.3141       0.6460         0.5236
7                1.3158        0.3154       0.7328         0.5270       2.2368        0.5535       0.4758         0.2797
8                0.8400        0.2084       0.7725         0.6739       1.4200        0.3319       0.6123         0.5105
9                1.5143        0.3569       0.6572         0.4946       2.5714        0.5205       0.4675         0.3320
TOTAL            1.3810        0.3301       0.6935         0.5343       1.8685        0.4309       0.5623         0.4251


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4059        0.3066       0.6360         0.5352       1.7624        0.3910       0.5260         0.4248
10               1.3429        0.2530       0.6575         0.6276       1.6000        0.3361       0.5805         0.5362
2                1.0800        0.2290       0.6936         0.6741       1.9333        0.4409       0.5112         0.4061
3                2.2500        0.5204       0.5762         0.3402       3.5000        0.7529       0.3227         0.1718
4                0.9189        0.2221       0.7248         0.6583       1.5811        0.3828       0.5375         0.4194
5                2.5455        0.6439       0.6254         0.1666       2.8182        0.7712       0.4237         0.0758
6                1.1739        0.2602       0.7169         0.6003       1.3913        0.3308       0.6322         0.5167
7                1.6122        0.3640       0.6435         0.4785       2.2041        0.5466       0.4118         0.3091
8                1.0959        0.2634       0.7153         0.6113       2.1507        0.5118       0.4247         0.3197
9                2.0500        0.4395       0.5729         0.4094       2.7250        0.5741       0.4442         0.2806
TOTAL            1.5475        0.3502       0.6562         0.5101       2.1666        0.5038       0.4815         0.3460


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.4929        0.3280       0.6172         0.5283       2.0500        0.4427       0.5099         0.3779
10               1.2875        0.2539       0.6631         0.6222       2.0500        0.4202       0.4899         0.4360
2                1.1294        0.2394       0.6826         0.6570       2.4000        0.5367       0.4437         0.2943
3                2.4545        0.5523       0.5477         0.3035       3.5455        0.7489       0.3717         0.1606
4                1.2584        0.2955       0.6539         0.5519       1.8652        0.4701       0.4127         0.3553
5                2.5455        0.6439       0.6254         0.1666       2.8182        0.7712       0.4237         0.0758
6                1.2000        0.2784       0.6563         0.5685       1.9222        0.4578       0.4851         0.3704
7                1.7818        0.4000       0.6049         0.4393       2.8182        0.6833       0.3683         0.2043
8                1.2471        0.2905       0.6611         0.5648       2.3529        0.5582       0.3556         0.2545
9                2.0000        0.4209       0.5687         0.4486       2.5238        0.5203       0.4447         0.3132
TOTAL            1.6397        0.3703       0.6281         0.4851       2.4346        0.5609       0.4305         0.2842


** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
1                1.9477        0.4325       0.5433         0.3991       2.2353        0.4896       0.4449         0.3490
10               1.6111        0.3267       0.6034         0.5249       2.4333        0.5077       0.4412         0.3274
2                1.6923        0.3744       0.5865         0.4792       2.7788        0.6253       0.3591         0.2164
3                3.0370        0.6876       0.4534         0.1893       3.7407        0.7636       0.3124         0.1348
4                1.6228        0.3755       0.5871         0.4566       2.5965        0.6703       0.3569         0.1421
5                2.5455        0.6439       0.6254         0.1666       2.8182        0.7712       0.4237         0.0758
6                1.5455        0.3376       0.5987         0.5225       2.0727        0.4905       0.4144         0.3139
7                1.9219        0.4349       0.5392         0.4202       2.7500        0.6531       0.3732         0.2117
8                1.4479        0.3420       0.6210         0.4954       2.9271        0.6693       0.2801         0.1670
9                2.6170        0.5700       0.5354         0.2830       3.1915        0.6656       0.3599         0.1892
TOTAL            1.9989        0.4525       0.5693         0.3937       2.7544        0.6306       0.3766         0.2127


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.10.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.6923        0.1994       0.8221         0.6938       0.2308        0.0718       0.9100         0.8874
Changsha              0.9423        0.2715       0.7535         0.6282       0.3462        0.1096       0.8774         0.8349
Chaozhou              1.5192        0.3955       0.6070         0.4542       1.2115        0.3196       0.6567         0.5585
Chengdu               0.6538        0.1804       0.8464         0.7223       0.2115        0.0506       0.9350         0.9273
Fuzhou                1.0962        0.2766       0.7308         0.5879       0.8269        0.2288       0.7356         0.6504
Guangzhou             1.2500        0.3641       0.7000         0.5046       0.7692        0.2196       0.7403         0.6920
Hankou                0.6538        0.1910       0.8535         0.7119       0.1731        0.0567       0.9493         0.9075
Jinan                 0.7308        0.2199       0.8174         0.6827       0.1154        0.0401       0.9550         0.9365
Meixian               0.9038        0.2420       0.7388         0.6388       0.7500        0.2000       0.7633         0.6909
Nanchang              0.9615        0.2772       0.7486         0.6106       0.5769        0.1622       0.8256         0.7453
Shanghai              1.3269        0.3776       0.6650         0.4966       0.8077        0.2420       0.7365         0.6745
Shuangfeng            1.1154        0.3138       0.7211         0.5603       0.7500        0.2071       0.7511         0.7032
Suzhou                1.0769        0.2981       0.7255         0.5681       0.5577        0.1689       0.8264         0.7392
Taiyuan               1.0385        0.2808       0.7222         0.6061       0.2692        0.0724       0.9154         0.8859
Wenzhou               1.5769        0.4529       0.5904         0.4043       0.9423        0.2740       0.6833         0.6183
Xiamen                1.1346        0.2946       0.7126         0.5606       2.6731        0.7026       0.5426         0.1381
XiAn                  0.8077        0.2359       0.8135         0.6459       2.6731        0.7051       0.5999         0.1379
Yangzhou              0.9808        0.2692       0.7562         0.6283       0.4038        0.1228       0.8844         0.8151
ZhongyuanYinyun       2.4423        0.5827       0.5058         0.2713       0.4038        0.1077       0.8834         0.8290
TOTAL                 1.1002        0.3012       0.7279         0.5777       0.7733        0.2138       0.7985         0.7038


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.20.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7596        0.2205       0.7766         0.6852       0.2500        0.0798       0.8929         0.8732
Changsha              0.9808        0.2870       0.7051         0.6056       0.4808        0.1421       0.8238         0.7802
Chaozhou              1.6538        0.4216       0.5319         0.4336       1.3750        0.3636       0.5745         0.5041
Chengdu               0.6731        0.1893       0.8051         0.7084       0.2019        0.0545       0.9205         0.9170
Fuzhou                1.1154        0.2824       0.6739         0.5837       0.8558        0.2248       0.7042         0.6642
Guangzhou             1.2596        0.3627       0.6394         0.4944       0.7500        0.2131       0.7270         0.7019
Hankou                0.6827        0.2006       0.7943         0.7053       0.2788        0.0843       0.8880         0.8725
Jinan                 0.7019        0.2173       0.7801         0.7023       0.1731        0.0527       0.9139         0.9153
Meixian               1.0673        0.2795       0.6589         0.5950       0.8558        0.2253       0.7203         0.6673
Nanchang              1.0962        0.3040       0.6732         0.5630       0.5769        0.1575       0.7960         0.7542
Shanghai              1.3558        0.3909       0.6236         0.4843       0.5481        0.1755       0.7795         0.7579
Shuangfeng            1.1346        0.3176       0.6650         0.5638       0.7788        0.2194       0.7226         0.6728
Suzhou                1.0962        0.3019       0.7047         0.5749       0.4135        0.1236       0.8386         0.8017
Taiyuan               1.0096        0.2715       0.6868         0.6192       0.2981        0.0787       0.8899         0.8769
Wenzhou               1.5577        0.4582       0.5514         0.4012       0.8558        0.2588       0.6672         0.6456
Xiamen                1.0673        0.2809       0.6841         0.5813       2.7308        0.7199       0.4600         0.1392
XiAn                  0.8462        0.2550       0.7480         0.6292       2.6635        0.7019       0.5305         0.1534
Yangzhou              0.9519        0.2611       0.7235         0.6381       0.4808        0.1364       0.8146         0.7988
ZhongyuanYinyun       2.5865        0.6192       0.4393         0.2519       0.4519        0.1210       0.8388         0.7992
TOTAL                 1.1366        0.3116       0.6771         0.5695       0.7905        0.2175       0.7633         0.6998


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.30.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.7677        0.2286       0.7653         0.6769       0.2194        0.0686       0.8992         0.8953
Changsha              0.9484        0.2814       0.6961         0.6100       0.5419        0.1653       0.7815         0.7497
Chaozhou              1.5613        0.4115       0.5403         0.4379       1.3032        0.3388       0.5626         0.5302
Chengdu               0.6903        0.1945       0.7900         0.7067       0.1871        0.0508       0.9247         0.9227
Fuzhou                1.1290        0.2926       0.6526         0.5710       1.0065        0.2667       0.6429         0.5985
Guangzhou             1.2065        0.3488       0.6545         0.5149       0.8129        0.2305       0.6895         0.6622
Hankou                0.6774        0.1991       0.7853         0.7082       0.2581        0.0763       0.9004         0.8809
Jinan                 0.7355        0.2310       0.7674         0.6761       0.2065        0.0728       0.8995         0.8903
Meixian               0.9484        0.2578       0.6696         0.6203       0.7677        0.2089       0.7154         0.6807
Nanchang              1.0065        0.2837       0.6717         0.5795       0.6710        0.1800       0.7397         0.7227
