COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	u a b a			
222-1	a b k b k n e			
208-1	a b u u b u d u			
962-1	a g o u eː a			
203-1	a g u d i			
138-1	ʃ ʃ l e			
504-1	ɗ ɔː ʃ a n			
662-1	ɓ d a			
478-1	g g ɗ ɗ			
409-1	a u e			
410-1	g u n d i			
256-1	ɓ a mʷ e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ a ʔ			
847-1	n g n d ɛ g i			
95-1	b ɛ ɗ i			
105-1	b ɓ n e			
510-1	b oː ʃ a			
951-1	m b ɓ m a o			
1116-1	m b ə m			
149-1	ɓ u dʒ ʔ i			
376-1	ɓ a mʷ i			
815-1	k o u a n			
453-1	ɗ u ɲ e			
67-1	ɗ a ʃ e			
47-1	ɗ o k o d a			
869-1	ɗ u a			
57-1	k b g u			
303-1	g a dʒ ʔ i a			
443-1	g ə u a			
884-1	g u n d i			
166-1	g u n d i			
918-1	a b ɛ u e			
831-1	ɗ a ʃ ɪ			
616-1	b eː e			
84-1	ɗ o ʃ ə l a			
346-1	ɗ o mʷ u l			
601-1	dʒ i g i			
177-1	k ʔ a a			
341-1	k ʔ o l a			
1066-1	ɛ n dʒ e n a			
318-1	ə ʃ i			
241-1	m a ʃ ɲ			
556-1	ɗ a n d u ɲ u			
191-1	ɓ ɪ m b ɓ l			
458-1	a dʒ ʔ i dʒ ʔ i			
1-1	ɗ a n ʃ i u			
751-1	u o			
864-1	a ɲ o n i			
154-1	a m a n b i			
278-1	a m i l u ʔ			
766-1	ʃ ɔː u a			
251-1	a g u u			
582-1	u ʔ o ɲ			
6-1	a l i			
1106-1	ɲ g o			
473-1	ɲ i n e			
1111-1	ɗ a l u			
957-1	m a u e			
41-1	b i e			
24-1	dʒ l			
25-1	u a u e			
879-1	a b a u a b ɛ d			
837-1	m a ʃ i			
233-1	b i b ɪ i o			
938-1	ɓ u u a			
369-1	a u e			
946-1	ɓ a ɲ g o			
889-1	ɓ l l e			
820-1	a ʃ o u e n			
438-1	n d ɓ n e			
283-1	m n b dʒ ɪ e b			
52-1	d ɔː ɲ			
842-1	ɗ o ɲ o ʃ a			
110-1	a i ɗ g ɛ ɪ			
165-1	m a			
1007-1	o ɲ g o l e			
1088-1	ɗ o ʃ ɛ l e			
1087-1	o ɲ g o l e			
702-1	eː l a			
536-1	k l ɗ u			
694-1	n d ə			
468-2		l a b a		
222-2		aː b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r t a		
203-2		a g u d i ʔ		
138-2		ʃ mː l i		
504-2		ɗ oː ʃ ɛ f		
662-2		ɓ d aː		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː mː e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n r d mː a e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b oː ʃ a		
951-2		m b ɓ m a r e		
1116-2		m b ɛ m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ɛ mː i		
815-2		g o r a ŋ		
453-2		ɗ s ŋ e		
67-2		ɗ a ʃ e		
47-2		d o k o l ɛ n		
869-2		ɗ l a		
57-2		k aː g u		
303-2		k a s ʔ i a		
443-2		g ɛ r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ i		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h u l u		
