index	index_p	rindex	rindex_p	cogid	id_AchangLongchuan	segment_AchangLongchuan	segment_AchangLongchuan_L1	segment_AchangLongchuan_L2	segment_AchangLongchuan_L3	segment_AchangLongchuan_R1	segment_AchangLongchuan_R2	segment_AchangLongchuan_R3	SC_AchangLongchuan	SC_AchangLongchuan_L1	SC_AchangLongchuan_L2	SC_AchangLongchuan_L3	SC_AchangLongchuan_R1	SC_AchangLongchuan_R2	SC_AchangLongchuan_R3	PROSODY_AchangLongchuan	PROSODY_AchangLongchuan_L1	PROSODY_AchangLongchuan_L2	PROSODY_AchangLongchuan_L3	PROSODY_AchangLongchuan_R1	PROSODY_AchangLongchuan_R2	PROSODY_AchangLongchuan_R3	id_Atsi	segment_Atsi	segment_Atsi_L1	segment_Atsi_L2	segment_Atsi_L3	segment_Atsi_R1	segment_Atsi_R2	segment_Atsi_R3	SC_Atsi	SC_Atsi_L1	SC_Atsi_L2	SC_Atsi_L3	SC_Atsi_R1	SC_Atsi_R2	SC_Atsi_R3	PROSODY_Atsi	PROSODY_Atsi_L1	PROSODY_Atsi_L2	PROSODY_Atsi_L3	PROSODY_Atsi_R1	PROSODY_Atsi_R2	PROSODY_Atsi_R3	id_Bola	segment_Bola	segment_Bola_L1	segment_Bola_L2	segment_Bola_L3	segment_Bola_R1	segment_Bola_R2	segment_Bola_R3	SC_Bola	SC_Bola_L1	SC_Bola_L2	SC_Bola_L3	SC_Bola_R1	SC_Bola_R2	SC_Bola_R3	PROSODY_Bola	PROSODY_Bola_L1	PROSODY_Bola_L2	PROSODY_Bola_L3	PROSODY_Bola_R1	PROSODY_Bola_R2	PROSODY_Bola_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_OldBurmese	segment_OldBurmese	segment_OldBurmese_L1	segment_OldBurmese_L2	segment_OldBurmese_L3	segment_OldBurmese_R1	segment_OldBurmese_R2	segment_OldBurmese_R3	SC_OldBurmese	SC_OldBurmese_L1	SC_OldBurmese_L2	SC_OldBurmese_L3	SC_OldBurmese_R1	SC_OldBurmese_R2	SC_OldBurmese_R3	PROSODY_OldBurmese	PROSODY_OldBurmese_L1	PROSODY_OldBurmese_L2	PROSODY_OldBurmese_L3	PROSODY_OldBurmese_R1	PROSODY_OldBurmese_R2	PROSODY_OldBurmese_R3	id_ProtoBurmish	segment_ProtoBurmish	segment_ProtoBurmish_L1	segment_ProtoBurmish_L2	segment_ProtoBurmish_L3	segment_ProtoBurmish_R1	segment_ProtoBurmish_R2	segment_ProtoBurmish_R3	SC_ProtoBurmish	SC_ProtoBurmish_L1	SC_ProtoBurmish_L2	SC_ProtoBurmish_L3	SC_ProtoBurmish_R1	SC_ProtoBurmish_R2	SC_ProtoBurmish_R3	PROSODY_ProtoBurmish	PROSODY_ProtoBurmish_L1	PROSODY_ProtoBurmish_L2	PROSODY_ProtoBurmish_L3	PROSODY_ProtoBurmish_R1	PROSODY_ProtoBurmish_R2	PROSODY_ProtoBurmish_R3	id_Rangoon	segment_Rangoon	segment_Rangoon_L1	segment_Rangoon_L2	segment_Rangoon_L3	segment_Rangoon_R1	segment_Rangoon_R2	segment_Rangoon_R3	SC_Rangoon	SC_Rangoon_L1	SC_Rangoon_L2	SC_Rangoon_L3	SC_Rangoon_R1	SC_Rangoon_R2	SC_Rangoon_R3	PROSODY_Rangoon	PROSODY_Rangoon_L1	PROSODY_Rangoon_L2	PROSODY_Rangoon_L3	PROSODY_Rangoon_R1	PROSODY_Rangoon_R2	PROSODY_Rangoon_R3	id_Xiandao	segment_Xiandao	segment_Xiandao_L1	segment_Xiandao_L2	segment_Xiandao_L3	segment_Xiandao_R1	segment_Xiandao_R2	segment_Xiandao_R3	SC_Xiandao	SC_Xiandao_L1	SC_Xiandao_L2	SC_Xiandao_L3	SC_Xiandao_R1	SC_Xiandao_R2	SC_Xiandao_R3	PROSODY_Xiandao	PROSODY_Xiandao_L1	PROSODY_Xiandao_L2	PROSODY_Xiandao_L3	PROSODY_Xiandao_R1	PROSODY_Xiandao_R2	PROSODY_Xiandao_R3
1	0.3333	3	1.0000	2	1	p	∅	∅	∅	ɔ	³¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																																																																																																															2	b	∅	∅	∅	a	²	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	2	1	ɔ	p	∅	∅	³¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																																																															2	a	b	∅	∅	²	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	2	1	³¹	ɔ	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																																																															2	²	a	b	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	6	3	p	∅	∅	∅	ʐ	a	⁵⁵	P	∅	∅	∅	S	A	_	1	∅	∅	∅	3	7	0																																																																			4	p	∅	∅	∅	j	ɛ	³¹	P	∅	∅	∅	J	E	_	1	∅	∅	∅	6	7	0																							5	b	∅	∅	∅	r	ɛ	¹	P	∅	∅	∅	R	E	_	1	∅	∅	∅	5	7	0																																												
2	0.5000	3	0.7500	6	3	ʐ	p	∅	∅	a	⁵⁵	∅	S	P	∅	∅	A	_	∅	3	1	∅	∅	7	0	∅																																																																			4	j	p	∅	∅	ɛ	³¹	∅	J	P	∅	∅	E	_	∅	6	1	∅	∅	7	0	∅																							5	r	b	∅	∅	ɛ	¹	∅	R	P	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅																																												
3	0.7500	2	0.5000	6	3	a	ʐ	p	∅	⁵⁵	∅	∅	A	S	P	∅	_	∅	∅	7	3	1	∅	0	∅	∅																																																																			4	ɛ	j	p	∅	³¹	∅	∅	E	J	P	∅	_	∅	∅	7	6	1	∅	0	∅	∅																							5	ɛ	r	b	∅	¹	∅	∅	E	R	P	∅	_	∅	∅	7	5	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	6	3	⁵⁵	a	ʐ	p	∅	∅	∅	_	A	S	P	∅	∅	∅	0	7	3	1	∅	∅	∅																																																																			4	³¹	ɛ	j	p	∅	∅	∅	_	E	J	P	∅	∅	∅	0	7	6	1	∅	∅	∅																							5	¹	ɛ	r	b	∅	∅	∅	_	E	R	P	∅	∅	∅	0	7	5	1	∅	∅	∅																																												
1	0.2500	4	1.0000	9																																													6	p	∅	∅	∅	ɛ	ʔ	³¹	P	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0																							7	p	∅	∅	∅	ɛ	ʔ	³¹	P	∅	∅	∅	E	H	_	1	∅	∅	∅	7	1	0																																																																																								
2	0.5000	3	0.7500	9																																													6	ɛ	p	∅	∅	ʔ	³¹	∅	E	P	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																							7	ɛ	p	∅	∅	ʔ	³¹	∅	E	P	∅	∅	H	_	∅	7	1	∅	∅	1	0	∅																																																																																								
3	0.7500	2	0.5000	9																																													6	ʔ	ɛ	p	∅	³¹	∅	∅	H	E	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							7	ʔ	ɛ	p	∅	³¹	∅	∅	H	E	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																																																																								
4	1.0000	1	0.2500	9																																													6	³¹	ʔ	ɛ	p	∅	∅	∅	_	H	E	P	∅	∅	∅	0	1	7	1	∅	∅	∅																							7	³¹	ʔ	ɛ	p	∅	∅	∅	_	H	E	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																																																																								
1	0.2500	4	1.0000	10	8	ʂ	∅	∅	∅	a	m	⁵⁵	S	∅	∅	∅	A	M	_	3	∅	∅	∅	7	4	0	9	p	∅	∅	∅	a	t	²¹	P	∅	∅	∅	A	T	_	1	∅	∅	∅	7	1	0																							10	p	∅	∅	∅	aː	t	³¹	P	∅	∅	∅	A	T	_	1	∅	∅	∅	7	1	0																																																																			11	p	∅	∅	∅	ɛ	-	⁵⁵	P	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	12	p	∅	∅	∅	a	t	⁵⁵	P	∅	∅	∅	A	T	_	1	∅	∅	∅	7	1	0
2	0.5000	3	0.7500	10	8	a	ʂ	∅	∅	m	⁵⁵	∅	A	S	∅	∅	M	_	∅	7	3	∅	∅	4	0	∅	9	a	p	∅	∅	t	²¹	∅	A	P	∅	∅	T	_	∅	7	1	∅	∅	1	0	∅																							10	aː	p	∅	∅	t	³¹	∅	A	P	∅	∅	T	_	∅	7	1	∅	∅	1	0	∅																																																																			11	ɛ	p	∅	∅	-	⁵⁵	∅	E	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	12	a	p	∅	∅	t	⁵⁵	∅	A	P	∅	∅	T	_	∅	7	1	∅	∅	1	0	∅
3	0.7500	2	0.5000	10	8	m	a	ʂ	∅	⁵⁵	∅	∅	M	A	S	∅	_	∅	∅	4	7	3	∅	0	∅	∅	9	t	a	p	∅	²¹	∅	∅	T	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																							10	t	aː	p	∅	³¹	∅	∅	T	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																																																			11	-	ɛ	p	∅	⁵⁵	∅	∅	_	E	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅	12	t	a	p	∅	⁵⁵	∅	∅	T	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅
4	1.0000	1	0.2500	10	8	⁵⁵	m	a	ʂ	∅	∅	∅	_	M	A	S	∅	∅	∅	0	4	7	3	∅	∅	∅	9	²¹	t	a	p	∅	∅	∅	_	T	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																							10	³¹	t	aː	p	∅	∅	∅	_	T	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																																																			11	⁵⁵	-	ɛ	p	∅	∅	∅	_	_	E	P	∅	∅	∅	0	0	7	1	∅	∅	∅	12	⁵⁵	t	a	p	∅	∅	∅	_	T	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅
1	0.2500	4	1.0000	11																																																																																																															13	p	∅	∅	∅	a	k	-	P	∅	∅	∅	A	K	_	1	∅	∅	∅	7	1	0	14	b	∅	∅	∅	a	k	⁴	P	∅	∅	∅	A	K	_	1	∅	∅	∅	7	1	0																																												
2	0.5000	3	0.7500	11																																																																																																															13	a	p	∅	∅	k	-	∅	A	P	∅	∅	K	_	∅	7	1	∅	∅	1	0	∅	14	a	b	∅	∅	k	⁴	∅	A	P	∅	∅	K	_	∅	7	1	∅	∅	1	0	∅																																												
3	0.7500	2	0.5000	11																																																																																																															13	k	a	p	∅	-	∅	∅	K	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅	14	k	a	b	∅	⁴	∅	∅	K	A	P	∅	_	∅	∅	1	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	11																																																																																																															13	-	k	a	p	∅	∅	∅	_	K	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅	14	⁴	k	a	b	∅	∅	∅	_	K	A	P	∅	∅	∅	0	1	7	1	∅	∅	∅																																												
1	0.2000	5	1.0000	14																																																																																									15	p	∅	∅	∅	j	i	k	P	∅	∅	∅	J	I	K	1	∅	∅	∅	6	7	1																							16	b	∅	∅	∅	j	i	-	P	∅	∅	∅	J	I	_	1	∅	∅	∅	6	7	0																																												
2	0.4000	4	0.8000	14																																																																																									15	j	p	∅	∅	i	k	³¹	J	P	∅	∅	I	K	_	6	1	∅	∅	7	1	0																							16	j	b	∅	∅	i	-	¹	J	P	∅	∅	I	_	_	6	1	∅	∅	7	0	0																																												
3	0.6000	3	0.6000	14																																																																																									15	i	j	p	∅	k	³¹	∅	I	J	P	∅	K	_	∅	7	6	1	∅	1	0	∅																							16	i	j	b	∅	-	¹	∅	I	J	P	∅	_	_	∅	7	6	1	∅	0	0	∅																																												
4	0.8000	2	0.4000	14																																																																																									15	k	i	j	p	³¹	∅	∅	K	I	J	P	_	∅	∅	1	7	6	1	0	∅	∅																							16	-	i	j	b	¹	∅	∅	_	I	J	P	_	∅	∅	0	7	6	1	0	∅	∅																																												
5	1.0000	1	0.2000	14																																																																																									15	³¹	k	i	j	∅	∅	∅	_	K	I	J	∅	∅	∅	0	1	7	6	∅	∅	∅																							16	¹	-	i	j	∅	∅	∅	_	_	I	J	∅	∅	∅	0	0	7	6	∅	∅	∅																																												
1	0.2500	4	1.0000	18	17	p	∅	∅	∅	i	-	³¹	P	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																							18	p	∅	∅	∅	i	-	³¹	P	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																																													19	p	∅	∅	∅	i	j	⁵	P	∅	∅	∅	I	J	_	1	∅	∅	∅	7	6	0	20	b	∅	∅	∅	i	-	²	P	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																																												
2	0.5000	3	0.7500	18	17	i	p	∅	∅	-	³¹	∅	I	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							18	i	p	∅	∅	-	³¹	∅	I	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																																													19	i	p	∅	∅	j	⁵	∅	I	P	∅	∅	J	_	∅	7	1	∅	∅	6	0	∅	20	i	b	∅	∅	-	²	∅	I	P	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																																												
3	0.7500	2	0.5000	18	17	-	i	p	∅	³¹	∅	∅	_	I	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							18	-	i	p	∅	³¹	∅	∅	_	I	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅																																													19	j	i	p	∅	⁵	∅	∅	J	I	P	∅	_	∅	∅	6	7	1	∅	0	∅	∅	20	-	i	b	∅	²	∅	∅	_	I	P	∅	_	∅	∅	0	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	18	17	³¹	-	i	p	∅	∅	∅	_	_	I	P	∅	∅	∅	0	0	7	1	∅	∅	∅																							18	³¹	-	i	p	∅	∅	∅	_	_	I	P	∅	∅	∅	0	0	7	1	∅	∅	∅																																													19	⁵	j	i	p	∅	∅	∅	_	J	I	P	∅	∅	∅	0	6	7	1	∅	∅	∅	20	²	-	i	b	∅	∅	∅	_	_	I	P	∅	∅	∅	0	0	7	1	∅	∅	∅																																												
1	0.2000	5	1.0000	22																							21	p	∅	∅	∅	j	i	-	P	∅	∅	∅	J	I	_	1	∅	∅	∅	6	7	0																																													22	p	∅	∅	∅	j	i	k	P	∅	∅	∅	J	I	K	1	∅	∅	∅	6	7	1																							23	b	∅	∅	∅	j	e	-	P	∅	∅	∅	J	E	_	1	∅	∅	∅	6	7	0	24	p	∅	∅	∅	-	e	-	P	∅	∅	∅	_	E	_	1	∅	∅	∅	0	7	0	25	p	∅	∅	∅	-	i	-	P	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0
2	0.4000	4	0.8000	22																							21	j	p	∅	∅	i	-	²¹	J	P	∅	∅	I	_	_	6	1	∅	∅	7	0	0																																													22	j	p	∅	∅	i	k	⁵⁵	J	P	∅	∅	I	K	_	6	1	∅	∅	7	1	0																							23	j	b	∅	∅	e	-	²	J	P	∅	∅	E	_	_	6	1	∅	∅	7	0	0	24	-	p	∅	∅	e	-	⁵⁵	_	P	∅	∅	E	_	_	0	1	∅	∅	7	0	0	25	-	p	∅	∅	i	-	³¹	_	P	∅	∅	I	_	_	0	1	∅	∅	7	0	0
3	0.6000	3	0.6000	22																							21	i	j	p	∅	-	²¹	∅	I	J	P	∅	_	_	∅	7	6	1	∅	0	0	∅																																													22	i	j	p	∅	k	⁵⁵	∅	I	J	P	∅	K	_	∅	7	6	1	∅	1	0	∅																							23	e	j	b	∅	-	²	∅	E	J	P	∅	_	_	∅	7	6	1	∅	0	0	∅	24	e	-	p	∅	-	⁵⁵	∅	E	_	P	∅	_	_	∅	7	0	1	∅	0	0	∅	25	i	-	p	∅	-	³¹	∅	I	_	P	∅	_	_	∅	7	0	1	∅	0	0	∅
4	0.8000	2	0.4000	22																							21	-	i	j	p	²¹	∅	∅	_	I	J	P	_	∅	∅	0	7	6	1	0	∅	∅																																													22	k	i	j	p	⁵⁵	∅	∅	K	I	J	P	_	∅	∅	1	7	6	1	0	∅	∅																							23	-	e	j	b	²	∅	∅	_	E	J	P	_	∅	∅	0	7	6	1	0	∅	∅	24	-	e	-	p	⁵⁵	∅	∅	_	E	_	P	_	∅	∅	0	7	0	1	0	∅	∅	25	-	i	-	p	³¹	∅	∅	_	I	_	P	_	∅	∅	0	7	0	1	0	∅	∅
5	1.0000	1	0.2000	22																							21	²¹	-	i	j	∅	∅	∅	_	_	I	J	∅	∅	∅	0	0	7	6	∅	∅	∅																																													22	⁵⁵	k	i	j	∅	∅	∅	_	K	I	J	∅	∅	∅	0	1	7	6	∅	∅	∅																							23	²	-	e	j	∅	∅	∅	_	_	E	J	∅	∅	∅	0	0	7	6	∅	∅	∅	24	⁵⁵	-	e	-	∅	∅	∅	_	_	E	_	∅	∅	∅	0	0	7	0	∅	∅	∅	25	³¹	-	i	-	∅	∅	∅	_	_	I	_	∅	∅	∅	0	0	7	0	∅	∅	∅
1	0.2500	4	1.0000	30																							26	p	∅	∅	∅	i	ŋ	⁵⁵	P	∅	∅	∅	I	N	_	1	∅	∅	∅	7	4	0	27	p	∅	∅	∅	a	ŋ	³⁵	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0	28	p	∅	∅	∅	ə	ŋ	⁵⁵	P	∅	∅	∅	E	N	_	1	∅	∅	∅	7	4	0	29	p	∅	∅	∅	a	ŋ	⁵⁵	P	∅	∅	∅	A	N	_	1	∅	∅	∅	7	4	0																							30	b	∅	∅	∅	i	ŋ	³	P	∅	∅	∅	I	N	_	1	∅	∅	∅	7	4	0																																												
2	0.5000	3	0.7500	30																							26	i	p	∅	∅	ŋ	⁵⁵	∅	I	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	27	a	p	∅	∅	ŋ	³⁵	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	28	ə	p	∅	∅	ŋ	⁵⁵	∅	E	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	29	a	p	∅	∅	ŋ	⁵⁵	∅	A	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																							30	i	b	∅	∅	ŋ	³	∅	I	P	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																												
3	0.7500	2	0.5000	30																							26	ŋ	i	p	∅	⁵⁵	∅	∅	N	I	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅	27	ŋ	a	p	∅	³⁵	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅	28	ŋ	ə	p	∅	⁵⁵	∅	∅	N	E	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅	29	ŋ	a	p	∅	⁵⁵	∅	∅	N	A	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅																							30	ŋ	i	b	∅	³	∅	∅	N	I	P	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	30																							26	⁵⁵	ŋ	i	p	∅	∅	∅	_	N	I	P	∅	∅	∅	0	4	7	1	∅	∅	∅	27	³⁵	ŋ	a	p	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅	28	⁵⁵	ŋ	ə	p	∅	∅	∅	_	N	E	P	∅	∅	∅	0	4	7	1	∅	∅	∅	29	⁵⁵	ŋ	a	p	∅	∅	∅	_	N	A	P	∅	∅	∅	0	4	7	1	∅	∅	∅																							30	³	ŋ	i	b	∅	∅	∅	_	N	I	P	∅	∅	∅	0	4	7	1	∅	∅	∅																																												
