index	index_p	rindex	rindex_p	cogid	id_AchangLongchuan	segment_AchangLongchuan	segment_AchangLongchuan_L1	segment_AchangLongchuan_L2	segment_AchangLongchuan_L3	segment_AchangLongchuan_R1	segment_AchangLongchuan_R2	segment_AchangLongchuan_R3	SC_AchangLongchuan	SC_AchangLongchuan_L1	SC_AchangLongchuan_L2	SC_AchangLongchuan_L3	SC_AchangLongchuan_R1	SC_AchangLongchuan_R2	SC_AchangLongchuan_R3	PROSODY_AchangLongchuan	PROSODY_AchangLongchuan_L1	PROSODY_AchangLongchuan_L2	PROSODY_AchangLongchuan_L3	PROSODY_AchangLongchuan_R1	PROSODY_AchangLongchuan_R2	PROSODY_AchangLongchuan_R3	id_Atsi	segment_Atsi	segment_Atsi_L1	segment_Atsi_L2	segment_Atsi_L3	segment_Atsi_R1	segment_Atsi_R2	segment_Atsi_R3	SC_Atsi	SC_Atsi_L1	SC_Atsi_L2	SC_Atsi_L3	SC_Atsi_R1	SC_Atsi_R2	SC_Atsi_R3	PROSODY_Atsi	PROSODY_Atsi_L1	PROSODY_Atsi_L2	PROSODY_Atsi_L3	PROSODY_Atsi_R1	PROSODY_Atsi_R2	PROSODY_Atsi_R3	id_Bola	segment_Bola	segment_Bola_L1	segment_Bola_L2	segment_Bola_L3	segment_Bola_R1	segment_Bola_R2	segment_Bola_R3	SC_Bola	SC_Bola_L1	SC_Bola_L2	SC_Bola_L3	SC_Bola_R1	SC_Bola_R2	SC_Bola_R3	PROSODY_Bola	PROSODY_Bola_L1	PROSODY_Bola_L2	PROSODY_Bola_L3	PROSODY_Bola_R1	PROSODY_Bola_R2	PROSODY_Bola_R3	id_Lashi	segment_Lashi	segment_Lashi_L1	segment_Lashi_L2	segment_Lashi_L3	segment_Lashi_R1	segment_Lashi_R2	segment_Lashi_R3	SC_Lashi	SC_Lashi_L1	SC_Lashi_L2	SC_Lashi_L3	SC_Lashi_R1	SC_Lashi_R2	SC_Lashi_R3	PROSODY_Lashi	PROSODY_Lashi_L1	PROSODY_Lashi_L2	PROSODY_Lashi_L3	PROSODY_Lashi_R1	PROSODY_Lashi_R2	PROSODY_Lashi_R3	id_Maru	segment_Maru	segment_Maru_L1	segment_Maru_L2	segment_Maru_L3	segment_Maru_R1	segment_Maru_R2	segment_Maru_R3	SC_Maru	SC_Maru_L1	SC_Maru_L2	SC_Maru_L3	SC_Maru_R1	SC_Maru_R2	SC_Maru_R3	PROSODY_Maru	PROSODY_Maru_L1	PROSODY_Maru_L2	PROSODY_Maru_L3	PROSODY_Maru_R1	PROSODY_Maru_R2	PROSODY_Maru_R3	id_OldBurmese	segment_OldBurmese	segment_OldBurmese_L1	segment_OldBurmese_L2	segment_OldBurmese_L3	segment_OldBurmese_R1	segment_OldBurmese_R2	segment_OldBurmese_R3	SC_OldBurmese	SC_OldBurmese_L1	SC_OldBurmese_L2	SC_OldBurmese_L3	SC_OldBurmese_R1	SC_OldBurmese_R2	SC_OldBurmese_R3	PROSODY_OldBurmese	PROSODY_OldBurmese_L1	PROSODY_OldBurmese_L2	PROSODY_OldBurmese_L3	PROSODY_OldBurmese_R1	PROSODY_OldBurmese_R2	PROSODY_OldBurmese_R3	id_ProtoBurmish	segment_ProtoBurmish	segment_ProtoBurmish_L1	segment_ProtoBurmish_L2	segment_ProtoBurmish_L3	segment_ProtoBurmish_R1	segment_ProtoBurmish_R2	segment_ProtoBurmish_R3	SC_ProtoBurmish	SC_ProtoBurmish_L1	SC_ProtoBurmish_L2	SC_ProtoBurmish_L3	SC_ProtoBurmish_R1	SC_ProtoBurmish_R2	SC_ProtoBurmish_R3	PROSODY_ProtoBurmish	PROSODY_ProtoBurmish_L1	PROSODY_ProtoBurmish_L2	PROSODY_ProtoBurmish_L3	PROSODY_ProtoBurmish_R1	PROSODY_ProtoBurmish_R2	PROSODY_ProtoBurmish_R3	id_Rangoon	segment_Rangoon	segment_Rangoon_L1	segment_Rangoon_L2	segment_Rangoon_L3	segment_Rangoon_R1	segment_Rangoon_R2	segment_Rangoon_R3	SC_Rangoon	SC_Rangoon_L1	SC_Rangoon_L2	SC_Rangoon_L3	SC_Rangoon_R1	SC_Rangoon_R2	SC_Rangoon_R3	PROSODY_Rangoon	PROSODY_Rangoon_L1	PROSODY_Rangoon_L2	PROSODY_Rangoon_L3	PROSODY_Rangoon_R1	PROSODY_Rangoon_R2	PROSODY_Rangoon_R3	id_Xiandao	segment_Xiandao	segment_Xiandao_L1	segment_Xiandao_L2	segment_Xiandao_L3	segment_Xiandao_R1	segment_Xiandao_R2	segment_Xiandao_R3	SC_Xiandao	SC_Xiandao_L1	SC_Xiandao_L2	SC_Xiandao_L3	SC_Xiandao_R1	SC_Xiandao_R2	SC_Xiandao_R3	PROSODY_Xiandao	PROSODY_Xiandao_L1	PROSODY_Xiandao_L2	PROSODY_Xiandao_L3	PROSODY_Xiandao_R1	PROSODY_Xiandao_R2	PROSODY_Xiandao_R3
1	0.3333	3	1.0000	1	1	p	∅	∅	∅	ɔ	⁵⁵	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅	2	p	∅	∅	∅	o	⁵¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅	3	p	∅	∅	∅	a	⁵⁵	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅	4	p	∅	∅	∅	ɔː	³¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅	5	p	∅	∅	∅	ɔ	³¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																							6	b	∅	∅	∅	a	¹	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																							7	p	∅	∅	∅	ɔ	³¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	1	1	ɔ	p	∅	∅	⁵⁵	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	2	o	p	∅	∅	⁵¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	3	a	p	∅	∅	⁵⁵	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	4	ɔː	p	∅	∅	³¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	5	ɔ	p	∅	∅	³¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							6	a	b	∅	∅	¹	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							7	ɔ	p	∅	∅	³¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	1	1	⁵⁵	ɔ	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	2	⁵¹	o	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	3	⁵⁵	a	p	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	4	³¹	ɔː	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	5	³¹	ɔ	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							6	¹	a	b	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							7	³¹	ɔ	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	2	8	p	∅	∅	∅	ɔ	³¹	∅	P	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																																																																																																															9	b	∅	∅	∅	a	²	∅	P	∅	∅	∅	A	_	∅	1	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	2	8	ɔ	p	∅	∅	³¹	∅	∅	U	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																																																																																															9	a	b	∅	∅	²	∅	∅	A	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	2	8	³¹	ɔ	p	∅	∅	∅	∅	_	U	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																																																															9	²	a	b	∅	∅	∅	∅	_	A	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	3																							10	p	∅	∅	∅	j	o	⁵¹	P	∅	∅	∅	J	U	_	1	∅	∅	∅	6	7	0	11	p	∅	∅	∅	-	a	³⁵	P	∅	∅	∅	_	A	_	1	∅	∅	∅	0	7	0	12	p	∅	∅	∅	-	o	⁵⁵	P	∅	∅	∅	_	U	_	1	∅	∅	∅	0	7	0	13	p	∅	∅	∅	-	ɔ	⁵⁵	P	∅	∅	∅	_	U	_	1	∅	∅	∅	0	7	0																							14	b	∅	∅	∅	-	a	³	P	∅	∅	∅	_	A	_	1	∅	∅	∅	0	7	0																							15	p	∅	∅	∅	-	ɔ	³¹	P	∅	∅	∅	_	U	_	1	∅	∅	∅	0	7	0
2	0.5000	3	0.7500	3																							10	j	p	∅	∅	o	⁵¹	∅	J	P	∅	∅	U	_	∅	6	1	∅	∅	7	0	∅	11	-	p	∅	∅	a	³⁵	∅	_	P	∅	∅	A	_	∅	0	1	∅	∅	7	0	∅	12	-	p	∅	∅	o	⁵⁵	∅	_	P	∅	∅	U	_	∅	0	1	∅	∅	7	0	∅	13	-	p	∅	∅	ɔ	⁵⁵	∅	_	P	∅	∅	U	_	∅	0	1	∅	∅	7	0	∅																							14	-	b	∅	∅	a	³	∅	_	P	∅	∅	A	_	∅	0	1	∅	∅	7	0	∅																							15	-	p	∅	∅	ɔ	³¹	∅	_	P	∅	∅	U	_	∅	0	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	3																							10	o	j	p	∅	⁵¹	∅	∅	U	J	P	∅	_	∅	∅	7	6	1	∅	0	∅	∅	11	a	-	p	∅	³⁵	∅	∅	A	_	P	∅	_	∅	∅	7	0	1	∅	0	∅	∅	12	o	-	p	∅	⁵⁵	∅	∅	U	_	P	∅	_	∅	∅	7	0	1	∅	0	∅	∅	13	ɔ	-	p	∅	⁵⁵	∅	∅	U	_	P	∅	_	∅	∅	7	0	1	∅	0	∅	∅																							14	a	-	b	∅	³	∅	∅	A	_	P	∅	_	∅	∅	7	0	1	∅	0	∅	∅																							15	ɔ	-	p	∅	³¹	∅	∅	U	_	P	∅	_	∅	∅	7	0	1	∅	0	∅	∅
4	1.0000	1	0.2500	3																							10	⁵¹	o	j	p	∅	∅	∅	_	U	J	P	∅	∅	∅	0	7	6	1	∅	∅	∅	11	³⁵	a	-	p	∅	∅	∅	_	A	_	P	∅	∅	∅	0	7	0	1	∅	∅	∅	12	⁵⁵	o	-	p	∅	∅	∅	_	U	_	P	∅	∅	∅	0	7	0	1	∅	∅	∅	13	⁵⁵	ɔ	-	p	∅	∅	∅	_	U	_	P	∅	∅	∅	0	7	0	1	∅	∅	∅																							14	³	a	-	b	∅	∅	∅	_	A	_	P	∅	∅	∅	0	7	0	1	∅	∅	∅																							15	³¹	ɔ	-	p	∅	∅	∅	_	U	_	P	∅	∅	∅	0	7	0	1	∅	∅	∅
