COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
1089		j o m l o k p a ts o k			j o m l o k p a ts o k		j o m l o k p a ts o k	
2624	d̪ u n ts i				d u n tʃ i			
5						dʒ a ŋ		dʒ a ŋ
2015	ŋ a m l a	ŋ a m ʃ u	ŋ a m k o w a	ŋ a m tʃʰ a m	dʒ a m kʰ ə n	ŋ a m ʃ u	ŋ a m kʰ e n	ŋ a m a n
2416						z i k a n		z i g p a n
2397			ɾ i g a ɲ j e w o			ɾ i g a ŋ j a p ʃ o		
1575	ɾ i j a m a			ɾ i j a m a				
136					g e tʃ i k	g e tʃ i	g e tʃ i k	
2554		d̪ u ɾ i				d̪ u ɾ i		
1618	i ŋ tʃ a	i ŋ tʃ a	i ɲ tʃʰ a	i ɲ tʃʰ a	i n tʃ a	i ŋ tʃ a	i n tʃ a	i ɲ tʃʰ a
1521		tʃʰ u	tʃʰ u		tʃʰ u	tʃʰ u	tʃʰ u	tʃʰ u
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
699	d o ŋ p a	d o ŋ p a	d o ŋ p a	d o ŋ p a	d o ŋ p a	d o ŋ p a	d o ŋ p a	
1577			ɾ i				ɾ i	
2256	pʰ u l o	pʰ u l o	pʰ u l o		u kʰ e n		pʰ u a kʰ e n	pʰ u l a n
1352	g u	g u	g u	g u	g u	g u	g u	
1734	z i m u		z i m b u	z i m u	z e m b u	z i m b u	z i m b u	
2774	b u ɲ i ŋ	b o ɲ i ŋ	b o ɲ i	b o ɲ i ŋ	b o ɲ i ŋ	b o ɲ i ŋ	b u ɲ i ŋ	b o n i ŋ
2645	h ă ŋ		h ă ŋ		h ă ŋ			h ă ŋ
1040	pʰ u i b u			pʰ o i b u				
2784			z i	z i		z i		z i
239		kʰ a w a n	kʰ a w a n			kʰ a w a n		
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
1169	o t p a			o t p a				
200		pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a			pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	
1888	ʃ a m p i	ʃ a m pʰ i	ɕ a m p i	ɕ a m p i	ʃ a m pʰ i	ʃ a m p i	ʃ a m pʰ i	ʃ a m p i
1629					ŋ o n b u		ŋ o n b u	
2452	n u ŋ k a l a	n o ŋ kʰ u			n o ŋ kʰ ə n	n o ŋ kʰ u	n o ŋ tʃ u kʰ ə n	
1180	ʃ a	ʃ a	ʃ j a	ɕ a	ʃ a		ʃ a	ʃ a
590	n a			n a				n a
864		g o ŋ			g o ŋ			
72	d̪ a n		d̪ a n			d̪ a n		
1013	g e s a ŋ	g e dʒ a ŋ j a			g e dʒ a ŋ		g e dʒ a ŋ	k e z a ŋ
2404	pʰ a l o		pʰ a w o					pʰ a l o
1264				z o ɾ				z o ɾ
1778	z a	z a	z a	z a	z a	z a	z a	s a
1548		pʰ e l u tʃ o k			pʰ e l u tʃ o k	pʰ e l u tʃ o k		
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
2356	i p k a			i p tʃʰ a m	i p kʰ e n		i p kʰ e n	i p a n
2331			tʃ o k p o		tʃ o k p o			tʃ o k p o
845	ɾ o k o	ɾ o k	ɾ o k		ɾ o k	ɾ o k	ɾ o k	ɾ o k o
483	w a	w a	w a		w a	w a	w a	w a
2191		m a g ɾ a k a n				m a g ɾ a k a n	m a g r a kʰ e n	
2140					dʒ a kʰ ə n		dʒ a kʰ ə n	
464		t o tʃ a ŋ	t o tʃ a ŋ		t o tʃ a ŋ	t o tʃ a ŋ	t o ʃ a ŋ	
1689	ŋ o i	ŋ o i	ŋ o i	ŋ u i	ŋ o i	ŋ o i	ŋ o i	ŋ o i
493			ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	
338	b r u ŋ	b r u ŋ		b r u ŋ	b r u ŋ	b r u ŋ	b r u ŋ	b r u ŋ
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
1987	ts a m	s a m	s u m	s a n	s a m	s a m	s a m	ts a m
1698	kʰ u ŋ	kʰ u ŋ	kʰ u ŋ	kʰ u m	kʰ u ŋ	kʰ u ŋ	kʰ u ŋ	kʰ u ŋ
1654	l i	l i	l i	l i	l i	l i		l i
117					kʰ a r i		kʰ a r i	
1959	u ɲ u	u ɲ u b a g m o		u ɲ u b a				
1832	k a r m a	k a r m a	k a r m a	k a r m a	k a r m a	k a r m a	k a r m a	k a r m a
637			a u	a u	a u	a w u	a u	a u
2276		ɲ e p ʃ u		ɲ e p ă n tʃʰ a m			ɲ e p a kʰ e n	ɲ e p a n
2054		ŭ ɾ u	ŭ ɾ u			ŭ ɾ u		
2100	ʃ i k a		ʃ i l o		ʃ i k a n	ʃ i k a n	ʃ i kʰ e n	
773	g a ɾ a ŋ tʃ i ŋ n a ŋ			g ă z a ŋ tʃ i ŋ n a	g a ɾ a ŋ tʃ i ŋ n a ŋ		g a ɾ a ŋ tʃ i ŋ n a ŋ	
2312		g o tʃ u				g o tʃ u		
580	b l a s a							b l a s a
2329	tʃ o k l a					tʃ o k a n	tʃ o kʰ e n	
1061		g u m z i ŋ			g u m z i ŋ		g u m z i ŋ	
1716	ŋ a m	ŋ a m	ŋ a m tʰ u ŋ	ŋ a m t̪ u ŋ	ŋ a m	ŋ a m	ŋ a m	ŋ a m
446		n a ɾ i j a l			n a ɾ i j a l		n a ɾ i j a l	
1648						ɾ i t a ŋ p u		ɾ i t a ŋ p u
2063		tʰ a kʰ u				tʰ a kʰ u		
2517	ŋ a m tʃ a	ŋ a m tʃʰ a	ŋ a m tʃʰ a	n a m tʃ a ŋ	ŋ a m tʃ a		ŋ a m ts i	
873		pʰ u ŋ b e	pʰ u ŋ b e		pʰ u ŋ b e	pʰ u ŋ b e	pʰ u ŋ b e	
2646		h a ŋ j a				h a ŋ j a		
2663	g i t̪ i j a	g i t i	g i t i	g i t i	g i t i	g i t i	g i t i	g i t i
2672	w a g a	b ă g a	b ă g a	w a g a	w a g a	w a g a	w a g a	
1244	t r o ŋ tʃ u m	k u ɾ o ŋ tʃ u ŋ b u	k u ɾ o ŋ tʃ u ŋ b u	t r o ŋ tʃ u m	k r o ŋ tʃ u ŋ		k r o ŋ tʃ u ŋ	
989	tʃʰ a b u l a			tʃʰ a b u				
2709	pʰ ă j a m a	pʰ a i a m a		pʰ ă j a m a	pʰ e j a m a		pʰ a i a m a	
266	j i			j i				
1672	l e m a			l e m a				
445	n a ɾ i k o l							n a ɾ i k o l
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
66			z a m i ŋ			z a m i n		z a m i n z i m b u
1796	kʰ a b a ɾ a	kʰ a b a r		kʰ a b a r				pʰ a r
2201		n a ʃ u				n a ʃ u		
1823	l e m	l e m	l e m	l e m	l e m	l e m	l e m	l e m
2118	m o ŋ ʃ i t̪ʰ o ŋ l a	m o ŋ ʃ o	m o ŋ tʃ o t̪ o ŋ l a	m u ŋ ʃ i	m o ŋ ʃ u	m o ŋ ʃ o	m o ŋ ʃ u tʰ o ŋ kʰ e n	m o ŋ tʃ o t̪ o ŋ l a
2489		pʰ a k p o	pʰ a k p o					
28	n a i b a	n a ʃ i b a k		n a i b a	n a ʃ i	n a ʃ i b a k	n a ʃ t i b a	n a ʃ i b a k
