COGID	Albanian	English	French	German	Latin
560-1	d p p				
438-1	r				
1222-1	r r				
353-1	p r p				
201-1	p e p				
20-1	r p p				
503-1	p r p				
957-1	p				
728-1	p a p				
244-1	p p m				
289-1	r p				
911-1	r u r				
724-1	d r				
145-1	d p				
992-1					
1181-1	r p p				
741-1	p p p				
1150-1	r r r p p				
585-1					
814-1	r ə r p				
916-1					
1079-1	p				
630-1	r				
343-1	r p p r				
8-1	r p r r				
385-1					
683-1	p p r				
650-1	r p r p				
612-1	r m				
871-1	ə r p a				
667-1	r				
527-1	r				
499-1					
1029-1					
560-2		k r i			
438-2		ə r i			
1222-2		s r i			
353-2		f r ɪ s			
201-2		f a n			
20-2		f ɪ r			
503-2		f r i l			
957-2		m ɪ n			
728-2		l a n			
244-2		n ɪ n			
289-2		n r a d			
911-2		w r r l			
724-2		ð r i			
145-2		s w i			
992-2		w i			
706-2		e g r			
106-2		f ai d ə r			
741-2		p r			
421-2		b l ə			
227-2		f l o			
920-2		h ɪ r n			
1083-2		h ɪ r n			
1066-2		ɪ ɪ			
1125-2		k r n			
1197-2		m ɪ d ə r			
473-2		n ɪ r			
284-2		n ɪ s			
661-2		m ai n			
701-2		r ai d			
315-2		r ai n			
1169-2		s o l d			
1150-2		f k ə r i			
982-2		s s ɪ			
987-2		s n i			
1055-2		s p d r n			
1130-2		s e			
433-2		s ɪ n r			
625-2		m ɪ			
1186-2		m a n			
416-2		s w i			
1233-2		w ɪ n			
884-2		w ɪ r			
1016-2		h au			
952-2		p			
78-2		b l i s			
514-2		b r r n			
116-2		ai s r			
188-2		f p n			
745-2		f ɪ θ ə r			
1100-2		f r ai t			
47-2		h p			
111-2		h ɛ			
1061-2		k au n t			
24-2		n ɪ d			
232-2		n ɪ n			
671-2		g r r d			
385-2		s i			
945-2		s e n			
644-2		p r			
1041-2		s t ɛ			
492-2		θ ɪ n d			
1209-2		h ɛ			
527-2		w a t ə r			
14-2		g o l			
1-2		o l			
915-2		o n d			
271-2		s s			
560-3			v ɛ		
438-3			a r		
1222-3			ɔ v		
353-3			p r s		
201-3			s ɑ̃		
20-3			k r		
503-3			p l		
957-3			s		
728-3			l ɔ		
244-3			s ɑ̃		
289-3			ɛ		
911-3			r ɛ		
724-3			t r		
145-3			d ɔ		
992-3					
1181-3			e		
706-3			ɔ e		
106-3			p e		
741-3			p l		
421-3			f l e		
227-3			p u		
920-3			k ɔ r e		
1083-3			k ɔ r		
1066-3			ɛ		
1125-3			t ɛ n		
1197-3			m e		
473-3			n ɔ		
284-3			n ɛ		
661-3			l ɔ n		
701-3			r		
315-3			r ɔ		
1169-3			s ɛ e		
1150-3			s p r p ɑ̃ e		
982-3			k s		
987-3			p		
1055-3			s		
1130-3			s		
433-3			s ɔ e		
585-3					
625-3			l ɑ̃		
1186-3			d ɑ̃		
814-3			v ɛ r		
416-3			k u e		
1233-3			v ɑ̃ t		
884-3			v ɛ r		
916-3					
1016-3			a		
952-3					
514-3			k u e		
1079-3			p		
1100-3			g r e		
47-3			f l ɔ		
111-3			l		
1061-3			m ɔ t e		
1155-3			k ɔ		
343-3			v ɛ t r		
671-3			p r e		
460-3			p t r		
8-3			s ɛ r		
644-3			s ɛ e		
683-3			ʃ ɑ̃		
650-3			e k		
612-3			f ɛ		
871-3			r r		
1209-3			v ɔ		
667-3			l a		
499-3			n		
14-3			k u e e		
1029-3			v		
272-3			k ɑ̃ r		
560-4				k t i ə	
438-4				eː r t ə	
1222-4				b t aː g	
353-4				f t iː z ə	
201-4				f eː t ə	
20-4				f eː n ə ə r	
503-4				f t a l	
957-4				m i n	
728-4				l eː n ə	
244-4				n eː m ə n	
289-4				n t a ə t	
911-4				r eː n t ə	
724-4				d r t	
145-4				t t iː	
992-4				h eː	
1181-4				ʃ t t t t	
706-4				eː n ə ə	
106-4				f eː d ə r	
421-4				f l iː ə r	
227-4				f l iː s	
920-4				h a r t ə ə	
1083-4				h a r n	
1066-4				g aː	
1125-4				h a n	
1197-4				m eː d ə r	
473-4				n eː n ə n	
284-4				n a n t	
661-4				v a n d	
701-4				r eː g t	
315-4				r eː g ə n t	
1169-4				ʃ a l t	
1150-4				ʃ t a r t ə ə	
982-4				h z i t	
987-4				ʃ n iː	
1055-4				ʃ n t ə ə r ə	
1130-4				ʃ a k	
433-4				z a n ə ə	
585-4				t t	
625-4				t eː n ə ə	
1186-4				t u n d	
814-4				m t t t	
416-4				ʃ v ai s	
1233-4				v a n d	
884-4				v eː r ə ə	
78-4				b l iː	
514-4				b eː r ə n ə	
116-4				ai t	
188-4				f n eː b ə r	
745-4				f eː d ə r	
1100-4				f r iː ə ə t	
630-4				n t b ə ə	
1155-4				n b t l	
24-4				n a n t	
232-4				n a n	
671-4				t r b ə ə t	
460-4				h au t ə t	
8-4				ʃ t t t t t	
385-4				z eː	
945-4				ʃ eː a ə t	
1041-4				ʃ t a n d	
492-4				d eː n ə	
527-4				v eː t ə r	
14-4				j a l ə ə	
1-4				a l	
915-4				a n t	
271-4				a z g	
560-5					w i i n o
438-5					o r a
1222-5					k u o o
353-5					p a s i o
201-5					s a n i o
20-5					k a t i i r
503-5					p l u n o
957-5					d a a
728-5					l a n i o
244-5					n a m i o
289-5					n a iː i o
911-5					r a s s iː o
724-5					t r o
145-5					d l o o
992-5					k iː
