COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	ə g															
1841-1	m ui̯															
2017-1	h ɔ															
1004-1	l ə															
614-1	b ou̯ h															
686-1	b l ɨi̯															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	ŋ ə															
68-1	s ɨi̯ m															
631-1	b a n															
594-1	g ə															
1759-1	h a n															
805-1	g ɨi̯ n															
756-1	h ɨ ʔ															
1201-1	m u t															
2042-1	ʔ ə															
1968-1	ə a ʔ															
2000-1	ə ŋ															
17-1	v a t															
4-1	ə m															
788-1	ŋ ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ ə ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	ə m															
1652-1	t ɨi̯ n															
576-1	ŋ ɔ															
1738-1	ŋ a k															
442-1	h ɔ m															
368-1	ə j a ŋ															
1778-1	p ă t															
957-1	n ă p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j a m															
1796-1	t ɔ ŋ															
720-1	t a h															
287-1	k a p															
321-1	g ə h															
206-1	ŋ ou̯ ʔ															
1950-1	ʔ ə															
665-1	u n															
703-1	n ou̯ ʔ															
1290-1	m ɛ															
1391-1	k ă t															
269-1	g ă t															
855-1	t a n															
2078-1	s ɨi̯															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r ɛ															
340-1	s ou̯															
1111-1	s ɛ															
485-1	ŋ g															
1356-1	m ɔ h															
1093-1	t ou̯ ŋ															
1063-1	ŋ ɔ m															
648-1	t ə n															
223-1	g ɔ n															
1248-1	t															
1509-1	t b n															
504-1	t ou̯ h															
2130-1	s ɨi̯															
1-1	ʔ o															
386-1	j ou̯ ʔ															
1411-1	ʔ															
1027-1	g a ʔ															
1459-1	g l r															
1323-1	l ə															
1859-2		ŋ n														
175-2		k a														
241-2		ʔ o ʔ														
2163-2		kʰ m n														
2181-2		n a m														
2060-2		ʔ ɨ m														
410-2		d s														
1841-2		m f														
2017-2		h ɔi̯														
1004-2		ə aː														
614-2		ɓ o h														
686-2		ɓ l ɔi̯														
88-2		g a k														
872-2		n ɨ ŋ														
