COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ								
2-1	t aː n aː + tɬ i								
8-1	w eː								
16-1	e s + tɬ i								
24-1	i s t e + tɬ								
32-1	m i k								
51-1	aː n								
52-1	w a + t i								
53-1	n a k a + tɬ								
54-1	tɬ aː + l i								
55-1	k w aː								
60-1	i + t o aː aː + l								
1-2		n u tʃ i							
2-2		x l o + n e + t							
8-2		w e e u k							
16-2		e s + t i							
24-2		i s t i							
32-2		m i i							
51-2		h aː n i							
52-2		m aː + t u							
53-2		n a k a i							
54-2		t aː h l i							
55-2		k w a							
60-2		i + e							
1-3			m o tʃ i						
2-3			t aː + n e l						
8-3			w eː ʔ j i						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n i						
52-3			w a k + t i						
53-3			n a k a i						
54-3			t a h l i						
55-3			k w a ʔ						
60-3			i x + t o a o i o						
1-4				m o tʃ i					
2-4				o + n e i + i					
8-4				w e a j i					
16-4				e n + tɬ i					
24-4				i s t e + tɬ					
32-4				m i k i					
51-4				o n + a					
52-4				w a k + tɬ o					
53-4				n a k a n					
54-4				tɬ a l i					
55-4				k w a					
60-4				e + t o l l a					
1-5					m o tʃ i				
2-5					a n e				
8-5					w eː i				
16-5					e s + t i				
24-5					i s t i t				
32-5					m i k i				
51-5					o n + aː				
52-5					j a + t o				
53-5					n a g a l				
54-5					t aː h l i				
55-5					b a				
60-5					i x				
1-6						n uː tʃ i			
2-6						e + n e + t i			
8-6						w e j			
16-6						eː s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						aː n + i			
52-6						i aː k + k u			
53-6						n a k a + t			
54-6						t aː l			
55-6						k w a			
60-6						i + t uː l u l a			
1-7							m o tʃ e		
2-7							k n e n		
8-7							e		
16-7							n + t		
24-7							i t		
32-7							m e k i		
51-7							o n		
52-7							a n + t		
53-7							n e k e i		
54-7							t a		
55-7							k w a		
60-7									
1-8								m o tʃ ɨ	
2-8								a n a m + tɬ ɨ	
8-8								w a h a	
16-8								a s + tɬ ɨ	
24-8								ɨ s t ɨ	
32-8								m ɨ k i	
51-8								aː n ɨ	
52-8								w a k + oː	
53-8								n a k a + tɬ ɨ	
54-8								tɬ aː h l + l ɨ	
55-8								k w a + ɨ	
60-8								i + t ɨ l a l +	
1-9									m o tʃ iː
2-9									t n iː n e + tɬ iː
8-9									b e i
16-9									i n + tɬ iː
24-9									i h t ø
32-9									m iː k iː
51-9									o n ts iː
52-9									b a k + k iː l
53-9									n a k a + e
54-9									tɬ ø l iː
55-9									k w a
60-9									i x + t e l o l o
