COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n a tʃ e + tɬ								
2-1	t aː n aː + tɬ i								
8-1	w eː aː								
16-1	e + tɬ i								
24-1	i s t e + tɬ								
32-1	m i i								
51-1	aː aː + tɬ								
52-1	w a + t i								
53-1	n a k a + tɬ								
54-1	tɬ a l + l i								
55-1	k w a								
60-1	a + t o aː aː + l								
83-1	t e + + tɬ								
87-1	tɬ a tɬ aː n i								
92-1	m a tɬ a								
103-1	m a								
106-1	k a k a								
138-1	n e ʔ w aː + tɬ								
139-1	m a k + + t i aː								
142-1	m a tɬ i								
145-1	m o + t aː w aː tɬ								
176-1	tɬ aː aː + tɬ								
179-1	n a k a + tɬ								
180-1	m e + tɬ i								
186-1	k e t + i + tɬ i								
190-1	j a k e + tɬ								
194-1	s e								
220-1	o tɬ i								
231-1	tɬ a								
240-1	k o tɬ i								
283-1	t e + tɬ								
293-1	i n + oː								
314-1	k w a aː + i tɬ								
315-1	a m e								
322-1	t e ʔ aː a i tɬ								
1-2		n u t i							
2-2		i + n e i + t							
8-2		w e e n k							
16-2		e n + t i							
24-2		i s t i							
32-2		m i i							
51-2		ts aː n i							
52-2		w a + t u							
53-2		n a w a i							
54-2		t a h l i							
55-2		b w a t u							
60-2		i a l							
83-2		t a + t i							
87-2		t a t a n i							
92-2		m a k a							
103-2		m a							
106-2		k a k i							
138-2		n a h e							
139-2		m i + t i i u							
142-2		m aː t i							
145-2		m u + r e t a							
176-2		t a a k n							
179-2		n a w a + t							
180-2		m a i + t i							
186-2		a t + u							
190-2		j a k a + t							
194-2		s e							
220-2		u + t i							
231-2		i t a							
240-2		tʃ u t i							
283-2		t i t							
293-2		h aː n i							
314-2		b w a i + + n							
315-2		u n e							
322-2		t e n n a							
1-3			m o t i						
2-3			w aː + n e l + i						
8-3			w eː j						
16-3			eː s + t i						
24-3			i s t i ʔ						
32-3			m i ʔ i						
51-3			o n t i						
52-3			j eː + t i ʔ						
53-3			n a k a l						
54-3			t eː h l i						
55-3			k w aː						
60-3			iː x + t o a o l o ʔ ʔ						
83-3			t eː ʔ ʔ i						
87-3			p a t aː n + i						
92-3			m o ʔ a						
103-3			m eː						
106-3			t eː i						
138-3			n e h						
139-3			m i k + t i a ʔ						
142-3			m o t i						
145-3			m o + t aː k a						
176-3			t eː k aː ʔ						
179-3			n eː k aː + ʔ						
180-3			m eː s + t i						
186-3			k eː t i i						
190-3			j eː k o + t i						
194-3			s eː						
220-3			o + t i ʔ						
231-3			i t a						
240-3			t o t i						
283-3			t aː + t						
293-3			i n i						
314-3			k w a a i ʔ						
315-3			o m eː						
322-3			t e h a a a l						
1-4				m o tʃ i					
2-4				o + n e l + tɬ i					
8-4				w e j i					
16-4				e n + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n e					
52-4				w a k + o					
53-4				n e k a l					
54-4				tɬ e l i					
55-4				k w a					
60-4				e n + t o l o l o					
83-4				tɬ e + + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h w a					
