COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ + tɬ								
2-1	t aː n aː + tɬ i								
8-1	w eː								
16-1	e + tɬ i								
24-1	s t e + tɬ								
32-1	m i k i								
51-1	aː n +								
52-1	w a + t i								
53-1	n a k a + tɬ								
54-1	tɬ a l + l i								
55-1	k w a								
60-1	o + t o aː + l								
83-1	t e + + tɬ								
87-1	tɬ a t aː n i								
92-1	m a a								
103-1	m a								
106-1	k a k								
138-1	n e ʔ w aː + tɬ								
139-1	m i k + + t i								
142-1	m a t i								
145-1	m o + t e w aː								
176-1	t aː aː + tɬ								
179-1	n a k a + tɬ								
180-1	m e + tɬ i								
1-2		n u tʃ i							
2-2		x l o + n e n + t							
8-2		w e e u k							
16-2		e s + t i							
24-2		i s t i							
32-2		m i i							
51-2		o n t i							
52-2		j a + t i							
53-2		n a k a i							
54-2		t a h l i							
55-2		k w a u							
60-2		e							
83-2		t a + t							
87-2		t a t a n i							
92-2		j a k a							
103-2		m a							
106-2		k a k i							
138-2		n e h e							
139-2		m e k + t i i u							
142-2		j e t i							
145-2		m u + r e t e							
176-2		t a e + t							
179-2		j a k a + t							
180-2		m e + t i							
1-3			m o tʃ i						
2-3			t aː + n e l						
8-3			w eː						
16-3			e s + t i						
24-3			i s t i						
32-3			m i ʔ i						
51-3			o n t i						
52-3			j a + t i ʔ						
53-3			n a k a l						
54-3			t eː h l i						
55-3			k w a						
60-3			i x + t o a o i o						
83-3			t eː + ʔ ʔ i						
87-3			p a t aː n i						
92-3			m a ʔ a						
103-3			m e						
106-3			k a i						
138-3			n e h						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t i k a						
176-3			t eː + k aː ʔ						
179-3			n a k a + ʔ						
180-3			m eː s + t i						
1-4				m o tʃ i					
2-4				o n e l + tɬ i					
8-4				w e a j i					
16-4				e i + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n + e					
52-4				w a k + o					
53-4				n e k a n					
54-4				tɬ e l i					
55-4				k w a					
60-4				e n t o l a l a					
83-4				tɬ e + + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m e					
106-4				k e k i					
138-4				n e h w a					
139-4				m i k t n + t i a					
142-4				m e t i					
145-4				m o + t e k a					
176-4				tɬ e a tɬ					
179-4				n e k a + tɬ					
180-4				m e i + tɬ i					
1-5					m o tʃ i				
2-5					a n e				
8-5					w eː i				
16-5					e x + t i				
24-5					i s t i t				
32-5					m iː i				
51-5					o n + i				
52-5					j a + t o				
53-5					n e g a l				
54-5					t eː h l i				
55-5					b a				
60-5					iː x				
83-5					t eː t				
87-5					p a t a n i				
92-5					m a g a				
103-5					m a				
106-5					g a tʃ i				
138-5					n e h a				
139-5					m e g + t i				
142-5					m a t i				
145-5					m o + t e g a				
176-5					t eː g a t				
179-5					n a g a + t				
180-5					m eː + t i				
1-6						m uː tʃ i			
2-6						e + n e l + t i			
8-6						w e j			
16-6						e s + t i			
24-6						i s t i			
32-6						m i k			
51-6						u n + i			
52-6						i a k + u			
53-6						n a k a l			
54-6						t aː l			
55-6						k w a			
60-6						i + t u l u l a			
83-6						t e t			
87-6						p a t a n			
92-6						m a a			
103-6						m a			
106-6						k a i			
138-6						n a			
139-6						m i k n + t i a			
142-6						m a t			
145-6						m u + t aː k a			
176-6						t aː k e + t			
179-6						n a k e + t			
180-6						m e + t i			
1-7							m o tʃ o		
2-7							u e n		
8-7							s e		
16-7							n t		
24-7							i i t a		
32-7							m i tʃ i		
51-7							o		
52-7							j e + t		
53-7							j e k o		
54-7							t o		
55-7							k w e		
60-7							e		
83-7							t e t		
87-7							t a t e i		
92-7							j e k a		
103-7							m e m		
106-7							k a tʃ i		
138-7							n e e		
139-7							m e k a t o l		
142-7							m a tʃ i		
145-7							m o + t o		
176-7							t e a + t		
179-7							j e k + t		
180-7							m e o t		
1-8								m o tʃ ɨ	
2-8								a n ɨ m + tɬ ɨ	
8-8								w a h a	
16-8								ə s + tɬ ɨ	
24-8								i s t ɨ + tɬ	
32-8								m ɨ k ɨ	
51-8								a ɨ	
52-8								w a k + oː	
53-8								n a k a + tɬ ɨ	
54-8								tɬ a l + l ɨ	
55-8								k w a + + ɨ	
60-8								i + t ɨ l l aː + + t	
83-8								t a + + + tɬ	
87-8								tɬ a tɬ aː n + ɨ	
92-8								m a k a	
103-8								m a + t	
106-8								k a k ɨ	
138-8								n ə h a	
139-8								m i + ɨ + t + + t	
142-8								m a ɨ	
145-8								m o t ə k a	
176-8								t a + a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː + tɬ ɨ	
1-9									m o tʃ iː a
2-9									t n + n e + tɬ iː
8-9									b e u o
16-9									i i n + tɬ iː
24-9									i pː t e
32-9									m iː k iː
51-9									o n iː
52-9									b a k + k iː
53-9									n e k a + tɬ e
54-9									tɬ i l iː
55-9									k w a + u
60-9									i x + t e l o l o
83-9									tɬ i n + tɬ
87-9									p a tɬ a n iː
92-9									m e k a
103-9									m a u
106-9									k a k iː
138-9									n a h a
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t e + k a
176-9									tɬ i n + k a tʃ tɬ
179-9									n e k a + tɬ
180-9									m e n + tɬ iː
