COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g oˑ o						
522-1	ʊ ɣ d o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ ʊ ɜ m s̪ i						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b l ɜ ŋ						
237-1	l̪ ʈ β̞ ɑ						
205-1	p ɑ q ɑ						
1089-1	l ɑ q n̪ ɪ l						
804-1	k ɑ ŋ m ɜ						
1263-1	b ɜ x p ɜ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ r̪ ɜ q						
1512-1	x tɕ i n̪						
555-1	n̪ ɑ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	dz̪ g o						
601-1	ɕ ɪ ŋ						
320-1	n̪ ɜ x m ɑ						
1106-1	g o b u						
693-1	h ɜ n̪ o ɽ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɑ q p ɑ						
1424-1	s̪ k u t̪ p ɜ						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɜ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	s̪ i l						
820-1	l̪ o k						
1636-1	l̪ u n̪						
1331-1	ʊ ɾ d̪ β̞ ɑ						
1097-1	l ɑ m						
1223-1	pʰ ɜ ŋ ɑ						
592-1	m ɛ						
1290-1	t̪ u t̪ p ɜ						
669-1	s̪ ɛ ɾ						
1472-1	s̪ t̪ ɜ ɣ ʑ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m ɛ n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b l ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ r̪ m ɜ						
1480-1	j u n̪						
653-1	z̪ g o k p ɑ						
1081-1	kʰ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɛ						
539-1	tθʰ o l						
610-1	kʰ ɑ						
350-1	g ɑ ŋ o						
871-1	o ŋ ɑ						
734-1	ɾ β̞ ɑ						
431-1	kʰ i						
1298-1	o ɣ b ʊ l						
929-1	z̪ ɜ ŋ g i						
1315-1	t̪ ɜ x s̪ k ɜ n̪						
964-1	m ɛ n̪ t̪ ɜ x						
836-1	m i						
1644-1	b u s̪ t̪ r̪ i ŋ						
547-1	ɑ t̪ ɑ						
1048-1	k ɑ k ɜ						
1692-1	pʰ o n̪ o						
1306-1	ʊ ɾ u						
405-1	b o ŋ o						
294-1	pʰ r̪ u						
661-1	b o ŋ o						
413-1	ʑ ɑ q						
996-1	tθʰ ɜ n̪						
1012-1	t̪ r̪ o b ɜ ɾ						
181-1	pʰ i r̪ o						
1660-1	g u n̪ d e						
1440-1	d̪ i r̪ i ŋ						
1652-1	l oˑ						
1037-1	s̪ ȵ i m ɑ						
677-1	n̪ ɑ x m o						
1561-1	ɕ ɜ r̪ p ɜ						
447-1	s̪ k ɜ m b o						
828-1	ɾ i ŋ m o						
1247-1	tɕ ɜ t̪						
391-1	ɖʐ ɜ x m o						
972-1	ȵ i m o ɾ						
531-1	t̪ʰ ɜ q r̪ i ŋ						
253-1	tɕ o ɣ o						
1282-1	ɾ u n̪ tθ						
812-1	j ɑ ŋ o						
245-1	t̪ʰ o r̪ u						
1609-1	k ɜ r̪ p o						
261-1	n̪ ɑ q p o						
1143-1	m ɑ r̪ p o						
1065-1	tɕ i k						
1504-1	ȵ i s̪						
1432-1	s̪ u m						
634-1	ɾ ʑ i						
1255-1	t̪ r̪ u k						
488-1	ɾ gʲ t̪						
1004-1	ʊ ɾ g u o						
506-1	tɕ u s̪ tɕ i k						
1488-1	tɕ o ŋ ɜ s̪						
1496-1	ȵ i ɕ u						
1073-1	ɾ gʲ ɑ						
1617-1	s̪ u						
1569-1	tɕ i						
1593-1	g ɑ ɾ						
1585-1	n̪ ɑ m						
759-1	ɾ ɑ m						
1415-1	d̪ ɛ n̪						
1215-1	ɾ o x s̪ tθ o x q s̪						
422-1	l o x s̪ o						
310-1	tɕʰ ɜ q p o						
189-1	g ɑ ŋ m ɑ						
25-1	z̪ ʊ s̪						
9-1	l̪ ʈ o k s̪						
57-1	t̪ʰ ŋ s̪						
17-1	s̪ k o m s̪						
709-2		g o o					
522-2		o ɣ d o ŋ					
514-2		m i k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪					
1355-2		s̪ õ					
1464-2		l̪ tɕ e					
302-2		b l ɜ ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		p r̪ ɜ q p ɑ					
1089-2		l ɜ q s̪ l					
804-2		k ɑ ŋ m ɜ					
1263-2		b ɜ x s̪ p ɜ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		ʈʂ ɜ q					
1512-2		l̪ tɕ i n̪					
555-2		l̪ ɑ k ɜ p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		p ɑ x m ɑ					
1106-2		b u					
693-2		h ɜ õ ɽ ɑ					
221-2		s̪ t̪ ɜ r̪ e					
1199-2		t̪ʰ ɜ q p ɑ					
1424-2		s̪ k u t̪ p ɜ					
904-2		l dð o t̪					
1273-2		s̪ n̪ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		tɕʰ ɜ r̪ p ɜ					
1529-2		tɕʰ u					
1175-2		ɾ gʲ ɛ m tθ o					
383-2		s̪ i l					
820-2		l̪ o k					
1636-2		l̪ u n̪					
1331-2		ʊ ɾ d̪ β̞ ɑ					
1097-2		l ɑ m					
1223-2		b ɜ ŋ ɑ					
592-2		m ɛ					
1290-2		t̪ u t̪ p ɜ					
669-2		s̪ ɛ ɾ					
1472-2		s̪ t̪ ɜ ɣ ʑ i					
788-2		l o m ɑ					
1191-2		ɾ ɜ m p ɜ					
626-2		m ɛ n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b l ɜ s̪					
1119-2		ɑ l u					
365-2		s̪ ȵ r̪ m ɜ					
1480-2		j u n̪					
653-2		z̪ g o k p ɑ					
1081-2		ʊ õ ŋ					
1448-2		p ɑ ɣ ɜ n̪					
1029-2		m ɑ ɾ					
863-2		ɕ ɑ					
539-2		tθʰ i l					
610-2		ʊ ɑ					
350-2		b ɜ ŋ o					
871-2		o ŋ ɑ					
734-2		ɾ β̞ ɑ					
431-2		kʰ i					
1298-2		o b b l					
929-2		z̪ ɜ ŋ g i					
1315-2		t̪ ɜ x s̪ k ɜ n̪					
964-2		m ɛ n̪ t̪ ɜ k s̪					
836-2		m i					
1644-2		b u s̪ t̪ r̪ i ŋ					
547-2		ɑ t̪ ɜ					
1048-2		k ɑ k ɜ					
1692-2		pʰ o n̪ o					
1306-2		b u					
405-2		b o ŋ o					
294-2		pʰ r̪ u					
661-2		b o ŋ o					
413-2		ʑ ɑ q					
996-2		tθʰ ɜ n̪					
1012-2		t̪ r̪ o b ɜ ɾ					
181-2		pʰ r̪ i r̪ o					
1660-2		g o n̪ d e					
1440-2		d̪ i r̪ i ŋ					
1652-2		l o					
1037-2		s̪ ȵ i m ɑ					
677-2		b ɜ x m o					
1561-2		ɕ e r̪ p ɜ					
447-2		s̪ k ɜ m b o					
828-2		ɾ i ŋ m o					
1247-2		tɕ ɜ t̪					
391-2		g r̪ ɜ x m o					
972-2		ȵ i m o ɾ					
531-2		t̪ʰ ɜ q r̪ i ŋ					
253-2		tɕ o ɣ o					
1282-2		õ u n̪ tθ					
812-2		j ɑ ŋ m o					
245-2		t̪ʰ u r̪ u					
1609-2		k ɜ r̪ p o					
261-2		n̪ ɑ q m o					
1143-2		m ɑ r̪ p o					
1065-2		tɕ i k					
1504-2		ȵ i s̪					
1432-2		s̪ u m					
634-2		b ʑ i					
1255-2		t̪ r̪ u k					
488-2		b gʲ ɑ t̪					
1004-2		ʊ ɾ g u					
506-2		tɕ u s̪ tɕ i k					
1488-2		tɕ o ŋ ɜ s̪					
1496-2		ŋ i ɕ u					
1073-2		b gʲ ɑ					
1617-2		s̪ u					
1569-2		tɕ i					
1593-2		g ɑ ɾ					
1585-2		n̪ ɜ m					
759-2		ɛ ɑ m					
1415-2		d̪ o n̪					
1215-2		õ o x ɑ tθ o q s̪					
422-2		l o x s̪ o					
310-2		tɕʰ ɜ q p o					
189-2		g ɑ ŋ m ɑ					
25-2		z̪ ʊ s̪					
9-2		l̪ t̪ o k s̪					
57-2		t̪ʰ õ s̪					
17-2		s̪ k o m s̪					
709-3			g o o				
522-3			ʊ ɣ d o ŋ				
514-3			m i k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ m s̪ l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b l ɜ ŋ				
237-3			l̪ t̪ β̞ ɑ				
205-3			p r̪ ɜ x p ɑ				
1089-3			l ɜ q j ɪ l				
804-3			k ɑ ŋ m ɜ				
1263-3			b ɜ x p ɜ				
286-3			ɾ u s̪ p ɜ				
717-3			s̪ n̪ i ŋ				
269-3			ʈʂ ɜ q				
1512-3			x tɕ ɪ n̪				
555-3			l̪ ɑ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			p ɜ x m ɑ				
1106-3			β u				
693-3			h ɜ j o ɽ ɑ				
221-3			s̪ t̪ ɜ r̪ e				
1199-3			t̪ʰ ɑ q p ɜ				
1424-3			s̪ k u t̪ p ɑ				
904-3			l dð o t̪				
1273-3			s̪ n̪ ɜ m				
1323-3			s̪ k ɜ r̪ m ɑ				
1127-3			tɕʰ ɜ r̪ ɸ ɜ				
1529-3			tɕʰ u				
1175-3			ɾ gʲ ɛ m tɕ o				
383-3			ɸ s̪ ɪ l				
820-3			l̪ o k				
1636-3			x l̪ u ŋ				
1331-3			ʊ ɾ d̪ β̞ ɑ				
1097-3			l ɜ m				
1223-3			s̪ ɜ ŋ ɑ				
592-3			m e				
1290-3			t̪ u t̪ p ɑ				
669-3			x ɛ ɾ				
1472-3			s̪ t̪ ɑ q ʑ i				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɑ				
626-3			m ɛ n̪ d o q				
844-3			ɑ m				
879-3			tɕʰ ɑ				
1151-3			b l ɜ s̪				
1119-3			ɑ l u				
365-3			s̪ ɛ r̪ m ɜ				
1480-3			j u ŋ				
653-3			z̪ g o k p ɑ				
1081-3			pʰ o ŋ				
1448-3			p ɑ ɣ ɜ n̪				
1029-3			m ɑ ɾ				
863-3			ɕ ɑ				
539-3			tθʰ o l				
610-3			ŋ ɑ				
350-3			pʰ ɑ ŋ o				
871-3			o m ɑ				
734-3			ɾ β̞ ɑ				
431-3			kʰ i				
1298-3			o ɣ b ʊ l				
929-3			z̪ ɜ ŋ g i				
1315-3			t̪ ɜ x s̪ k ɜ n̪				
964-3			m ɛ n̪ t̪ ɜ x				
836-3			m i				
1644-3			b u s̪ t̪ r̪ i ŋ				
547-3			ɜ t̪ ɑ				
1048-3			k ɑ k ɜ				
1692-3			pʰ o n̪ o				
1306-3			pʰ u				
405-3			b o ŋ o				
294-3			pʰ r̪ u				
661-3			b o ŋ o				
413-3			ʑ ɜ q				
996-3			tθʰ ɜ n̪				
1012-3			t̪ r̪ o b ɜ ɾ				
