COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	a ⁵⁵								
495-1	n au ³⁵								
838-1	ʐ a ⁵⁵								
438-1	ʐ a ⁵⁵								
334-1	ʑ a ʔ ⁵⁵								
360-1	ʑ ə ³¹								
394-1	a ³¹								
221-1	i ⁵⁵								
202-1	tʰ au ³¹								
935-1	au ³¹								
93-1	n a ³¹								
7-1	p a n ³¹								
664-1	a ŋ ⁵⁵								
246-1	w a ʔ ⁵⁵								
547-1	ʐ a k ⁵⁵								
555-1	i ⁵⁵								
464-1	m au ³¹								
119-1	i ŋ ⁵⁵								
835-1	ʐ a p ⁵⁵								
79-1	w a ³¹								
693-1	n au ⁵⁵								
477-1	a ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x ʐ au ʔ ⁵⁵								
493-1	n i ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	pʰ au t ⁵⁵								
452-1	ʐ au ʔ ⁵⁵								
580-1	ʐ au ⁵⁵								
833-1	n a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	w a ŋ ⁵⁵								
86-1	t au ⁵⁵								
384-1	m a n ³¹								
61-1	t a m ⁵⁵								
536-1	pʰ ʐ a ʔ ⁵⁵								
731-1	s a ³¹								
779-1	pʰ a ⁵⁵								
589-1	t a ⁵⁵								
658-1	a m ⁵⁵								
456-1	ʐ a ŋ ³¹								
183-1	k ʐ i ³¹								
785-1	pʰ ɔ ³¹								
714-1	tʰ au ⁵⁵								
331-1	l ɔ ³¹								
930-1	a p ⁵⁵								
161-1	w a ŋ ⁵⁵								
814-1	ʐ a ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	a ʔ ⁵⁵								
727-1	ʂ a ⁵⁵								
260-1	ʐ a p ⁵⁵								
144-1	w a m ⁵⁵								
53-1	p au m ⁵⁵								
59-1	t a ⁵⁵								
506-1	pʰ a ⁵⁵								
29-1	p a ʔ ⁵⁵								
316-1	tʰ w a ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	m ɔ ⁵⁵								
312-1	w o ³¹								
490-1	n a ³⁵								
436-1	ʐ a ³¹								
927-1	n a n ⁵⁵								
383-1	ʑ a ʔ ⁵⁵								
211-1	ʑ a m ⁵⁵								
873-1	ʑ ə ŋ ⁵⁵								
877-1	a ³⁵								
344-1	l̥ a m ⁵⁵								
666-1	a ³¹								
595-1	tʰ w a ŋ ⁵⁵								
660-1	a ⁵⁵								
642-1	t a ŋ ³⁵								
257-1	ʐ a m ⁵⁵								
167-1	ʐ a ³¹								
880-1	t a p ⁵⁵								
484-1	ʑ w a ŋ ⁵⁵								
574-1	ʐ au m ³¹								
718-1	pʰ ʐ ai ⁵⁵								
811-1	t au ³¹								
458-1	t au ³¹								
884-1	t au ³⁵								
205-1	k ə ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	pʰ a ⁵⁵								
920-1	t au ŋ ³¹								
36-1	p a ŋ ⁵⁵								
665-2		n o ⁵¹							
495-2		n o ⁵⁵							
838-2		j u ʔ ⁵¹							
438-2		j o ʔ ⁵⁵							
334-2		l u ʔ ²¹							
360-2		l i ²¹							
394-2		m j i ²¹							
221-2		j u ²¹							
202-2		k u ²¹							
935-2		u ²¹							
93-2		n u ²¹							
7-2		p u n ²¹							
664-2		v u ŋ ⁵¹							
246-2		k u ʔ ⁵⁵							
547-2		s i k ²¹							
555-2		j u ui ⁵¹							
464-2		m u ²¹							
119-2		j i ŋ ²¹							
835-2		n u p ⁵⁵							
79-2		u ²¹							
693-2		n u ⁵¹							
477-2		n u ²¹							
891-2		tʃʰ u i ⁵⁵							
528-2		u u ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n u k ²¹							
217-2		j u p ²¹							
896-2		tʃʰ u t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		j u ʔ ⁵⁵							
833-2		n o ⁵¹							
390-2		m u ŋ ²¹							
696-2		n j u ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		tʃʰ a n ²¹							
536-2		ʃ o̱ ʔ ⁵⁵							
731-2		l u ²¹							
779-2		v o ⁵¹							
589-2		t a ŋ ⁵¹							
680-2		n o ʔ ⁵⁵							
658-2		v u m ⁵¹							
456-2		m j a ŋ ⁵¹							
183-2		k j i ²¹							
785-2		kʰ o ²¹							
714-2		t u t ²¹							
331-2		l o ²¹							
206-2		u o ⁵¹							
930-2		n a p ⁵⁵							
353-2		l a̱i ⁵¹							
161-2		k a ŋ ⁵¹							
814-2		k u ²¹							
179-2		j o ʔ ²¹							
194-2		j o ʔ ²¹							
727-2		v a ⁵¹							
260-2		kʰ j a p ⁵⁵							
144-2		k a m ⁵¹							
53-2		p u o ⁵¹							
59-2		t o ʔ ²¹							
506-2		pʰ a k ⁵¹							
29-2		p i k ²¹							
316-2		tʰ o̱ ʔ ⁵⁵							
389-2		m j a ŋ ⁵¹							
118-2		m o ⁵⁵							
312-2		kʰ u ²¹							
490-2		n j i̱ ⁵⁵							
436-2		m j o̱ ⁵¹							
927-2		n a n ⁵¹							
383-2		m o ʔ ⁵¹							
211-2		j a m ⁵¹							
873-2		s u ŋ ⁵¹							
371-2		l u ŋ ²¹							
877-2		n a ⁵⁵							
344-2		l a̱ m ⁵¹							
666-2		n o ⁵¹							
595-2		tʰ a ŋ ⁵⁵							
660-2		v u p ²¹							
642-2		tʃʰ a ŋ ⁵⁵							
257-2		kʰ j a m ⁵¹							
167-2		k j o̱ ²¹							
880-2		tʃ a p ²¹							
337-2		u o ⁵¹							
484-2		n a ŋ ⁵¹							
574-2		s u m ²¹							
718-2		ʃ a n ²¹							
811-2		k u ²¹							
458-2		t u n ²¹							
884-2		tʃʰ a ʔ ⁵⁵							
205-2		k u ʔ ²¹							
499-2		n a ⁵¹							
706-2		j o ⁵¹							
920-2		tʃʰ u n ²¹							
36-2		p j u ⁵¹							
665-3			n a ⁵⁵						
495-3			n au ³⁵						
838-3			j a ³¹						
438-3			m j a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l a ³¹						
394-3			n j i ³¹						
221-3			j a ʔ ³¹						
202-3			k au ³¹						
935-3			au ³¹						
93-3			n a ³¹						
7-3			p a ³¹						
664-3			v a ³¹						
246-3			k a ʔ ⁵⁵						
547-3			j a k ⁵⁵						
555-3			j a m ⁵⁵						
464-3			m au ³¹						
119-3			j a ŋ ⁵⁵						
835-3			n a ʔ ⁵⁵						
79-3			t a ³¹						
693-3			n au ⁵⁵						
477-3			n a ʔ ³¹						
891-3			t a ŋ ³⁵						
528-3			a au ⁵⁵						
797-3			k j au ʔ ⁵⁵						
493-3			n a k ³¹						
217-3			j a ʔ ³¹						
896-3			n a ⁵⁵						
452-3			m j au ʔ ³¹						
580-3			j a ʔ ⁵⁵						
833-3			n a ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			n i ⁵⁵						
86-3			t au ŋ ⁵⁵						
384-3			m a ³⁵						
61-3			tʃ ɔ̃ ³¹						
536-3			ʃ a ʔ ⁵⁵						
779-3			a ⁵⁵						
589-3			t au ⁵⁵						
680-3			ŋ a̱ ʔ ⁵⁵						
456-3			m j ɔ̃ ³¹						
183-3			k j i ³¹						
785-3			kʰ a ³⁵						
331-3			l a ³⁵						
206-3			a a ⁵⁵						
930-3			n ɛ ʔ ⁵⁵						
353-3			l a ⁵⁵						
161-3			k ɔ̃ ⁵⁵						
179-3			k j a ʔ ³¹						
194-3			j a ʔ ³¹						
727-3			ʃ ɔ̃ ⁵⁵						
260-3			kʰ j ɛ ʔ ⁵⁵						
144-3			k ɔ̃ ⁵⁵						
53-3			p au ⁵⁵						
59-3			t a ʔ ³¹						
506-3			pʰ a k ³¹						
29-3			p a̱ k ³¹						
316-3			t a ʔ ³¹						
312-3			kʰ a ³¹						
436-3			m j a ³¹						
927-3			n a ⁵⁵						
383-3			m a ʔ ³¹						
211-3			j ɛ̃ ⁵⁵						
873-3			l a ŋ ⁵⁵						
371-3			l a ŋ ³¹						
877-3			n au ³⁵						
344-3			l ɛ̃ ⁵⁵						
666-3			n a ³¹						
595-3			t ɔ̃ ³⁵						
660-3			v a ʔ ³¹						
642-3			tʃʰ ɔ̃ ³⁵						
257-3			kʰ j au ⁵⁵						
167-3			k j a ³¹						
880-3			tʃ au ʔ ⁵⁵						
337-3			a a ⁵⁵						
484-3			n ɔ̃ ⁵⁵						
574-3			s au ³¹						
718-3			ʃ a ³¹						
811-3			k ɔ ³¹						
458-3			t au ŋ ³⁵						
884-3			t au ³⁵						
205-3			k au ʔ ⁵⁵						
499-3			n a̱i ⁵⁵						
706-3			ʃ a ⁵⁵						
920-3			au ŋ ³¹						
36-3			p j ɔ̃ ⁵⁵						
665-4				n uː ³¹					
495-4				n a̱ːu k ⁵⁵					
838-4				j uː k ³¹					
438-4				m j ɔː k ³¹					
334-4				l uː k ³¹					
360-4				l uː ⁵⁵					
394-4				m j i ³³					
221-4				j uː p ³¹					
202-4				kʰ a̱ːu ³³					
935-4				p a̱ːu ³¹					
93-4				s uː ⁵⁵					
7-4				p ə n ³¹					
664-4				j uː ŋ ³¹					
246-4				k uː ʔ ³¹					
547-4				j uː k ⁵⁵					
555-4				j uː ɔː ³¹					
464-4				m a̱ːu k ⁵⁵					
119-4				j əː ŋ ⁵⁵					
835-4				n a p ⁵⁵					
79-4				t uː ³³					
693-4				n a̱ːu ³³					
477-4				n j a ⁵⁵					
891-4				t əː ŋ ⁵³					
