COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	Ø a							
5-1	n a							
4-1	tʰ i k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	a							
60-1	Ø iː							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ u							
86-1	Ø l u							
92-1	Ø l ə							
102-1	m Ø							
106-1	Ø u k							
108-1	d u							
107-1	Ø l Ø							
112-1	Ø ɔ m							
115-1	Ø l							
114-1	t u ŋ							
120-1	d u							
124-1	a							
125-1	tʰ ɔ k							
132-1	Ø a							
131-1	r Ø ŋ							
136-1	m u							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	Ø l a							
143-1	Ø a k							
145-1	tɕʰ a l							
147-1	Ø a							
149-1	Ø i k							
153-1	Ø l							
152-1	l Ø n							
158-1	k i k							
163-1	l i							
164-1	n Ø							
167-1	Ø a ŋ							
171-1	n u ŋ							
172-1	b u k							
173-1	tʰ ɔi l							
183-1	r a							
185-1	m a							
188-1	g u l							
189-1	Ø i ŋ							
193-1	Ø Ø							
196-1	m a l							
199-1	tɕʰ a							
200-1	kʰ Ø n							
201-1	tɕʰ i							
202-1	kʰ l l							
203-1	tʰ u ŋ							
204-1	b Ø							
206-1	n a m							
117-1	b Ø							
146-1	tɕʰ Ø l							
219-1	l Ø l							
218-1	Ø a							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	Ø a l							
255-1	n Ø l							
260-1	b a							
263-1	r a							
269-1	dʑ ɛ k							
271-1	tʰ a k							
209-1	tɕʰ Ø l							
277-1	m a l							
278-1	b u ŋ							
135-1	d Ø							
284-1	m Ø							
797-1	a							
290-1	l Ø ŋ							
289-1	kʰ i k							
296-1	n i							
310-1	Ø ŋ							
319-1	Ø							
325-1	r Ø							
327-1	tʰ a							
331-1	k a							
337-1	b Ø n							
338-1	l i ŋ							
339-1	a l							
350-1	kʰ ŋ							
349-1	tʰ u ŋ							
357-1	Ø u							
355-1	a							
363-1	m a ŋ							
361-1	tʰ							
365-1	Ø a Ø							
364-1	Ø Ø t							
375-1	r u k							
379-1	Ø Ø t							
380-1	kʰ u							
396-1	Ø							
400-1	m a							
405-1	d a ŋ							
404-1	Ø ə m							
409-1	r ɛ k							
410-1	l i k							
415-1	b Ø							
416-1	b a							
101-1	n u ŋ							
37-1	kʰ a							
424-1	Ø a							
434-1	tɕʰ Ø n							
445-1	p l							
446-1	Ø Ø							
451-1	t u							
457-1	n a m							
456-1	b l a							
464-1	Ø l i ŋ							
473-1	tɕʰ Ø							
474-1	Ø ŋ							
479-1	Ø i Ø							
489-1	Ø ɔ							
490-1	Ø a l							
494-1	Ø a							
503-1	Ø a							
502-1	z a ŋ							
235-1	l u ŋ							
519-1	l Ø							
523-1	u k							
527-1	tɕʰ ɛ ŋ							
538-1	Ø							
544-1	Ø a m							
850-1	a							
554-1	dʑ Ø							
553-1	r i ŋ							
558-1	kʰ a ŋ							
561-1	Ø a							
562-1	p a							
564-1	Ø a							
567-1	m a							
570-1	Ø Ø							
575-1								
582-1	l a							
585-1	a l							
589-1	kʰ ɔ m							
593-1	d Ø n							
594-1	l u l							
595-1	tʰ Ø l							
596-1	n u l							
598-1	z u							
599-1	d Ø l							
602-1	z a							
603-1	l a p							
606-1	Ø Ø Ø							
605-1	b ɔ							
620-1	l Ø							
637-1	Ø a k							
639-1	dʑ a							
645-1	Ø Ø							
646-1	r ɛ ŋ							
168-1	Ø ɛ k							
658-1	Ø a n							
665-1	Ø a							
668-1	Ø a							
