COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
364	g ɛˀ	g ɛ ʔ	g ɛː	g ɛ ʔ	dʑ ɛ ʔ	dʑ ɛ ʔ	ʥ a t	dʑ a t
375	l ɔ k	r u k	l ɔ k	r u k	r u k	r u k	r u k	r u k
379	ɕ ɛ t	s ɛ ʔ	ɕ ɛ t	ʂ ɛ ʔ	s ɛ t	s ɛ t	s a t	s a t
380	kʰ u	kʰ a	kʰ u	g a	kʰ a	kʰ a	kʰ a	kʰ i
396	j ɔu	j ɔː	j u	j ɔː	j oː	j oː	j oː	j oː
400	m a	m uː	m a	m	m uː	m uː	m uː	m uː
405	d a ŋ	d a ŋ	d a ŋ	d a ŋ	d a ŋ	d a ŋ	d a ŋ	d a ŋ
404	s u m	s ø n	s u m	s ø n	s ɔ m	s ø m	s ɔ m	s u m
409	l j ɛ k	r ɛˀ	l ɛ k	r ai k	r ɛ k	r ɛ k	r ɛ k	r ɛ k
410	h u t	i k	h u t	i k	i k	i k	i k	i k
415	b ɛi	b ɛˀ	b ei	b aː	b ɛˀ	b ɛˀ	b aˀ	b a
416	b u	b a	b u	b a	b a	b a	b a	b a
101	ŋ a	n u	ŋ a	n u	n u ŋ	n u ŋ	ɲ u ŋ	ɲ u
37	kʰ a	kʰ uː	kʰ a	kʰ uː	kʰ uː	kʰ uː	kʰ uː	kʰ uː
424	pʰ ɔi	h ɛː	pʰ ui	f aː	pʰ ɛː	h ɛː	pʰ aː	pʰ aː
434	ɕ ɛ ɹ	tɕʰ ɛ n	ɕ ɛ l	tsʰ ɛ n	tɕʰ a n	tɕʰ ɛ m	tɕʰ a n	tɕʰ a n
445	p	p	p	p	p	p	b ə	p
446	ɕ i	s iː	ɕ i	ʂ iː	s iː	s iː	s iː	ɕ i
451	t aˀ	t u	t a	t u	t u	t u	t u	t u
457	n a m	n a m	n a m	n a m	n a m	n a m	n a m	n a m
456	b a	b l uː	b a	b l uː	b l uː	b r uː	b l uː	b l uː
464	p ɕ i ŋ	pʰ i ŋ	p ɕ i ŋ	pʰ i ŋ	pʰ i ŋ	pʰ i ŋ	pʰ i ŋ	pʰ i ŋ
473	ɕ i	tɕʰ iː	ɕ i	tsʰ iː	tɕʰ iː	tɕʰ iː	tɕʰ iː	tɕʰ iː
474	ɔ ŋ	a ŋ	ɔ ŋ	ɔ ŋ	a ŋ	ɔ ŋ	ɔ ŋ	ɔ ŋ
479	s ɛ ɹ	s i ŋ	s ɛ l	s i ŋ	s ɛ ɹ	s ɛ ɹ	s i n	s i n
489	j i	j ɐ	j i	j ɐ	j ɔ	j ɔ	j ɔ	j iː
490	j a ŋ	h ɐ̃ː	j a ŋ	x ɐ̃ː	h ɔ̃ː	h ɔ̃ː	h ɔ̃ː	h ɔ̃ː
494	ɕ a	s ə	ɕ a	ʂ ə	s ə	s ə	s ə	s ə
503	kʰ u	g ə	kʰ u	g ə	g ə	g ə	g ə	g ə
502	ɕ a ŋ	z a ŋ	ɕ a ŋ	ʐ a ŋ	z a ŋ	z a ŋ	z a ŋ	z a ŋ
235	l u ŋ	l y ŋ	l u ŋ	l y ŋ	l y ŋ	l y ŋ	l y ŋ	l u ŋ
519	l i	l iː	l i	l iː	l iː	l iː	l iː	l iː
523	u k	u k	u k	u k	u k	u k	u k	u k
527	kʰ j ɛ ŋ	tɕʰ ɛ ŋ	kʰ ɛ ŋ	ʈʂʰ ai ŋ	tɕʰ ɛ ŋ	tɕʰ ɛ ŋ	kʰ ɛ ŋ	kʰ ɛ ŋ
538	ɕ	s	ɕ	ʂ	s	s	s	s
544	w a m	j a n	w a m	j a n	j a m	j a m	j a m	j a m
850	a	a	a	a	a	a	a	a
554	b u	dʑ ə	b u	dʑ ə	dʑ ə	dʑ ə	dʑ ə	dʑ i
553	d u n	r i ŋ	d u n	r i ŋ	r i ŋ	r i ŋ	r i n	r i n
558	kʰ a m	kʰ ɔ̃ː ŋ	kʰ a m	kʰ ũ ŋː	kʰ ũː ŋ	kʰ ũː ŋ	kʰ ũː ŋ	kʰ ɔ̃ː
561	ɕ a	s a	ɕ a	s a	s a	s a	s a	s a
562	p a	p ɐ	p a	p ɐ	p ɔ	p ɔ	p ɔ	p o
564	j	j ɛː	j a	j aː	j ɛː	j ɛː	j aː	j aː
567	m a	m a	m a	m a	m ɔ	m ɔ	m ɔ	m ɔ
570	pʰ u	pʰ yː	pʰ u	pʰ yː	pʰ yː	pʰ yː	pʰ yː	pʰ iː
575	au	ɔː	au	ɔː	oː	oː	oː	oː
582	l ɛi	l a	l ɛi	l a	l a	l a	l a	l a
