COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	Ø ɔː							
5-1	n ɔː							
4-1	tʰ i k							
6-1	n ɔː m							
15-1	dʑ i							
55-1	l ɔ							
56-1	ɔː							
60-1	s Ø							
61-1	kʰ u m							
80-1	dʑ ɔ k							
87-1	tɕʰ u							
86-1	p l u							
92-1	pʰ l a							
102-1	m Ø							
106-1	pʰ u k							
108-1	d u							
107-1	pʰ l au							
112-1	pʰ a m							
115-1	s l							
114-1	tʰ u m							
120-1	d u							
124-1	ɔː							
125-1	tʰ ɔ k							
132-1	s ə							
131-1	r i ŋ							
136-1	m ə							
134-1	kʰ a k							
137-1	ɔː							
138-1	d ɔ k							
140-1	h l ɔː							
143-1	tɕʰ a k							
145-1	tɕʰ ɔ̃ː l							
147-1	h a							
149-1	Ø i k							
153-1	s l							
152-1	k a n							
158-1	k i k							
163-1	l i							
164-1	n iː							
167-1	pʰ ɔː m							
171-1	n u m							
172-1	b u k							
173-1	d ɔi l							
183-1	r a							
185-1	m ɔː							
188-1	g u l							
189-1	Ø i n							
193-1	h Ø							
196-1	m au l							
199-1	tɕʰ a							
200-1	kʰ a n							
201-1	tɕʰ i							
202-1	kʰ l							
203-1	tʰ u m							
204-1	b iː							
206-1	n ɔː m							
117-1	b iː							
146-1	tɕʰ Ø l							
219-1	l pʰ l							
218-1	tɕʰ a							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j a l							
255-1	n ɔ̃ l							
260-1	b a							
263-1	r au							
269-1	dʑ ɛ k							
271-1	tʰ a k							
209-1	tɕʰ Ø l							
277-1	m ɔː l							
278-1	b u m							
135-1	d ə							
284-1	m iː							
797-1	ɔː							
290-1	l i ŋ							
289-1	tɕ i k							
296-1	n i							
310-1	s ŋ							
319-1	iː							
325-1	r Ø							
327-1	tʰ a							
331-1	k a							
337-1	b a n							
338-1	l i m							
339-1	au l							
350-1	kʰ l							
349-1	tʰ u m							
357-1	tɕʰ u							
355-1	ɔː							
363-1	m ɔː l							
361-1	tʰ							
365-1	s ɔː Ø							
364-1	Ø ɛ t							
375-1	r u k							
379-1	s ɛ t							
380-1	kʰ u							
396-1	j							
400-1	m ɔː							
405-1	d ɔː m							
404-1	s ɔ m							
409-1	r ɛ k							
410-1	l i k							
415-1	b Ø							
416-1	b ɔː							
101-1	n u							
37-1	kʰ ɔː							
424-1	pʰ a							
434-1	tɕʰ a n							
445-1	p							
446-1	s iː							
451-1	t u							
457-1	n ɔː m							
456-1	b l ɔː							
464-1	pʰ l i m							
473-1	tɕʰ iː							
474-1	ɔ m							
479-1	s i n							
489-1	j ɔ							
490-1	h au l							
494-1	s ə							
503-1	Ø ə							
502-1	z ɔː m							
235-1	l u m							
519-1	l iː							
523-1	u k							
527-1	tɕʰ ɛ m							
538-1	s							
544-1	j ɔː m							
850-1	ɔː							
554-1	dʑ ə							
553-1	r i n							
558-1	kʰ ɔ̃ː							
561-1	s ɔː							
562-1	p o							
564-1	j a							
567-1	m a							
570-1	pʰ iː							
575-1								
582-1	l ɔː							
585-1	a l							
589-1	k ɔ m							
593-1	d a n							
594-1	l u l							
595-1	tʰ Ø l							
596-1	n u							
598-1	z u							
599-1	d Ø l							
602-1	z a							
603-1	l ɔː k							
606-1	s Ø Ø							
605-1	b ɔ							
620-1	l Ø							
637-1	pʰ a k							
639-1	dʑ a							
645-1	Ø ɔ							
646-1	r ɛ m							
168-1	h ɛ k							
658-1	h ɔː n							
665-1	pʰ ɔː							
668-1	h ɔː							
677-1	t ɔː m							
75-1	k u m							
678-1	s ɔː							
682-1	m a n							
493-1	z iː							
693-1	s ə							
694-1	m ɔː							
702-1	Ø ɔ m							
704-1	m u							
176-1	l ɔː							
709-1	s l l							
710-1	t ɔ p							
714-1	m a							
718-1	kʰ l							
719-1	tɕʰ ɔ̃ː							
22-1	m iː							
723-1	tɕ i m							
726-1	dʑ ɛ m							
729-1	b							
730-1	r i							
739-1	pʰ l iː							
740-1	b ə							
741-1	kʰ ɔ k							
1-2		k uː						
5-2		n a						
4-2		tʰ i k						
6-2		n a m						
15-2		dʑ i						
55-2		l o						
56-2		a						
60-2		s u						
61-2		kʰ u m						
80-2		dʑ o t						
87-2		tɕʰ a						
86-2		pʰ l u						
92-2		pʰ p a						
102-2		m a						
106-2		pʰ u t						
