COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n d ə			
1375-1	l ɛɪ x			
760-1	w ə n d			
756-1	s n aː			
726-1	m r r			
1351-1	x r ɛɪ n t t			
1353-1	x r ɛɪ n + m ɔ r			
412-1	k ɛɪ x r r l ə			
406-1	z ə ɛɪ ɣ ə r d ə r l ə			
1005-1	s t ɛɪ p ə v r			
1012-1	s t eː p ə m ɔ r			
1016-1	w ə t ə r			
1069-1	ɛɪ x			
509-1	v r l			
693-1	m uː l l			
2179-1	n eː s t			
1753-1	v ə s			
1131-1	w x l f			
1198-1	b aː r d			
2032-1	h ɔ r			
2241-1	n aː t			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r			
1534-1	l œy k ə			
384-1	z ɔ ts ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n			
471-1	z aː ə			
1385-1	z aː d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z x			
2020-1	l ɑ ŋ			
867-1	h ɔ n d r d			
1970-1	v l l			
1230-1	d r d t			
2017-1	n			
968-1	w ɛ l d			
1674-1	l ɑ n d			
1671-1	h øː l			
829-1	k l ɪ f			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	aː s ɛɪ			
-335-1	l ɑ x oː n			
1043-1	s t r ɑ m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɛ r m			
2065-1	r aː n + ɣ aː b oː			
1368-1	s ɑ d ə n			
1365-1	d uː ɛɪ			
754-1	r aː n			
768-1	w ɛ t ə r			
1211-1	v iː ə r			
106-1	m ɑ n			
-98-1	b aː b ɛɪ			
719-1	v ɑ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n			
-2026-1	n eː v			
409-1	z oː ɛɪ n ə r + z oː n			
402-1	d oː ɣ ə r s ə l			
1014-1	s t eː p ə d ɔ x t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	h k s			
2199-1	k ɑ l			
2197-1	s aː p			
1523-1	z aː			
1521-1	b ɔ k			
512-1	m ə r aː			
2141-1	h ɛ n			
2147-1	x aː n s			
814-1	k r aː			
810-1	d ɔ v			
1755-1	h ɔ n t			
1758-1	m uː s			
1760-1	r ɑ t			
1620-1	v ə n			
1282-1	w ɑ l			
1136-1	v ɔ k s			
1309-1	l ɛɪ s			
1307-1	n ɪ t			
1305-1	v l ɛɪ			
711-1	w ɛ s p			
1442-1	v l ɛɪ n			
62-1	m œy k			
-73-1	m eː s k ɛɪ t oː			
1810-1	h ɛɪ t			
1805-1	v l eː s			
1813-1	h aː r r			
1811-1	b l ɔ d			
690-1	r ʉ x			
2177-1	h s p			
246-1	ɛɪ + ə r b r			
249-1	ɛɪ x l ə d ə ɛɪ			
1506-1	n + s t ə eː l			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	ɑ k			
2174-1	s x l d ə r			
575-1	aː x s			
603-1	ɛ l ə ɣ aː b oː			
601-1	h ɑ n d			
615-1	v ɪ ŋ k ə r			
901-1	k l uː			
608-1	v ɔ t			
596-1	t aː			
937-1	b r r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l aː v ə r			
1606-1	h ʉ p			
472-1	s n ə			
1535-1	z w ɛ t			
1546-1	s p ɔ x			
1959-1	s l aː p			
694-1	s n ɑ r			
1961-1	d r iː m			
323-1	l aː l ɛɪ			
1885-1	x r aː v			
2156-1	k r l ə l ŋ			
1903-1	w ɛɪ n d			
525-1	z w ɛ l ɛɪ ŋ			
276-1	l aː m ɛɪ			
274-1	d ɔ p			
278-1	b l ɛɪ n d			
258-1	v ə l ə r ɔ ŋ			
256-1	n ɑ k t			
383-1	s t			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k			
2009-1	oː v			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɑ ŋ ə			
1243-1	m aː l ɛɪ			
1265-1	p iː l			
1261-1	z ɛɪ v			
655-1	b r s t			
650-1	d eː k			
1532-1	k n t			
-36-1	z x p			
34-1	b oː n			
-1647-1	v eː x			
-1615-1	x l l			
125-1	v ɑ t			
1659-1	h oː n ɛɪ			
1661-1	m eː l k			
1676-1	b ɔ t ə r			
480-1	x r ə r ɑ ŋ			
1466-1	k l aː d ɔ n			
2277-1	w ɛ l			
2271-1	v eː l t			
2293-1	l aː d ə r			
624-1	s p ə n			
628-1	s p ə n d ə l			
626-1	w aː v			
633-1	n aː d ə l			
1185-1	s x s t ə k ə			
1179-1	h ɑ t			
2168-1	k ɑ m			
1952-1	d uː r			
899-1	l ɛɪ d ə r			
922-1	b eː d			
-934-1	l ɑ m p			
916-1	t r ɔ x			
1726-1	v eː l d			
2108-1	p l ɛɪ ɣ			
1133-1	v ɔ r aː			
2114-1	s p aː d			
1272-1	r ɛɪ x			
1979-1	x r aː s			
1989-1	h aː			
-2260-1	p l ɑ n t			
