COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ au̯ h															
175-1	k ɨ															
241-1	ʔ a ʔ															
2163-1	kʰ ɛ															
2181-1	n a															
2060-1	ʔ a															
410-1	d u															
1841-1	m ă n															
2017-1	h ə̆ k															
1004-1	b ou̯															
614-1	b ou̯ ʔ															
686-1	p ou̯ ʔ															
88-1	g ɨ ʔ															
872-1	n ɨi̯															
1891-1	d u															
68-1	s ɨ															
631-1	p ə n															
594-1	g u															
1759-1	h a h															
805-1	g ɨ ɲ															
756-1	h ə̆ k															
1201-1	m ă n															
2042-1	ʔ a															
1968-1	d u ʔ															
2000-1	p ə ŋ															
17-1	v ɔ ʔ															
4-1	p ə n															
788-1	d u															
1219-1	h ɨi̯ k															
141-1	ʔ ɨi̯															
541-1	p r j a															
1687-1	h ə̆ k															
123-1	b ou̯ ʔ															
1652-1	p ə n															
576-1	ŋ au̯ h															
1738-1	d u															
442-1	h ə̆ k															
368-1	d u															
1778-1	p ə ʔ															
957-1	n a															
1704-1	ʔ ɨi̯															
304-1	j a															
1796-1	p ə ŋ															
720-1	d u h															
287-1	g ɨ															
321-1	g u															
206-1	d u ʔ															
1950-1	ʔ a															
665-1	p ə n															
703-1	n ɨi̯															
1290-1	m ă n															
1391-1	g ɨ															
269-1	g u ʔ															
855-1	p ə n															
2078-1	s ɨ															
2213-1	m ă n															
1858-1	s a															
1151-1	g j a															
737-1	p r n															
340-1	s a															
1111-1	s ɨ															
485-1	ŋ au̯ h															
1356-1	m ă n															
1093-1	d u ŋ															
1063-1	d u															
648-1	p ə n															
223-1	g ɔ n															
1248-1	b ə															
1509-1	d u ŋ															
504-1	b ɔ ʔ															
2130-1	s ɨ															
1-1	ʔ a															
386-1	b ou̯ ʔ															
1411-1	ʔ a															
1027-1	g ɨ ʔ															
1459-1	g u															
1323-1	b ɔ															
1859-2		ŋ ɔ h														
175-2		n a														
241-2		ʔ u h														
2163-2		kʰ a														
2181-2		n a														
2060-2		ʔ e h														
410-2		d u														
1841-2		m a														
2017-2		h ɔi̯														
1004-2		g ɨ n														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		g ɨ n														
872-2		n oː														
1891-2		d ɔ ʔ														
68-2		s ə n														
631-2		b əː n														
594-2		g ɨ														
1759-2		h a h														
805-2		g ɨ n														
756-2		h ɔi̯														
1201-2		m a														
2042-2		ʔ a h														
1968-2		d ɔ ʔ														
2000-2		b əː n														
17-2		v a														
4-2		b əː n														
788-2		d ɔ														
1219-2		h ɔi̯														
141-2		ʔ e h														
541-2		b əː n														
1687-2		h ɔi̯														
123-2		b əː n														
1652-2		dʑ eː														
576-2		ŋ ɔ h														
1738-2		d ɔ h														
442-2		h ɔi̯														
368-2		d ɔ h														
1778-2		b əː n														
957-2		n a														
1704-2		ʔ ui̯														
304-2		n a														
1796-2		dʑ au̯ ŋ														
720-2		d ɔ h														
287-2		g ɨ n														
321-2		l ɨ h														
206-2		d o ʔ														
1950-2		ʔ e h														
665-2		b o														
703-2		n oː														
1290-2		m a														
1391-2		ʔ ɨ n														
269-2		g ɨ ʔ														
855-2		dʑ a n														
2078-2		s ə														
2213-2		m a														
1111-2		s ə														
485-2		ŋ ɔ h														
1356-2		m a h														
1093-2		d o k														
1063-2		d u														
648-2		dʑ au̯														
223-2		n ɨ n														
1248-2		dʑ a														
1509-2		d u														
504-2		dʑ au̯ h														
2130-2		s ə														
1-2		ʔ o h														
386-2		b o ʔ														
1411-2		ʔ u h														
1027-2		g ɨ n														
2077-2		m a														
1459-2		g ɨ n														
1323-2		l ɨ n														
1859-3			ŋ a													
175-3			d a													
241-3			ʔ ui̯ h													
2163-3			kʰ a													
