COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ai̯															
175-1	g ă															
241-1	ʔ u															
2163-1	kʰ ɛ															
2181-1	n ɔ n															
2060-1	ʔ a h															
410-1	d o															
1841-1	m u															
2017-1	h ə̆															
1004-1	t o															
614-1	b ou̯ h															
686-1	b l															
88-1	g ă ʔ															
872-1	n ɔ ŋ															
1891-1	d o															
68-1	s e ɲ															
631-1	b ə n															
594-1	g ă															
1759-1	h a h															
805-1	g ă n															
756-1	h ə̆ k															
1201-1	m u															
2042-1	ʔ o															
1968-1	d o															
2000-1	t o ŋ															
17-1	v ɔ ʔ															
4-1	d o m															
788-1	d o															
1219-1	h ɛ															
141-1	ʔ o ŋ															
541-1	p r j a															
1687-1	h u h															
123-1	d o m															
1652-1	c e ɲ															
576-1	ŋ au̯															
1738-1	d o															
442-1	h o m															
368-1	d o m															
1778-1	b ə															
957-1	n ɔ															
1704-1	ʔ ɨi̯															
304-1	j a h															
1796-1	c ou̯ ŋ															
720-1	t o m															
287-1	g ă ʔ															
321-1	g ă h															
206-1	d o															
1950-1	ʔ o															
665-1	d o m															
703-1	n ɔ ʔ															
1290-1	m u															
1391-1	g ă ʔ															
269-1	g ă ʔ															
855-1	c ɨ n															
2078-1	s e															
2213-1	m u															
1858-1	s a															
1151-1	g ă n															
737-1	p r															
1859-2		ŋ ɔ h														
175-2		k a														
241-2		ʔ uː														
2163-2		kʰ a														
2181-2		n a														
2060-2		ʔ au̯														
410-2		d ɔː n														
1841-2		m u h														
2017-2		h ɔi̯														
1004-2		d oː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k a ʔ														
872-2		n oː n														
1891-2		d oː														
68-2		s i														
631-2		b əː n														
594-2		k oː														
1759-2		h a n														
805-2		k oː n														
756-2		h ɔi̯														
1201-2		m u h														
2042-2		ʔ a														
1968-2		d ɔ ʔ														
2000-2		d oː ŋ														
17-2		v a														
4-2		d ɔː n														
788-2		d o k														
1219-2		h i														
141-2		ʔ au̯														
541-2		b əː n														
1687-2		h ɔi̯ h														
123-2		d oː m														
1652-2		dʑ ɔː n														
576-2		ŋ ɔ h														
1738-2		d ɔ k														
442-2		h o														
368-2		d ɔ h														
1778-2		b əː n														
957-2		n a n														
1704-2		ʔ ui̯														
304-2		dʑ ɔ h														
1796-2		dʑ ɔ h														
720-2		d o h														
287-2		k a														
321-2		k oː h														
206-2		d o ʔ														
1950-2		ʔ au̯														
665-2		n oː n														
703-2		n oː k														
1290-2		m u h														
1391-2		k a														
269-2		k a														
855-2		dʑ ɔ n														
2078-2		s i														
2213-2		m u h														
1859-3			ŋ a													
175-3			k a													
241-3			ʔ uː													
2163-3			kʰ a													
2181-3			n a													
2060-3			ʔ oː													
410-3			d e ŋ													
1841-3			m ui̯ h													
2017-3			h ə													
1004-3			d o													
614-3			b o h													
686-3			b l ai̯													
88-3			k a ʔ													
872-3			n ɔːi̯													
1891-3			d ɔː													
68-3			s aːi̯													
631-3			b l ai̯													
594-3			k l													
1759-3			h a h													
805-3			k a ŋ													
756-3			h ə h													
1201-3			m ui̯ h													
2042-3			ʔ a													
1968-3			d a ʔ													
2000-3			d o ŋ													
17-3			v a t													
4-3			m ui̯ h													
788-3			d ɔː ŋ													
1219-3			h a h													
141-3			ʔ a													
541-3			b r ai̯													
1687-3			h ə													
123-3			m ui̯ h													
1652-3			dʑ ə ŋ													
576-3			ŋ a													
1738-3			d a n													
442-3			h i													
368-3			d ɔː ŋ													
1778-3			b l a													
957-3			n a													
1704-3			ʔ a ʔ													
304-3			j a m													
1796-3			dʑ ə ŋ													
720-3			d e ŋ													
287-3			k a a													
