COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɔ															
175-1	g ă															
241-1	ʔ u t															
2163-1	kʰ ɛ															
2181-1	n ă m															
2060-1	ʔ o m															
410-1	d ɛ															
1841-1	m o															
2017-1	h i															
1004-1	t ai̯															
614-1	b ou̯ h															
686-1	b r ɛ															
88-1	g ă ʔ															
872-1	n ɨ ŋ															
1891-1	d ă															
68-1	s e m															
631-1	p r															
594-1	g ă															
1759-1	h ă n															
805-1	g ă n															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː														
2163-2		kʰ u h														
2181-2		n ɔ m														
2060-2		ʔ au̯ m														
410-2		d ɛ h														
1841-2		m ai̯														
2017-2		h uː														
1004-2		d a h														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k a ʔ														
872-2		n ɔ ŋ														
1891-2		d a														
68-2		s i m														
631-2		b j o														
594-2		k e														
1759-2		h oː n														
805-2		k e n														
1859-3			ŋ aːi̯													
175-3			k a													
241-3			ʔ uː													
2163-3			kʰ a													
2181-3			n a m													
2060-3			ʔ oː m													
410-3			ɗ ɛ													
1841-3			m ɔːi̯													
2017-3			h i													
1004-3			d aː													
614-3			b o ʔ													
686-3			b l ai̯													
88-3			k a ʔ													
872-3			n a ŋ													
1891-3			ɗ aː													
68-3			s iː n													
631-3			b ɛ ʔ													
594-3			k a													
1759-3			h a ɲ													
805-3			k a ŋ													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː												
2163-4				kʰ iː												
2181-4				n ɔː m												
2060-4				ʔ i m												
410-4				t ai̯												
1841-4				m oi̯												
2017-4				h oː												
1004-4				d ɔː												
614-4				p o h												
686-4				p a t												
88-4				k j k												
872-4				n o ŋ												
1891-4				t a												
68-4				s iː m												
631-4				p a												
594-4				k j												
1759-4				h oː n												
805-4				k j k												
1859-5					ŋ a l											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					kʰ uː r											
2181-5					n a m											
2060-5					ʔ aː m											
410-5					ɗ iː											
1841-5					m u											
2017-5					h ei̯											
1004-5					b r											
614-5					b ai̯ h											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					n au̯ ŋ											
1891-5					ɗ iː											
68-5					s i m											
631-5					b r ei̯											
594-5					k əː											
1759-5					h a n											
805-5					k i ŋ											
1859-6						ŋ a r										
175-6						k a										
241-6						ʔ uː t										
2163-6						k u r										
2181-6						n a m										
2060-6						ʔ oː m										
410-6						ɗ iː										
1841-6						m u										
2017-6						h ou̯										
1004-6						k a										
614-6						p r h										
686-6						b l ei̯										
88-6						k a ŋ										
872-6						n a ŋ										
1891-6						ɗ ə										
68-6						s i m										
631-6						p a n										
594-6						k a										
1759-6						h a n										
805-6						k əː ŋ										
1859-7							ŋ ai̯									
175-7							k a									
241-7							ʔ uː									
2163-7							l uː									
2181-7							n ɔː m									
2060-7							ʔ au̯ m									
410-7							t ai̯									
1841-7							m ai̯									
2017-7							h ɨ									
1004-7							s i									
614-7							p o h									
686-7							p a t									
88-7							k ɔː ʔ									
872-7							n ɔː n									
1891-7							t aː									
68-7							s i m									
631-7							p j									
594-7							k ɔː									
1759-7							h ɨ n									
805-7							k ɔː									
1859-8								ŋ aːi̯								
175-8								g a								
241-8								ʔ uː ʔ								
2163-8								kʰ iː								
2181-8								n a m								
2060-8								ʔ ɔː m								
410-8								ɗ ai̯								
1841-8								m ai̯								
2017-8								h u								
1004-8								t aː								
614-8								b r h								
686-8								p l ai̯								
88-8								g a ʔ								
872-8								n a ŋ								
1891-8								ɗ a								
68-8								s i m								
631-8								p r ai̯								
594-8								g aː								
1759-8								h u r								
805-8								g i ŋ								
1859-9									ŋ a							
175-9									k ɛ							
241-9									ʔ u h							
2163-9									kʰ iːu̯							
2181-9									n a m							
2060-9									ʔ i m							
410-9									ɗ ai̯							
1841-9									m əi̯							
2017-9									h i							
1004-9									d ɛ							
614-9									p o ʔ							
686-9									p l i							
88-9									k ɛ ʔ							
872-9									n o ŋ							
1891-9									ɗ ɛ							
68-9									s i m							
631-9									p l							
594-9									k ɛ							
1759-9									h a n							
805-9									k l a							
1859-10										ŋ aːi̯						
175-10										k a						
241-10										ʔ u ʔ						
2163-10										ŋ ɔ r						
2181-10										n a m						
2060-10										ʔ ɔː m						
410-10										ɗ iː						
1841-10										m ɛː						
2017-10										h u r						
1004-10										r̥ aː						
614-10										b l h						
686-10										b l e						
88-10										k a ʔ						
872-10										n ɔ ŋ						
1891-10										ɗ a						
68-10										s i m						
631-10										b l a						
594-10										k a						
1759-10										h a ŋ						
805-10										k ə ŋ						
1859-11											ŋ ai̯ ʔ					
175-11											k a					
241-11											ʔ uː					
2163-11											k uː					
2181-11											n aː m					
2060-11											ʔ au̯ m					
410-11											t ai̯					
1841-11											m aːi̯					
2017-11											h ɔi̯					
1004-11											ʔ aː					
614-11											b aː					
686-11											b a t					
88-11											k ɔː ʔ					
872-11											n aː ŋ					
1891-11											t a					
68-11											tɕʰ i m					
631-11											b a n					
594-11											k j					
1759-11											h a					
805-11											k iː					
1859-12												ŋ ai̯				
175-12												g ă				
241-12												ʔ u ʔ				
2163-12												kʰ u n				
2181-12												n ă m				
2060-12												ʔ a m				
410-12												d ɛ				
1841-12												m ɛ				
2017-12												h ɨ				
1004-12												t a				
614-12												b ou̯ ʔ				
686-12												b a				
88-12												g ă ʔ				
872-12												n ɨ ŋ				
1891-12												d a				
68-12												s e m				
631-12												p ə̆				
594-12												g ă				
1759-12												h a n				
805-12												g i ɲ				
1859-13													ŋ ɔ			
175-13													k ă			
241-13													ʔ u			
2163-13													h u n			
2181-13													n ă m			
2060-13													ʔ o m			
410-13													d ai̯			
1841-13													m o			
2017-13													h a			
1004-13													t a			
614-13													b ou̯ h			
686-13													b r ɛ			
88-13													g ă k			
872-13													n ɨ k			
1891-13													d a			
68-13													s e m			
631-13													b ə n			
594-13													g ă			
1759-13													h a n			
805-13													g ă n			
1859-14														ŋ aːi̯		
175-14														k a		
241-14														ʔ uː ʔ		
2163-14														kʰ i		
2181-14														n a m		
2060-14														ʔ aː m		
410-14														ɗ ai̯		
1841-14														m aːi̯		
2017-14														h i		
1004-14														ɗ a		
614-14														b ɔ h		
686-14														b l eː		
88-14														g a a		
872-14														n o ŋ		
1891-14														ɗ ɔ		
68-14														s i m		
631-14														b r ai̯		
594-14														g a a		
1759-14														h a n		
805-14														g a ŋ		
1859-15															ŋ au̯	
175-15															g a	
241-15															ʔ ou̯ ʔ	
2163-15															kʰ ɛ	
2181-15															n a m	
2060-15															ʔ a m	
410-15															d ɛː	
1841-15															m oː	
2017-15															h ɨ	
1004-15															t o	
614-15															b ou̯ h	
686-15															b e	
88-15															g a ʔ	
872-15															n a ŋ	
1891-15															d a	
68-15															s ei̯	
631-15															p ə	
594-15															g a	
1759-15															h a n	
805-15															g ə ɲ	
1859-16																ŋ ɔː
175-16																g a
241-16																ʔ uː n
2163-16																h uː n
2181-16																n a m
2060-16																ʔ aː m
410-16																d ɛː
1841-16																m oi̯
2017-16																h iː
1004-16																s au̯
614-16																b ou̯ ʔ
686-16																p l c
88-16																g a ʔ
872-16																n ɔ ŋ
1891-16																d a
68-16																s ei̯
631-16																p ə n
594-16																g a
1759-16																h a n
805-16																g ə n
