COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ə ŋ															
175-1	k ɨ															
241-1	ʔ a															
2163-1	kʰ ɛ															
2181-1	n a															
2060-1	ʔ a															
410-1	p r															
1841-1	m a															
2017-1	h ə̆ k															
1004-1	p ə															
614-1	p ə															
686-1	p r ɛ															
88-1	g ɨ ŋ															
872-1	n a															
1891-1	p ə															
68-1	s ɨ															
631-1	p ə n															
594-1	g ɨ															
1759-1	h ə̆ k															
805-1	g ɨ ɲ															
756-1	h ə̆ k															
1201-1	m a															
2042-1	ʔ a															
1968-1	p a															
2000-1	p r ɛ															
17-1	p r															
4-1	p ə n															
788-1	p r ɛ															
1219-1	h ə̆ k															
141-1	ʔ a															
541-1	p r j a															
1687-1	h ə̆ k															
123-1	p r ɛ															
1652-1	p ə n															
576-1	ə ɔ															
1738-1	p ə															
442-1	h ə̆ k															
368-1	p j															
1778-1	p r ɛ															
957-1	n a															
1704-1	ʔ a															
304-1	j a															
1796-1	p ə															
720-1	p r ɛ															
287-1	k ɨ															
321-1	g ɨ ŋ															
206-1	p u ŋ															
1950-1	ʔ a															
665-1	p ə n															
703-1	n a															
1290-1	m a															
1391-1	g ɨ															
269-1	g ɨ															
855-1	p ə n															
2078-1	s ɨ															
2213-1	m a															
1858-1	s ɨ															
1151-1	g j a															
737-1	p r ɛ															
340-1	ʔ a															
1111-1	s ɨ															
485-1	ə ŋ															
1356-1	m a															
1093-1	p ə ŋ															
1063-1	p ə n															
648-1	p ə n															
223-1	g ɨ n															
1248-1	p ə															
1509-1	t ə n															
504-1	p ə															
2130-1	s ɨ															
1-1	ʔ a															
386-1	p ə n															
1411-1	ʔ a															
1027-1	g ɨ ŋ															
1459-1	g u ŋ															
1323-1	p ə															
1538-1	ɲ j a															
975-1	ɲ ɔ ŋ															
940-1	ɲ ɔ ŋ															
1476-1	ʔ a															
1923-1	n a															
105-1	p ə															
1431-1	ʔ a															
1814-1	m a															
1183-1	n a															
1430-1	p ə															
1721-1	ʔ a															
1617-1	p ə n															
1564-1	p ə															
2111-1	h ə̆ k															
1563-1	s ɨ															
1597-1	s ɨ															
1859-2		n ɔ h														
175-2		g ɨ n														
241-2		ʔ o ʔ														
2163-2		kʰ a														
2181-2		n ɔ														
2060-2		ʔ a														
410-2		d ɔ ʔ														
1841-2		m a														
2017-2		h ɔi̯														
1004-2		l ə														
614-2		b əː h														
686-2		b l ɔːi̯														
88-2		g ɨ n														
872-2		n ɔ h														
1891-2		d ɔ ʔ														
68-2		l ə														
631-2		b əː n														
594-2		g ɨ n														
1759-2		h ɔi̯														
805-2		g ɨ n														
756-2		h ɔi̯														
1201-2		m a														
2042-2		ʔ a														
1968-2		d ɔ ʔ														
2000-2		ə ŋ														
17-2		d ə														
4-2		ə ŋ														
788-2		d ɔ p														
1219-2		h ɔi̯														
141-2		ʔ a														
541-2		b əː n														
1687-2		h ɔi̯														
123-2		ə ə														
1652-2		dʑ eː														
576-2		n ɔ h														
1738-2		d ɔ														
442-2		h ɔi̯														
368-2		d ɔ ʔ														
1778-2		b əː n														
957-2		n ɔ														
1704-2		ʔ a														
304-2		d ɔ ʔ														
1796-2		dʑ au̯														
720-2		d ɔ h														
287-2		g ɨ n														
321-2		g ɨ n														
206-2		d ɔ ʔ														
1950-2		ʔ a														
665-2		ɣ a														
703-2		n ɔ ʔ														
1290-2		m a														
1391-2		g a n														
269-2		g a n														
855-2		dʑ au̯ n														
2078-2		ə ə p														
2213-2		m a														
1111-2		l ə p														
485-2		n ɔ h														
1356-2		m a														
1093-2		d o ʔ														
1063-2		d ɔ														
648-2		dʑ eː n														
223-2		g ɨ n														
1248-2		dʑ eː														
1509-2		d ɔ ʔ														
504-2		dʑ eː														
2130-2		l ə p														
1-2		ʔ a														
386-2		ə ə														
1411-2		ʔ a														
1027-2		g a ʔ														
2077-2		m a														
1459-2		g ɨ n														
1323-2		ə ə														
975-2		ɣ a														
940-2		n ɔ h														
1476-2		ʔ a														
1923-2		n ɔ h														
105-2		ɣ a														
1431-2		ʔ a														
37-2		ə ŋ														
1152-2		b l ɔːi̯														
1814-2		m a														
1183-2		n ɔ n														
1430-2		d ɔ ʔ														
1721-2		ʔ a														
1617-2		b əː ɔːi̯														
1564-2		b əː ʔ														
2111-2		l ə p														
1563-2		ɣ a														
1859-3			n ɔːi̯													
175-3			h a													
241-3			ʔ o ʔ													
2163-3			kʰ a													
2181-3			n ɔːi̯													
2060-3			ʔ o ʔ													
410-3			d a													
1841-3			d a													
2017-3			h ə													
1004-3			h a													
614-3			b r ai̯													
686-3			b l													
88-3			h a													
872-3			n ɔːi̯													
1891-3			d a													
68-3			s ə													
631-3			b r ai̯													
594-3			h a													
1759-3			h a													
805-3			h a													
756-3			h ə h													
1201-3			h a													
2042-3			ʔ o ʔ													
1968-3			d a													
2000-3			h a													
17-3			h a													
4-3			h a													
788-3			d a													
1219-3			h a													
141-3			ʔ o ʔ													
541-3			b r ai̯													
1687-3			h ə h													
123-3			h a													
1652-3			d a													
576-3			n ɔːi̯													
1738-3			d a													
442-3			h ə													
368-3			d a													
1778-3			b r ai̯													
957-3			n ɔːi̯													
1704-3			ʔ o ʔ													
304-3			j ɨː													
1796-3			d a													
720-3			d a													
287-3			h a													
321-3			h ə													
206-3			d a													
1950-3			ʔ o ʔ													
665-3			h a													
703-3			n ɔːi̯													
1290-3			d a													
1391-3			h a													
269-3			h a													
855-3			d a													
2078-3			s ə													
2213-3			d a													
1858-3			s ə													
1151-3			h a													
737-3			b r ai̯													
340-3			s ə													
1111-3			s ə													
485-3			n ɔːi̯													
1356-3			h ə h													
1093-3			d a													
1063-3			d a													
648-3			h a													
223-3			h a													
1248-3			d a													
1509-3			d a													
504-3			h a													
1-3			ʔ o ʔ													
386-3			h a													
1411-3			ʔ o ʔ													
1027-3			h a													
2077-3			h a													
1459-3			h ə													
1323-3			h a													
1538-3			r r													
975-3			d a													
940-3			n ɔːi̯													
1476-3			ʔ o ʔ													
105-3			h ɔːi̯													
1431-3			ʔ o ʔ													
37-3			h a													
1152-3			b r ai̯													
1814-3			d a													
1890-3			s ə													
1430-3			d a													
1721-3			h a													
1617-3			b r ai̯													
1564-3			b r ai̯													
1028-3			ʔ a													
1563-3			s ə													
1859-4				t a												
175-4				g ɨ												
241-4				ʔ a												
2163-4				j eu̯												
2181-4				n ɔ h												
2060-4				ʔ a												
410-4				t a												
1841-4				tɕ ɛː m												
2017-4				n ɔ h												
1004-4				j eu̯												
614-4				b əː n												
686-4				b əː n												
88-4				g ɨ n												
872-4				n ɔ h												
1891-4				t a												
68-4				s ɛ m												
631-4				b əː n												
594-4				g ɨ												
1759-4				n ɔ h												
805-4				g ɨ n												
756-4				n ɔ h												
1201-4				tɕ ɛː m												
2042-4				ʔ a												
1968-4				t a												
2000-4				t a ŋ												
17-4				t a												
