COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	d a r ɨ									
35-1	tɕ i j u θ u									
36-1	h u j a ts u									
48-1	n a g a s									
60-1	θ u r i									
63-1	s i r a m i									
64-1	x i									
67-1	h a									
68-1	n ɨ									
71-1	ts i									
76-1	h u n g									
83-1	ts u n u									
87-1	h a n g									
95-1	m i m i									
98-1	h a n a									
99-1	x u ts i									
-102-1	s i j a									
103-1	ts ɨ m g									
110-1	θ ɨ									
116-1	m ɨ n ɨ									
120-1	n u m u r									
132-1	x i x u r									
139-1	x u r u s u r									
140-1	u ʔʲ u g u r									
156-1	θ a θ u r i									
168-1	θ ɨ x i									
169-1	h u s i									
170-1	m i d u									
173-1	i s i									
180-1	x u m u									
185-1	h a i									
186-1	m u g r u									
187-1	m i ts i									
190-1	a x a a									
193-1	x u r u i									
194-1	s i r u s									
195-1	x u r u s									
216-1	m a r u s a r									
221-1	n a m									
239-1	i θ u									
252-1	m i ts u									
253-1	ʔʲ u o u									
254-1	i θ ɨ θ u									
266-1	x a d ɨ									
267-1	n a g a r ɨ r u r									
268-1	ɨ m i									
272-1	a m ɨ r									
276-1	a r a u									
281-1	m u s i									
304-1	ts u b a ɨ i									
305-1	ts i									
308-1	h a n a									
309-1	x u s a									
310-1	θ u									
311-1	n i									
342-1	ɨ u k i									
346-1	x u r a s									
347-1	x i θ u r									
348-1	h i r ɴ u									
351-1	θ o u a r									
361-1	u m ɴ u									
379-1	x u s a r a									
394-1	h i d a r i									
395-1	m i g i r									
400-1	h i ɨ a r u									
412-1	s a x ɨ r u r									
413-1	ts ɨ k i s u									
414-1	h u r u r									
422-1	h u x u θ ɨ r u									
423-1	x a ɴ g a ɨ r u									
430-1	h a x u r									
435-1	h u x u r									
446-1	s i j a r									
447-1	ɨ ɨ r									
458-1	θ u s i									
56-1	h i u									
62-1	i n u									
70-1	j a n ɨ									
96-1	m ɨ									
101-1	h a									
114-1	x u b i									
119-1	k i m u									
134-1	s i r u r u									
138-1	s i n u r i									
146-1	ʔ r u x u									
161-1	ʔʲ u r									
182-1	x ɨ m u r i									
188-1	j a m a									
196-1	j u r u									
262-1	h i r u m a									
300-1	h ɨ s u									
313-1	d ɨ									
350-1	s ɨ m a s									
352-1	j i x a s									
396-1	h u r u s									
401-1	u s u r									
420-1	u θ u r u r									
424-1	u ʔ u									
442-1	s i m ɨ θ u x i r									
455-1	i x i j i r u									
15-1	ʔ r ɨ									
49-1	u n n a ɴ u									
130-1	m i r u									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o tɕ u								
36-2		h u t u tɕ u								
48-2		n a g a kʲ a								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		tɕ u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i a								
103-2		tɕ u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u m								
139-2		k o r o s u kʲ								
140-2		o j o g u								
