COGID	dutch	english	french	german
790	b r ʉ x	b r ɪ dʒ		b r ʏ k ə
2277	w ɔ l	w ʊ l		v ɔ l ə
1295	h aː v ə r			h aː f ə r
271		l eɪ z ɪ		l ɛ s ɪ x
858	œy t + r ɛ k ə	s t r ɛ tʃ		ʃ t r ɛ k ə n
2016		f r aɪ	f ʀ i ʀ	
1245	s x oː r + s t eː n			ʃ ɔ r n + ʃ t ai n
1185	s x uː n + m aː k ə r	ʃ uː + m eɪ k ə r		ʃ uː s t ə r
-2284	p l aː ts	p l eɪ s		p l a ts
1562	v eː l			f iː l
3	h ɔ f			h oː f
885	d eː l ə			au s + t ai l ə n
1097	t ə r ʉ x + k oː m ə	k ʌ m + b æ k		ts uː r ʏ k + k ɔ m ə n
-134	d ɑ n s ə	d ɑː n s		t a n ts ə n
785	w iː l	w iː l		
2006	p ɔ t	p ɔ t		
1568	w ɛɪ n ə x			v eː n ɪ x
1930	b r eː k ə	b r eɪ k		b r ɛ x ə n
330	z w ɑ ŋ ə r			ʃ v a ŋ ə r
847	h oː x	h aɪ		h oː x
576	z uː k ə	s iː k		z uː x ə n
850	t ɔ p	t ɔ p		
1255	aː v ɔ n d + eː t ə			aː b ə n t + ɛ s ə n
2024	p ɑ n	p æ n		pf a n ə
1417	l ɛɪ d ə	l iː d		l ai t ə n
2216	v l øː ɣ ə l			f l yː ɡ ə l
525	z w ɛ l ɪ ŋ	s w ɛ l ɪ ŋ		ʃ v ɛ l ʊ ŋ
1014	s t iː v + d ɔ x t ə r	s t ɛ p + d ɔː t ə r		ʃ t iː f + t ɔ x t ə r
762	w ɔ l k			v ɔ l k ə
782	w ɛ x			v ɛ k
2210	s t eː k ə			ɛ r + ʃ t ɛ x ə n
874	m ɑ n	əʊ l d + m æ n		
1976	t ɑ ŋ	t ɔ ŋ z		ts a ŋ ə
352	eː r s t ə			eː r s t ə
1606	h øː p	h ɪ p		h ʏ f t ə
1479	oː p ə n ə	əʊ p ə n		œ f n ə n
249	oː ɣ + l ɪ t	aɪ + l ɪ d		au ɡ ə n + l iː t
-445		f æ m ə l ɪ		f a m iː l iː ə
1222	aː n + s t eː k ə			a n + ʃ t ɛ k ə n
2202	r ɑ m	r æ m		
1694	d r ʉ p ə l ə	d r ɪ p		t r ɔ pf ə n
1368	s x aː d yː w	ʃ æ d əʊ		ʃ a t ə n
1918	d oː r + s n ɛɪ d ə			ʃ n ai d ə n
2156	v ə r + k ɑu t + h ɛɪ t	k əʊ l d		ɛ r + k ɛ l t + ʊ ŋ
319	s t ɛ r v ə			ʃ t ɛ r b ə n
1586	w ɛ r k + t œy x			v ɛ r k + ts ɔy k
2086	x eː v ə	ɡ ɪ v		ɡ eː b ə n
1892	x ɪ f			ɡ ɪ f t
1181	m ʉ ts			m ʏ ts ə
-36	s uː p	s uː p		z ʊ p ə
2177	h oː f t	h ɛ d		h au p t
104	m ɑ n ə + l ə k			m ɛ n + l ɪ x
-1615	oː l iː	ɔ ɪ l		ɶː l
420	aː r d + b eː v ɪ ŋ			eː r t + b eː b ə n
159	h aː v ɪ k			h aː b ɪ x t
1343	k ɪ n t			k ɪ n t
860	m ɪ d ə	m ɪ d l̩		m ɪ t ə
125	v ɛ t	f æ t		f ɛ t
240	v ə r + k oː p ə			f ɛ r + k au f ə n
-2030		ʌ ŋ k l̩		ɔ ŋ k ə l
2245	t ɔ ŋ	t ʌ ŋ		ts ʊ ŋ ə
1546	s p yː ɣ ə	s p ɪ t		ʃ p ʊ k ə n
111	k ɪ n t			k ɪ n t
303	w ɛ r k	w ɜː k		
947	l eː v ə r	l ɪ v ə r		l eː b ə r
296	b œy ɣ ə			b ɔy ɡ ə n
2242	m ɔ n t	m aʊ ð		m ʊ n t
-1682	v ɑ l ɛɪ	v æ l ɪ		
877	w eː ɣ ə			v iː ɡ ə n
-1723		ɡ ɑː d n̩		ɡ aː r t ə n
1620	v ɪ n	f ɪ n		f ɪ n ə
1144	k aː l			k aː l
1553	h uː s t ə			h ʊ s t ə n
1439	z ɛ n d ə	s ɛ n d		
1669	b ɛ r x			b ɛ r k
166	v oː ɣ ə l			f oː ɡ ə l
274	d oː f	d ɛ f		t au p
1726	v ɛ l t	f iː l d		f ɛ l t
