COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a r ə l a																		
112-1	d ə m ə n a																		
331-1	n ɨ g u s																		
377-1	b u kʼ u l																		
381-1	ʔ a tː ə n																		
417-1	r u z																		
451-1	s ə w a t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ dː ɨ s																		
535-1	ʔ a sː ɨ r																		
543-1	s ə r b o t																		
593-1	ʔ a m ə s																		
640-1	m w ə n																		
1-1	d ə bː ə r ə																		
65-1	tʼ u b																		
212-1	ʔ ɨ n																		
244-1	ʔ a r b ə t																		
248-1	m u l a																		
293-1	f ə r ə z ə s																		
373-1	kʼ ɨ m a r																		
408-1	b ə r a																		
414-1	d ə bː a kʼ u lː o																		
601-1	r ə r b																		
642-1	n ə f a s																		
60-1	n ə fː ə s ə																		
115-1	l a nː																		
209-1	s ə m u t																		
242-1	ʔ a m ə s																		
415-1	z ɨ n a b																		
450-1	z ə r																		
490-1	tʼ ə bː u t																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g e m ə l a																	
112-2		d ə m ə n a																	
331-2		n ɨ g																	
377-2		b ə kʼ u l																	
381-2		ʔ a t d																	
417-2		r u z																	
451-2		s ə w a t																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ dː ɨ s																	
535-2		ʔ a s ɨ r																	
543-2		s e t																	
593-2		h a m ə s a																	
640-2		m a n																	
1-2		d ə m ə n a																	
65-2		tʼ u b																	
163-2		s ə tʃ e																	
212-2		ʔ a ɲ																	
244-2		tʼ a r b ə t																	
248-2		m u l a																	
293-2		f ə r ə z e																	
373-2		kʼ u m a r																	
408-2		b ə r a																	
414-2		d ə m a kʼ a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		l a m a																	
209-2		s u m a t																	
242-2		ʔ a m ə s																	
415-2		z ɨ n a m a																	
450-2		z ə																	
490-2		tʼ a m a																	
61-3			d ə m																
63-3			ʔ a t ɨ m																
107-3			g a m e																
112-3			d a n ə r a																
331-3			n ɨ g u s																
377-3			b ə kʼ u r																
381-3			ʔ a t e																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a n tʃʼ ɨ r																
484-3			s ɨ t ɨ s t																
535-3			ʔ a sː ɨ r																
543-3			s ə ʃ t																
593-3			ʔ a m w ə s																
640-3			m w ə n																
1-3			d ə p ə r ə m																
65-3			tʼ u b																
163-3			s ə tʃʼ ə																
212-3			ʔ ə n																
244-3			ʔ a r b ə t																
248-3			m w ə r a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b w ə r e																
414-3			tʼ ə b a kʼ u																
601-3			ʔ a r u b																
642-3			n ə f a s																
60-3			n ə f ə s ə m																
115-3			ʔ a n k a																
209-3			s ɨ mː u t																
242-3			ʔ a mː ɨ s																
415-3			z ɨ n a b																
450-3			z ə r																
490-3			tʼ ə p ə																
61-4				d ə m															
63-4				ʔ a tʼ e															
107-4				g ə m e															
112-4				d a n ə r ə															
331-4				n ə g u s															
377-4				b ə ʔ ə r u															
381-4				ʔ a t d															
417-4				r u z															
451-4				s ə b a t															
454-4				ʔ a tʃʼ ɨ r															
484-4				s ɨ tː u s															
535-4				ʔ a sː ɨ r															
543-4				s e s															
593-4				ʔ a m ə s															
640-4				m a n															
1-4				d ə b ə r ə															
65-4				tʼ u b															
163-4				s ə tʃʼ e															
408-4				b ə r a															
414-4				d u b a ʔ u															
601-4				ʔ a r ɨ o															
642-4				n ə f a s															
60-4				n ə f ə s ə															
115-4				l a n															
450-4				z ə r															
490-4				tʼ ə b a															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g a m e														
112-5					d a ə m ə r a														
331-5					n ɨ g w u s														
377-5					b ə kʼ u r														
381-5					ʔ a d														
417-5					r u z														
451-5					s ə b a t														
454-5					ʔ a tʃʼ ɨ r														
