COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	j̊ u n															
2181-1	n ă m															
2060-1	ʔ e m															
410-1	d ai̯															
1841-1	m n															
2017-1	h e															
1004-1	j̊ ɨ															
614-1	b ou̯ h															
686-1	b l e															
88-1	k a ʔ															
872-1	n ui̯ ŋ															
1891-1	d ɨ															
68-1	s ɨi̯ m															
631-1	b ɨ n															
594-1	g ɨ															
1759-1	h a n															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m o t															
2042-1	ʔ ə															
1968-1	d ă ʔ															
2000-1	e ɨ ŋ															
17-1	v ă t															
4-1	n ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ ɨ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	n ɨ m															
1652-1	c ɨ n															
576-1	ŋ ɔ															
1738-1	d ă k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă t															
957-1	n ă p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j ă m															
1796-1	c ɔ ŋ															
720-1	t ɨ h															
287-1	k ă p															
321-1	g o h															
206-1	d ou̯ ʔ															
1950-1	ʔ o															
665-1	n a n															
703-1	n ou̯ ʔ															
1290-1	m ai̯															
1391-1	k ă t															
269-1	g ă t															
855-1	c a n															
2078-1	s e															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p ɛ t															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ u ʔ														
2163-2		tɕʰ uː														
2181-2		n ə m														
2060-2		ʔ tɕʰ m														
410-2		d aːi̯														
1841-2		m ʔ														
2017-2		h ɔː														
1004-2		tɕʰ aː														
614-2		b o h														
686-2		b l i														
88-2		g ɔ k														
872-2		n ɨi̯.h ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b u														
594-2		k aː														
1759-2		h a n														
805-2		k ɔ n														
756-2		h ɨi̯.h k														
1201-2		m ɔ ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		tɕʰ aː ŋ														
17-2		v a d														
4-2		ʔ əː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		b tɕʰ tɕʰ ɔ ŋ														
