COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	ɨi̯ u n															
2181-1	n ă m															
2060-1	ʔ ɛ m															
410-1	ou̯															
1841-1	m ɛ															
2017-1	h ou̯															
1004-1	ɨi̯															
614-1	b ou̯ h															
686-1	b l ou̯															
88-1	k ɛ ʔ															
872-1	n ou̯ ŋ															
1891-1	ou̯ ɨi̯															
68-1	s ɨi̯ m															
631-1	b ɨ n															
594-1	g ɨi̯															
1759-1	h a n															
805-1	g ɨi̯ n															
756-1	h ou̯ k															
1201-1	m ɛ ʔ															
2042-1	ʔ d															
1968-1	ou̯ a ʔ															
2000-1	d ŋ															
17-1	v ɛ ɨ															
4-1	ə m															
788-1	ou̯ ou̯															
1219-1	h ɨi̯ m															
141-1	ʔ d ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	d m															
1652-1	ɨi̯ n															
576-1	ŋ ɔ															
1738-1	ou̯ ă k															
442-1	h ui̯ m															
368-1	ɛ j a ŋ															
1778-1	p ɛ ɨ															
957-1	n au̯ p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j a m															
1796-1	ɔ ŋ															
720-1	ou̯ ɨi̯ h															
287-1	k ă p															
321-1	g ɛ h															
206-1	ou̯ ou̯ ʔ															
1950-1	ʔ ɛ															
665-1	a n															
703-1	n ou̯ ʔ															
1290-1	m ɛ															
1391-1	k ă ɛ															
269-1	g au̯ ɛ															
855-1	a n															
2078-1	s ɛ															
2213-1	m ui̯															
1858-1	s a															
1151-1	g j a n															
737-1	p ɛ ou̯															
340-1	s au̯															
1111-1	s ui̯															
485-1	ŋ ɨ															
1356-1	m u h															
1093-1	d d ŋ															
1063-1	ɛ ɛ m															
648-1	d n															
223-1	g ɔ n															
1248-1	ɛ															
1509-1	ui̯ ɨ n															
504-1	o h															
2130-1	s ɛ															
1-1	ʔ ou̯															
386-1	ou̯ ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g l ɨ															
1323-1	ɛ															
1859-2		ŋ ɨi̯.h														
175-2		k a														
241-2		ʔ ɨi̯.h ʔ														
2163-2		ɨi̯.h ʔ n														
2181-2		n ə m														
2060-2		ʔ ɨi̯.h m														
