COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a m ə l a																		
112-1	d a b ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ u r																		
381-1	ʔ a d																		
417-1	r u z																		
451-1	s ə b a t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ ʔ ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s o s t																		
593-1	ʔ a m u s																		
640-1	m ə n																		
1-1	d ə bː ə r ə																		
65-1	tʼ u b																		
212-1	ʔ ɨ n																		
244-1	ʔ a r b ə t																		
248-1	m u l a																		
293-1	f ə r ə z																		
373-1	kʼ ɨ m a l																		
408-1	b o r a																		
414-1	d ə b a kʼ u lː a																		
601-1	ʔ ə r o b																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	ʔ ə m a																		
209-1	s ɨ m u t																		
242-1	ʔ a m ɨ s t																		
415-1	z ɨ r a b																		
450-1	z ə r																		
490-1	tʼː ə bː ə																		
638-1	s ɨ n ɨ																		
645-1	kʼ a l																		
160-1	d ə r ə kʼ																		
208-1	ʔ ɨ n kʼ u																		
214-1	ʔ a b																		
378-1	ʔ a n g ə t																		
379-1	b ə tʼː ə																		
409-1	g ə t ə r ə																		
598-1	k ə ɨ t																		
646-1	ʔ a k ə																		
210-1	j ə k ə ə r																		
215-1	ʔ a tʼ ɨ b ə t																		
285-1	m ɨ d a d																		
332-1	ʔ ə g ɨ r																		
380-1	ʔ a k u																		
412-1	s a h ɨ n																		
64-1	d a bː o																		
67-1	b ɨ r																		
251-1	f ɨ kʼ																		
294-1	m u kʼ kʼ																		
597-1	ʔ ɨ m ə n ə																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g a m ə l a																	
112-2		d a b ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ u ə																	
381-2		ʔ a d																	
417-2		r u z																	
451-2		s ə b a t																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ tʼː ɨ s t																	
535-2		ʔ a s ɨ r																	
543-2		s o s t																	
593-2		x a m u s																	
640-2		m a n																	
1-2		d ə b ə r ə																	
65-2		tʼ u b																	
163-2		s ə tʃ ə																	
212-2		ʔ ɨ n																	
244-2		ʔ a r b ə																	
248-2		m u l a																	
293-2		f ə r ə z																	
373-2		kʼ ɨ m a l																	
408-2		b o r a																	
414-2		d ə b a kʼ u jː a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		l a m a																	
209-2		s ɨ m u t																	
242-2		ʔ a m ɨ s t																	
415-2		z ɨ n a m																	
450-2		z ə r																	
490-2		tʼ ə b ə																	
645-2		kʼ a l																	
160-2		tʼ ə r ə kʼ																	
208-2		ʔ ɨ n kʼ u kʼ																	
378-2		ʔ a n g ə t																	
379-2		b ə tʼ ə																	
409-2		g ə t ə r																	
598-2		k u ə ʔ ə																	
646-2		ʔ a k ə																	
210-2		j ə k ə ə																	
215-2		ʔ a tʼ ɨ β ə t																	
285-2		m ɨ tʼ a d																	
380-2		ʔ a k u a																	
412-2		s a k ɨ n																	
496-2		m u r b ə n ə																	
64-2		d a b o																	
251-2		f ɨ kʼ																	
294-2		m u kʼ kʼ																	
597-2		ʔ ə n g ə d ə																	
7-2		ʔ a l g a																	
158-2		kʼ ə m ɨ s																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m e r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ə kʼ u r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ tʼ ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m a a																
1-3			d ə p ə r ə m																
65-3			tʼ u b																
