COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ ʔ															
2163-1	kʰ n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	ʔ kʰ															
1841-1	m s															
2017-1	h															
1004-1	r ʔ															
614-1	p h h															
686-1	p h															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	ʔ ʔ															
68-1	s ɨ m															
631-1	p ə̆															
594-1	g ʔ															
1759-1	h a n															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m ə t															
2042-1	ʔ j															
1968-1	ʔ a ʔ															
2000-1	r ŋ															
17-1	n a t															
4-1	ə m															
788-1	ɛ															
1219-1	h ɨ m															
141-1	ʔ ŋ															
541-1	p r j a ŋ															
1687-1	h n															
123-1	m															
1652-1	t ɨ n															
576-1	ŋ a															
1738-1	a k															
442-1	h kʰ m															
368-1	ʔ j a ŋ															
1778-1	p a t															
957-1	n a p															
1704-1	ʔ ɨ ʔ															
304-1	j a m															
1796-1	t a ŋ															
720-1	t s h															
287-1	k j p															
321-1	g ə ʔ															
206-1	ʔ ʔ															
1950-1	ʔ ə															
665-1	t n															
703-1	n h ʔ															
1290-1	m kʰ															
1391-1	k ə ʔ															
269-1	g ə ʔ															
855-1	t n															
2078-1	s ə															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r ɛ															
340-1	s															
1111-1	s ɛ															
485-1	ŋ h															
1356-1	m u h															
1093-1	t ə ŋ															
1063-1	ə m															
648-1	t ə ɲ															
223-1	g p n															
1248-1	t ɨ															
1509-1	t ə n															
504-1	t ə h															
2130-1	s ə															
1-1	ʔ ɨ															
386-1	ɨ ʔ															
1411-1	ʔ															
1027-1	g a ʔ															
1459-1	g h kʰ															
1323-1	r ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ r h															
1476-1	ʔ a h															
1923-1	n ɨ															
105-1	n a ŋ															
1431-1	ʔ ɛ															
1814-1	m a ɲ															
1183-1	n ə n															
1430-1	ʔ ɛ															
1721-1	ʔ a ʔ															
1617-1	p h ʔ															
1564-1	b ɛ ʔ															
2111-1	h ɨ															
1563-1	s a															
1597-1	s a ŋ															
1859-2		ŋ ə														
175-2		k a														
