COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a n a a a									
1285-1	n w a a									
1303-1	n g ɔ m a									
2197-1	s a a l a									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	i n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	a i m a a									
4249-1	k u m i									
4451-1	β i s i									
448-1	a ʊ a a n a									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ a m b ɛ									
1216-1	g a β i l a									
1228-1	β w a a									
1418-1	s i m a a a a									
1475-1	g w a									
2026-1	t w i a									
2775-1	β u a m b a									
3397-1	β ɔ l a									
3826-1	s ɔ k a									
4003-1	i i i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s u a u l a									
116-1	f i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ n g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	n a									
1350-1	l j a a									
1374-1	n i a a n a									
1396-1	z ɔ β a									
1430-1	i ɔ s ɔ									
1666-1	t a a n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i n g i l a									
2177-1	n g a a i									
2286-1	l a									
2317-1	β ʊ β a									
2419-1	s ɛ k a									
2750-1	ɛ ɛ s i									
3018-1	s i l a									
3275-1	k a a n a									
3441-1	s a a ŋ g a									
3464-1	β ɔ n a									
3639-1	t ɛ t ɛ m a l a									
3885-1	s u m ɔ									
3981-1	i i m a a a									
4192-1	β i a m b a									
4260-1	s w a a									
4350-1	l ɛ ɛ l a ɔ									
43-1	ɔ i ɔ m a									
93-1	k ɔ n ɔ									
200-1	β i a									
374-1	a a a l w a a									
459-1	l u m a									
508-1	p ɔ a a									
528-1	β i l i									
575-1	t a a									
871-1	k a m a									
2689-2		n a m a								
893-2		a a n d l a								
1303-2		n k o m a								
2197-2		s w a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a g a								
3207-2		v u l a								
3519-2		t u m a								
3686-2		t i m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		m u a a n i								
630-2		w e e l e								
814-2		ɲ o o m b e								
1216-2		g a v i l a								
1228-2		p w a a								
1418-2		s i m a o l a								
1475-2		k w a								
2026-2		t w i a								
3826-2		s o k a								
4003-2		s i o v a								
4373-2		l i m i								
4384-2		i n o								
84-2		s u g u l u								
116-2		s i k a								
419-2		l o g a								
587-2		o o n g o								
660-2		l e l a								
848-2		k a l a								
1122-2		v i n a								
1159-2		n a								
1350-2		l j a a								
1374-2		n a a a n a								
1906-2		i n g i l a								
2419-2		s e k a								
2750-2		e s i								
3441-2		s e e n g a								
3464-2		v o n a								
3639-2		t e t e m b l a								
3981-2		i a m a l a								
4192-2		v i i m b a								
4350-2		l e e l o o								
278-2		v a								
3971-2		k a m a								
55-2		s a m a								
43-2		s a a m a								
93-2		k o n o								
459-2		l u m a								
2689-3			n a m a							
893-3			a a n a l a							
1285-3			n w a a							
1303-3			n k o m a							
2197-3			s l a l a							
2828-3			l i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			u n e							
1789-3			k a l a a n g a							
3207-3			β u l a							
3519-3			k u m a							
3686-3			s i m b a							
4249-3			k u m i							
4451-3			β i x i							
448-3			l o a a n i							
630-3			β e e l e							
1216-3			k a β a l a							
1228-3			f w a a							
1418-3			s i m a a l a							
1475-3			k w a							
3397-3			β o l a							
4003-3			s i a β a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i n o							
181-3			k o o n k o							
419-3			l o k a							
587-3			o a n k o							
660-3			l e l a							
1083-3			l i l a							
1350-3			l j a a							
1374-3			n tʰ a a n e							
1396-3			s o f u							
1666-3			r a a n o							
1767-3			k o k o							
1906-3			i n k i l a							
2177-3			ŋ k a l i							
2286-3			l a							
2317-3			β u β a							
2750-3			e e s i							
3275-3			k a a n a							
3464-3			β o n a							
3639-3			u r a m a l a							
3981-3			i i m a l a							
4192-3			β i m dʒ a							
4260-3			s w a a							
4350-3			l e e l o o							
278-3			β a							
745-3			x a x o							
3971-3			x a m a							
93-3			k o n o							
200-3			β i a							
