COGID	dutch	english	french	german
1469-1	z aː n t			
2047-1	z ɔ n ə j			
2054-1	d ɔ n ə r			
1375-1	l ɛ + k ə ts			
760-1	w ɪ n t			
756-1	s n eː j			
726-1	m uː d ə r			
1351-1	x r ɑu + ɑ d ə r			
1353-1	x r s + m uː d ə r			
412-1	z w eː ɣ ə z ɑ d ɔ r t			
406-1	z w eː ɣ ə z + m uː d ɔ r t			
1005-1	s t iː f ɑ d ə r			
1012-1	s t iː f + m uː d ə r			
1016-1	w ɪ d w ə j r ə ə t			
1069-1	ə ɪ k			
509-1	v ʉ l ə			
693-1	m aː l ə + t d iː z			
2179-1	n ɛ s t			
1753-1	v ɛ s x			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r			
2241-1	n ɑ z			
2244-1	l ɛ p t ə			
610-1	k ɑ n iː			
945-1	h ɛ r t			
1534-1	l aː k			
384-1	z oː k			
1650-1	n ə s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛɪ j ə			
1385-1	z aː ə ə			
792-1	p ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l ə			
1230-1	r ɛ t ə ə j			
2017-1	n ɑu j ə			
968-1	w ɛ j ə l t			
1674-1	l aː n t			
1671-1	h øː ɣ l			
829-1	k l ɛ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	oː ts eː j aː n			
-335-1	l aː ɣ ɔ n			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ʉ r m			
2065-1	r n + b oː x ə			
1368-1	s x aː d ə			
1365-1	d ɑu w			
754-1	r aː			
768-1	w ɛ d ə r			
1211-1	v œy r			
106-1	m aː n			
-98-1	b eː v iː			
719-1	v ɑ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n aː f ə			
409-1	z w eː ɣ ə z + z oː n ə			
402-1	z w eː ɣ ə z + d ɔ x t ɔ z t			
1014-1	s t iː f + d ɔ x t ə z			
1059-1	w eː r			
120-1	s t ɑ l			
2183-1	s t iː r ə			
2194-1	ɔ k t			
2199-1	k eː l p			
2197-1	s x aː f			
1523-1	z ɑu w			
1521-1	b ɔ x			
512-1	m eː r			
2141-1	h ɔ n			
2147-1	x eː n s			
814-1	k r aː j ə			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m			
1760-1	r ɛɪ t			
1620-1	v ɛ n			
1282-1	w aː l ə ə t			
1136-1	v ʉ k s			
1309-1	l			
1307-1	n ɛ t			
1305-1	v l oː			
711-1	w ɛ s p			
1442-1	v l iː ɣ			
62-1	m ʉ x			
-73-1	m ɔ t k iː t oː			
1810-1	h oː t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ɛ p			
2177-1	h oː p ts			
246-1	v ɑu w ɣ n + b z uː j			
249-1	oː n + l iː t			
1506-1	n ɑ s aː n + ə l ɔ k t ə			
2242-1	m ɔ n ts			
2245-1	t ɔ ŋ			
1196-1	n ɑ k			
2174-1	s x ʉ l d ə r			
575-1	aː k t ə l + h aː			
603-1	l ɔ n + b oː x ə			
601-1	h aː n t			
615-1	v ɪ ŋ ə r			
901-1	k l uː j			
608-1	v uː s			
596-1	t eː j ə			
937-1	b ɔ r s t			
936-1	n ɑ v ə l			
646-1	l ɔ ŋ			
947-1	l aː v ə r			
1606-1	h ʉ f t			
472-1	n iː z ə			
1535-1	z w ɛ t ə			
1546-1	s m ʉ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r k ə			
1961-1	d r œy m ə			
323-1	ə l aː v ə			
