COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	ə ʔ															
1841-1	m															
2017-1	h															
1004-1	ɨ															
614-1	b r h															
686-1	b ɨ t															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	ə ɨ															
68-1	s kʰ m															
631-1	b ə n															
594-1	g ɨ															
1759-1	h a n															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m j ʔ															
2042-1	ʔ a															
1968-1	ə a ʔ															
2000-1	t ŋ															
17-1	kʰ a ʔ															
4-1	t ə m															
788-1	ə ɛ															
1219-1	h kʰ m															
141-1	ʔ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	t m															
1652-1	t ɨ n															
576-1	ŋ ɔ															
1738-1	ə a k															
442-1	h j m															
368-1	ə j a ŋ															
1778-1	p ɨ ʔ															
957-1	n a ʔ															
1704-1	ʔ ʔ															
304-1	j a m															
1796-1	t a ŋ															
720-1	t kʰ h															
287-1	k ə̆ p															
321-1	g ə h															
206-1	j ʔ															
1950-1	ʔ b															
665-1	t t n															
703-1	n j ʔ															
1290-1	m p															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	t a n															
2078-1	s ə															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a															
737-1	p ɨ t															
340-1	ʔ a															
1111-1	s ɛ															
485-1	ŋ kʰ															
1356-1	m u h															
1093-1	t j ŋ															
1063-1	ə ɔ m															
648-1	t ə̆ ɲ															
223-1	g ɔ n															
1248-1	t ʔ															
1509-1	t a ɲ															
504-1	t ə h															
2130-1	s ə															
1-1	ʔ ə															
386-1	j ɨ ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g ɨ kʰ															
1323-1	ə															
1538-1	r j a h															
975-1	ə a h															
940-1	ŋ a h															
1476-1	ʔ ɨ h															
1923-1	n ɨ															
105-1	ə a ŋ															
1431-1	ʔ ə															
1814-1	m a ɲ															
1183-1	n ɔ n															
1430-1	t u															
1721-1	ʔ ɔ ʔ															
1617-1	b ɲ ʔ															
1564-1	b ɔ ʔ															
2111-1	ɨ															
1563-1	s a															
