COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʰ a ŋ							
37-1	n a ŋ							
46-1	n a ŋ							
98-1	tʰ a ŋ d i ŋ a							
125-1	b a l a ŋ i a							
162-1	n a m s i							
171-1	kʰ a ŋ a							
219-1	tʃ a ŋ p u							
247-1	tʰ a ŋ l i							
282-1	n a ŋ p u							
292-1	kʰ a ŋ							
301-1	l a							
354-1	n a m t̪ u i							
363-1	n a m p u							
397-1	kʰ a ŋ p i							
406-1	kʰ a m i ŋ							
426-1	n a k p a							
473-1	b a ŋ k a ŋ							
499-1	z a m i ŋ							
526-1	kʰ a ŋ p a							
544-1	g a							
553-1	g a tʃ i ŋ							
599-1	g a ŋ p a ŋ							
608-1	b a ŋ p a							
617-1	a a ŋ							
645-1	a ŋ a							
663-1	s a ŋ p a ŋ							
672-1	tʃ a ŋ p a							
681-1	n u l i							
690-1	l a ŋ							
708-1	d̪ a l i ŋ p u							
717-1	tʃ o k p u							
726-1	s a							
744-1	a g a							
782-1	l a							
791-1	ŋ a							
800-1	ŋ a							
809-1	n a m ɲ a ŋ							
836-1	b s i							
881-1	l a ŋ							
890-1	n a ŋ a							
899-1	s a a							
926-1	g a ŋ							
944-1	g a ɲ a ŋ							
953-1	ʃ a ɲ a ŋ							
980-1	n a ɲ a ŋ							
998-1	b a tʃ i							
1022-1	kʰ ɲ a b i ŋ							
1031-1	b a n a ŋ e ŋ a							
1069-1	d̪ a l a ŋ k a ŋ u							
1079-1	n i ŋ k a ŋ a							
1098-1	n a ŋ p u l							
1117-1	tʰ a ŋ							
1141-1	n a ŋ p u							
1189-1	l a ŋ							
1198-1	n u tʃ a							
1208-1	n a l i l o							
1217-1	n a ɲ i k e							
1253-1	a m a							
1271-1	n a ŋ a ŋ							
1289-1	l a ŋ							
1316-1	l a ŋ							
1325-1	kʰ a ŋ							
1334-1	s i ŋ p a							
1343-1	b i a n a ŋ							
1361-1	n a n a ŋ a ŋ							
1370-1	n a ɲ u ŋ							
1388-1	n a ŋ p a							
1397-1	tʰ a ŋ							
1406-1	tʰ a ŋ							
1424-1	g a ɾ a ŋ b a k i ŋ m							
1433-1	s u g u							
1442-1	l a ŋ							
1451-1	b a tʃ i ŋ							
1468-1	tʃ a k p a							
1477-1	n a ŋ							
1502-1	n a m p u							
1511-1	n a tʃʰ i l a ŋ p a							
1529-1	tʰ a l a							
1538-1	s u l i							
1557-1	tʃ a ŋ p a ŋ							
1618-1	a ŋ tʃ a							
1663-1	z u ŋ							
1689-1	ɾ a a							
1698-1	g a ŋ							
1707-1	n a ŋ ŋ i ŋ							
1716-1	n a m tʃ a ŋ							
1742-1	n u tʃ a							
1751-1	b a ɲ a ŋ a							
1778-1	s a							
1787-1	tʃ a ŋ p a							
1823-1	l a ŋ							
1832-1	kʰ a ŋ m a							
1842-1	l a ŋ							
1860-1	n a m tʃ a							
1869-1	z a p k a ŋ							
1888-1	ŋ a m p i							
1897-1	s a							
1932-1	n a n a ŋ a k l a							
1950-1	s a							
1968-1	tʃ a ŋ p a k a a							
1978-1	tʃ a t p a							
1987-1	s a ŋ							
2015-1	n a m l a a							
2118-1	n a ŋ t̪ a k a ŋ a a							
2238-1	n a m k a							
2507-1	tʰ a ŋ a ŋ							
2526-1	l a							
2535-1	s s a							
2544-1	s a ŋ							
2560-1	s a ŋ ɲ i b i ŋ							
2569-1	g a a p i ŋ							
2578-1	n a tʃ i ŋ							
2596-1	tʰ a ŋ							
2615-1	ɾ a							
2663-1	b i b i a							
2690-1	s i							
2719-1	n a tʃ i							
2728-1	b u tʃ i ŋ							
2747-1	n a ŋ tʃ a							
2756-1	s a ŋ p u							
10-2		tʰ a ŋ						
37-2		n a ŋ						
46-2		n a ŋ						
98-2		kʰ a ŋ tʃ i ŋ a						
125-2		b a j u ŋ a a						
162-2		n a a d i						
171-2		dʒ a ŋ b a						
219-2		tʃʰ a ŋ p u						
247-2		tʃʰ a ŋ l u ŋ						
282-2		n a ŋ p u						
292-2		kʰ a ŋ						
301-2		l a						
354-2		n a m t i tʃ i						
363-2		n a m b u						
397-2		kʰ a ŋ d i						
406-2		kʰ a r i						
426-2		n a k p a						
473-2		kʰ a ŋ tʃ a ŋ						
499-2		z a m i ŋ						
526-2		g a ŋ a						
544-2		kʰ a						
553-2		g o tʃ i ŋ						
599-2		g a i tʃ a ŋ						
608-2		kʰ a ŋ p u						
617-2		r a ŋ						
645-2		a ŋ a						
663-2		s o ŋ p a ŋ						
672-2		tʰ a ŋ p a						
681-2		n a ŋ i						
690-2		ŋ i ŋ						
708-2		d̪ a l i ŋ p u						
717-2		d a k p u						
726-2		s a						
744-2		a g a						
782-2		l a						
791-2		ɾ a						
800-2		ɾ a						
809-2		n a m n i ŋ						
836-2		b g tʃ i						
881-2		ŋ a m						
890-2		n a m a						
899-2		s a m						
926-2		tʃʰ a ŋ						
944-2		g a l a ŋ						
953-2		ʃ g i r a ŋ						
980-2		n a l a ŋ						
998-2		b o tʃ i						
1022-2		pʰ a a tʃʰ a ŋ						
1031-2		b a n a ŋ u u k						
1069-2		d̪ a j a n t u o						
1079-2		n i n dʒ i a a						
1098-2		n a ŋ b u						
1117-2		tʰ u ŋ						
1141-2		n a ŋ p u						
1189-2		ŋ a ŋ						
1198-2		n a tʃ						
1208-2		n a l a						
1217-2		n a n i b u k						
1253-2		a m a						
1271-2		n a ɲ i ŋ						
1289-2		ŋ i ŋ						
1316-2		n a ŋ						
1325-2		kʰ a ŋ						
1334-2		s a ŋ p a						
1343-2		b e i n i ŋ						
1361-2		n a l i ŋ u						
1370-2		n a ɾ a ŋ						
1388-2		n a ŋ p a						
1397-2		tʰ a ŋ						
1406-2		tʰ o ŋ						
1424-2		g a ɾ a ŋ b u t i u						
1433-2		z u g u						
1442-2		ŋ a m						
1451-2		b a tʃ a m						
1468-2		g a k p a						
1477-2		n a ŋ						
1502-2		n a m p u						
1511-2		n a a i ɾ a ŋ b a						
1529-2		tʰ a l u						
1538-2		z u l u						
1557-2		tʃ a ŋ tʃ a ŋ						
1618-2		a ŋ tʃ a						
1663-2		z u m						
1689-2		ŋ a i						
1698-2		kʰ u ŋ						
1707-2		n a ŋ n a ŋ						
1716-2		n a m tʃʰ u						
1742-2		n u g i						
1751-2		b a tʃ a ŋ a						
1778-2		ʃ a						
1787-2		tʃʰ a ŋ p u						
1823-2		ŋ a m						
1832-2		g a ŋ m a						
1842-2		r u ŋ						
1860-2		n a m tʃʰ						
1869-2		n a p tʃ i ŋ						
1888-2		z a ŋ p a						
1897-2		ʃ a						
1932-2		n a n a ŋ z u t a u						
1950-2		s u						
1968-2		d a ŋ tʃ a u u o						
1978-2		d a k p u						
1987-2		s a ŋ						
2015-2		n a m ʃ i						
2118-2		n a n a t a ŋ a						
2238-2		n a m tʃ a						
2507-2		tʰ a ŋ i ŋ						
2526-2		l a						
2535-2		n a k						
2544-2		s i ŋ						
2560-2		s a ŋ n i tʃʰ i ŋ						
2569-2		g a a d u ŋ						
2578-2		n a tʃ i ŋ						
2596-2		tʰ u ŋ						
2615-2		ɾ i						
2663-2		p a b i						
2690-2		s a ɾ u						
2719-2		ɾ o tʃ i						
2728-2		b e tʃ i ŋ						
2747-2		n a ŋ a						
2756-2		s a ŋ p u						
10-3			dʒ a ŋ					
37-3			l a ŋ					
46-3			l a ŋ					
98-3			tʃ a ŋ tʃ u ŋ a					
125-3			b a a a ŋ i a					
162-3			l a o s i					
171-3			kʰ a m b a					
219-3			dʒ a ŋ p u					
247-3			dʒ a ŋ l u					
282-3			l a ŋ p u					
292-3			g a ŋ					
301-3			l a					
354-3			z a m b u tʃ a					
363-3			z a m b u					
397-3			g a m b i					
406-3			kʰ a ŋ a					
426-3			z o k p a					
473-3			b i ŋ tʃ u ŋ					
499-3			z a m i ŋ					
526-3			g a ŋ p a					
544-3			kʰ a					
553-3			g o tʃ a ŋ					
599-3			g a i p a ŋ					
608-3			b a ŋ b a					
617-3			l a ŋ					
645-3			a s a					
663-3			z o ŋ p u ŋ					
672-3			g a ŋ p a					
681-3			l i ɾ i					
690-3			l a ŋ					
708-3			dʒ a ŋ l i ŋ b u					
717-3			g o k p u					
726-3			s a					
744-3			a g a					
782-3			l a					
791-3			ɾ a					
800-3			ɾ a					
809-3			z a m ɲ i ŋ					
836-3			b k s i					
881-3			l a ŋ					
890-3			ɾ a a a					
899-3			s a a					
926-3			dʒ a ŋ					
944-3			g a ɾ a ŋ					
953-3			z j a ɾ a ŋ					
980-3			l a ŋ a ŋ					
998-3			b a tʃ i					
1022-3			pʰ a a k i ŋ					
1031-3			b a ɾ i ŋ b a ŋ a					
1069-3			tʃ a j a ŋ b a a					
1079-3			z a ŋ ŋ a w a					
1098-3			l a ŋ b u l a					
1117-3			b a ŋ					
1141-3			l i ŋ p u					
1189-3			l a ŋ					
1198-3			n u tʃ					
1208-3			z a l u					
1217-3			l a ŋ i p					
1253-3			a ɾ a					
1271-3			n o ɾ a ŋ					
1289-3			l a ŋ					
1316-3			l a ŋ					
1325-3			kʰ a ŋ					
1334-3			s i ŋ b a					
1343-3			b u i n a ŋ					
1361-3			j a ŋ i ŋ					
1370-3			n a u ŋ					
1388-3			z a ŋ b a					
1397-3			tʰ a a					
1406-3			g a ŋ					
1424-3			g a ɾ a ŋ b a t a ŋ					
1433-3			ʃ o g u					
1442-3			l a ŋ					
1451-3			b a tʃ a ŋ					
1468-3			g a k p a					
1477-3			s a ŋ					
1502-3			ŋ a m b u					
1511-3			n a a a ɾ i ŋ p a					
1529-3			b a l a					
1538-3			z o ɾ u					
1557-3			tʃ a i p u ŋ					
1618-3			i ŋ tʃ a					
1663-3			z a m					
1689-3			ɾ a a					
1698-3			g a ŋ					
1707-3			s a ŋ ɲ i ŋ					
1716-3			ŋ a m b					
1742-3			n u g a					
1751-3			b u tʃ i ŋ a					
1778-3			s a					
1787-3			d a ŋ p u					
1823-3			l a ŋ					
1832-3			g a ŋ ŋ a					
1842-3			ɾ a ŋ					
1860-3			ŋ a m b					
1869-3			z i k b a ŋ					
1888-3			z a m b u					
1897-3			s kʰ a					
1932-3			n a ɾ i ŋ z a dʒ a					
1950-3			s a					
1968-3			tʃ a ŋ tʃ a k u					
1978-3			g a k p u					
1987-3			z a ŋ					
2015-3			ŋ a ŋ b u					
2118-3			n a ŋ ŋ a u a o					
2238-3			ŋ a ŋ p u					
2507-3			tʰ a ŋ i ŋ					
2526-3			l a					
2535-3			z kʰ a					
2544-3			s a ŋ					
2560-3			s a ŋ n i tʰ i ŋ					
2569-3			kʰ a a p u ŋ					
2578-3			n a tʃ i ŋ					
2596-3			g a ŋ					
2615-3			ɾ a					
2663-3			b i tʃ i					
2690-3			s o u					
2719-3			ɾ a tʃ i					
2728-3			b o tʃ i ŋ					
2747-3			n a ŋ tʃ u					
2756-3			s a ŋ b u					
10-4				g u ŋ				
37-4				n i ŋ				
