ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	Duhumbi	ɹ	ɹ -	2
2	Khispi	l u	l u	2
3	Rahung	r yː	r yː	2
4	Duhumbi	ɹ	ɹ	3
5	Khispi	l	l	3
6	Jerigaon	a	a	10
7	Khoina	a	a	10
8	Khoitam	a	a	10
9	Rahung	a	a	10
10	Rupa	a	a	10
11	Shergaon	a	a	10
12	Khoina	ʂ ə	ʂ ə	11
13	Rahung	s u	s u	11
14	Rupa	s ə	s ə	11
15	Shergaon	s u	s u	11
16	Khoina	l u ŋ	l u ŋ	12
17	Rahung	l u ŋ	l u ŋ	12
18	Rupa	l u ŋ	l u ŋ	12
19	Shergaon	l u ŋ	l u ŋ	12
20	Khoitam	tɕʰ ə	tɕʰ ə	14
21	Rahung	tɕʰ ə	tɕʰ ə	14
22	Khoina	d ə	d ə	16
23	Rupa	n ə	n ə	16
24	Shergaon	d ə	d ə	16
25	Jerigaon	tɕ ĩː	tɕ ĩː	17
26	Khoina	tɕ ĩː	tɕ ĩː	17
27	Rupa	tɕ ĩː	tɕ ĩː	17
28	Khoina	d ə	d ə	19
29	Rupa	d ə	d ə	19
30	Jerigaon	kʰ	kʰ - -	21
31	Khispi	kʰ u s	kʰ u s	21
32	Khoina	g ə	g ə -	21
33	Rupa	g ə	g ə -	21
34	Shergaon	k a	k a -	21
35	Jerigaon	t a m	t a m	23
36	Khispi	t a m	t a m	23
37	Khoina	t a m	t a m	23
38	Rupa	t a m	t a m	23
39	Shergaon	t a m	t a m	23
40	Jerigaon	n ɔ̃ː	n ɔ̃ː -	24
41	Khoina	n ɔ̃ː	n ɔ̃ː -	24
42	Rahung	n ũː ŋ	n ũː ŋ	24
43	Rupa	n ũː	n ũː -	24
44	Shergaon	n ɔ̃ː	n ɔ̃ː -	24
45	Jerigaon	kʰ u	kʰ u	25
46	Khoina	kʰ u	kʰ u	25
47	Rahung	kʰ u	kʰ u	25
48	Rupa	kʰ u	kʰ u	25
49	Shergaon	kʰ u	kʰ u	25
50	Khoina	g ə	g ə -	27
51	Khoitam	kʰ a	kʰ a -	27
52	Rahung	kʰ a ŋ	kʰ a ŋ	27
53	Rupa	kʰ a ŋ	kʰ a ŋ	27
54	Duhumbi	p a	p a	28
55	Khispi	p a	p a	28
56	Rahung	p a	p a	28
57	Shergaon	p uː	p uː	28
58	Khoina	dʑ ə	dʑ ə	29
59	Rupa	dʑ ə	dʑ ə	29
60	Shergaon	dʑ ɔ	dʑ ɔ	29
61	Duhumbi	m ɔ n	m ɔ n	30
62	Khispi	m ɔ n	m ɔ n	30
63	Khoina	m ɐ̃ː	m ɐ̃ː -	30
64	Rahung	m ɔ n	m ɔ n	30
65	Rupa	m ɔ̃ː	m ɔ̃ː -	30
66	Shergaon	m ɔ̃ː	m ɔ̃ː -	30
67	Duhumbi	ɕ u	ɕ u	31
68	Jerigaon	tɕʰ o	tɕʰ o	31
69	Khispi	ɕ u	ɕ u	31
70	Khoina	tsʰ ɔː	tsʰ ɔː	31
71	Rahung	tɕʰ oː	tɕʰ oː	31
72	Duhumbi	p a	p a	32
73	Jerigaon	dʑ i	dʑ i	32
74	Khispi	p a	p a	32
75	Khoina	dʑ i	dʑ i	32
76	Rahung	dʑ i	dʑ i	32
77	Shergaon	p u	p u	32
78	Duhumbi	t a ŋ	t a ŋ	35
79	Khispi	t a ŋ	t a ŋ	35
