COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d a r															
1089-1	n a r a															
1319-1	n ɔ															
1398-1	s a m o n ɔ															
1557-1	k a r ɔ															
1626-1	a a w a															
1840-1	t a r ɔ															
2247-1	k a m															
4677-1	k a r ɔ a															
5162-1	s a n r ɔ															
5406-1	t a n ɔ															
359-1	b a r u m															
1577-1	k a r ɔ															
2196-1	s a r u															
2230-1	s a a															
2533-1	b a r d a															
3605-1	b a r d a															
3866-1	k a s ɔ															
4553-1	t a r b b o															
4822-1	k a m b ɔ															
5254-1	k a r a															
503-1	k a r ɔ j															
1356-1	s a a ɔ															
1881-1	s a m u j m															
3218-1	b u n z u															
3372-1	s ɔ w ɔ															
3718-1	k a r u															
4135-1	b a r ɔ j															
4694-1	b a s b ɔ															
807-1	k a m b u															
2320-1	k a r a															
2476-1	k ɔ s															
3719-1	n o															
4081-1	t ɔ m b b a															
4313-1	s a n i															
4460-1	s ɔ r a															
5810-1	b a n r ɔ															
93-1	k a															
260-1	b a n r a															
385-1	z a m b a m															
890-1	b a m b a r u															
1336-1	k a s a															
1703-1	b ɔ m															
1769-1	b a r d a															
2162-1	b a r u															
2635-1	s a															
3031-1	t a s a															
4591-1	k ɔ r a															
5301-1	b a r u															
5605-1	t a r a j															
463-1	t a r b a															
1432-1	t a r u															
1474-1	t a n b u															
1788-1	s e z u															
2044-1	t a r b a															
2713-1	t a m dʒ ɛ n b a r a															
3219-1	d u m u															
3425-1	ɔ ɔ															
4184-1	s a j															
4629-1	s a m d i															
4759-1	n a ɔ a															
4904-1	s k a r b a															
4960-1	k a r a s a															
4980-1	t i n u															
5059-1	k i r i															
5339-1	k ɔ s a															
5549-1	t a r b a															
5905-1	z a r ɔ															
5922-1	b a a a															
5938-1	t ɔ n ɔ n u u ɔ															
1-1	k a															
483-1	k ɔ s ɔ															
629-1	t i u															
667-1	a r a															
1254-1	t i m b i r e															
1415-1	m m u															
1542-1	s n a r															
1683-1	k ɔ r ɔ															
1898-1	b i r u j															
2901-1	t a r d a															
2957-1	n a n o															
3048-1	k ɔ n a															
3251-1	z a r a															
3885-1	b a r u															
4402-1	r ɔ															
5622-1	b a r i r a a															
6006-1	k aː n o															
135-1	t a n d u															
158-1	m k a s u															
194-1	k u j															
221-1	a s u															
650-1	k ɔ s ɔ															
1152-1	t ɔ r a															
1374-1	k a r b ɔ															
1452-1	k ɔ r i															
1862-1	a s a															
2083-1	k o e r o															
2108-1	j a n o u															
2636-1	m															
2924-1	k ɔ r̃															
2941-1	k a n a															
3405-1	k ɔ n ɔ															
3751-1	dʒ a															
4066-1	k ɔ r ɔ															
4535-1	z ɔ ɔ															
4888-1	t a n a d a															
