COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i r															
1089-1	s iː j															
1319-1	s ɔ															
1398-1	s a n ɛ r u															
1557-1	k i r o															
1626-1	ɔ iː w o															
1840-1	d o r u															
2247-1	k u m															
4677-1	k o r u a															
5162-1	s i n r o															
5406-1	k i m z u															
359-1	k ɛ r u m															
1577-1	k i r o															
2196-1	s o r u															
2230-1	p i o															
2533-1	k i r b u															
3605-1	k i r d o															
3866-1	k o s u															
4553-1	t ɔ r u s u															
4822-1	k i m b o															
5254-1	d i r o															
503-1	k o r u j															
1356-1	s iː j ɔ															
1881-1	r i m u m															
3218-1	t i n i z e															
3372-1	s i j o															
3718-1	k o r u															
4135-1	p ɛ r a j															
4694-1	k ɔ s s o															
807-1	k ɔ b u															
2320-1	k ɔ r u															
2476-1	k ɔ s															
3719-1	m iː															
4081-1	k i m b b a															
4313-1	s o n ɔ e															
4460-1	s o u a															
5810-1	k ɔ n r u															
93-1	dʒ o															
260-1	k a n d o															
385-1	d i m b o m															
890-1	k o m b o r u															
1336-1	t ɔ s u															
1703-1	k a m															
1769-1	p i m b o															
2162-1	k o r u															
2635-1	m u															
3031-1	d o s u															
4591-1	k ɔ r u															
5301-1	k o r u															
5605-1	d o r u w̃															
463-1	d o r b u															
1432-1	d o r u															
1474-1	t o n b u															
1788-1	k a z u															
2044-1	k o r b u															
2713-1	k a m dʒ ɛ n b u r u															
3219-1	d i m o															
3425-1	j a															
4184-1	s r j i															
4629-1	r o r d u															
4759-1	r iː u u															
4904-1	ŋ̍ a u w b u															
4960-1	d i m o m u															
4980-1	t a n u															
5059-1	k o r u															
5339-1	k ɔ z e															
5549-1	d o r m u															
5905-1	d i j u															
5922-1	p i r e															
5938-1	t a i a m u s a															
1-1	dʒ u															
483-1	k ɔ s u															
629-1	d ɔ u															
667-1	o r u															
1254-1	s ɔ m b e r u															
1415-1	m m a															
1542-1	ŋ̍ n u r															
1683-1	k r r ɛ															
1898-1	d o r u j															
2901-1	t i r b u															
2957-1	m ɔ m b ɛ															
3048-1	k i j a															
3251-1	j o r o															
3885-1	d o r u															
4402-1	j u															
5622-1	k o r ɛ j u u															
6006-1	k i j a															
135-1	t iː n d o															
158-1	m k o s u															
194-1	k u j															
221-1	o s u															
650-1	k ɔ s u															
1152-1	t i j e															
1374-1	k o r b u															
1452-1	k o r u															
1862-1	o s u															
2083-1	k ɛ e ŋ i															
2108-1	r o n b u															
2636-1	m uː															
2924-1	k ɔ r̃ u															
2941-1	k i j a															
3405-1	k i r iː j															
3751-1	dʒ e e															
4066-1	k u r ɔ															
4535-1	z iː iː															
4888-1	t u m i ŋ u															
5583-1	k o r b o															
5751-1	d i j̃ a															
5981-1	o r u j̃															
114-1	d r u o															
851-1	d ɔ w̃ o															
1941-1	p o r o															
2179-1	ŋ̍ dʒ o															
2351-1	k i r o															
2496-1	m iː oː															
3482-1	ŋ̍ e t e m a o o e															
3497-1	p r r e															
3588-1	k o r o															
4202-1	k ɛ n d d i															
4293-1	dʒ e w̃ e															
4921-1	k ɔ m b u															
408-1	a a n d i															
545-1	ɛ s u															
978-1	t o s															
1052-1	r o m b u															
1070-1	r o s o															
1942-1	j i															
2456-1	k o r u															
2514-1	d o s o															
2666-1	k o j a															
2817-1	ɔ s b ɔ															
3132-1	t u m b i															
3300-1	o r u															
3976-1	s e															
4152-1	k e n u m															
4361-1	t e s a															
4570-1	t ɔ w u u															
4648-1	j a															
5318-1	dʒ e e															
5673-1	t u w o a															
5887-1	j a j u															
446-1	k ɔ n b ɔ d u															
521-1	k a s u b															
1108-1	k r j a															
1124-1	ɔ ŋ ɔ															
1745-1	t ɔ r a															
1823-1	k ɔ n															
2143-1	dʒ ɛ															
2265-1	ɔ w̃ a															
2392-1	o k o s u															
2579-1	dʒ i e															
2774-1	k a s ɛ															
3339-1	k u j a															
3550-1	t a n i n a															
4024-1	k uː z															
4219-1	t u s b u															
4240-1	u eː s u															
4259-1	d uː e															
4738-1	g aː n d e															
5197-1	o r u															
5447-1	d i r̃ o															
5531-1	t u r u															
5733-1	r u															
5828-1	j a z u															
562-1	k u m w̃ i															
998-1	ɛ															
1022-1	t u w a															
1023-1	j e															
1205-1	j i															
1275-1	t j̃															
1578-1	z ɔ															
2063-1	i j ɔ															
2334-1	o r o															
2798-1	t e j j															
3252-1	m b e															
3463-1	ɛ aː a															
3683-1	t ɔː j ɔ															
3772-1	t u j u															
3790-1	k ɔ w̃															
4052-1	p r m u															
4220-1	z u															
4440-1	dʒ a ɛ															
4479-1	k a															
4711-1	o o r u															
4778-1	t u s i n u															
4821-1	m u															
4941-1	u j i															
5272-1	t e s a															
5423-1	a z ɔ															
5424-1	k a j a															
563-1	t u w̃ o															
613-1	z e ɛ															
684-1	ɲ u j u															
742-1	k i j a															
1204-1	k e j u															
1373-1	t g a s j															
1787-1	m															
1988-1	k k aː i b ɛ															
2283-1	k eː j u															
2372-1	k e r e															
2441-1	m i															
2598-1	ɲ a j̃ m															
2773-1	k ɛ r d i s oː															
3011-1	t ɔ w̃ n a															
3176-1	k o j a															
3283-1	u s u															
3318-1	k r n d e															
715-2		d u j i														
1089-2		s aː r														
1319-2		s aː j o														
1398-2		s a j ɔ w ɔ														
1557-2		b aː r i														
1626-2		o u w ɔ														
1840-2		k o r														
2247-2		k aː ɛː														
4677-2		b aː r i a														
